"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3Q0nik69fjgd0t4","standard","1","LP","0.264713485566566","0.001","0.279","1.129","1.128","0.85","3","3"
"2","R_3Q0nik69fjgd0t4","standard","2","LP","5.5010771219302","2.134","7.641","8.02","5.886","0.379","3","6"
"3","R_3Q0nik69fjgd0t4","standard","3","LP","13.0392072382594","9.021","22.063","22.431","13.41","0.368","3","9"
"4","R_3Q0nik69fjgd0t4","standard","4","LP","1.25738905644119","23.438","24.708","25.06","1.622","0.352","3","12"
"5","R_3Q0nik69fjgd0t4","standard","5","LP","1.25738905644119","26.076","27.342","27.686","1.61","0.344","3","15"
"6","R_3Q0nik69fjgd0t4","standard","6","LP","8.51632916846187","28.707","37.232","37.554","8.847","0.322","3","18"
"7","R_3Q0nik69fjgd0t4","standard","7","LP","30","38.569","NaN","53.126","14.557","NaN","0","18"
"8","R_3Q0nik69fjgd0t4","standard","8","LP","13.0392072382594","54.137","67.197","67.611","13.474","0.414","3","21"
"9","R_3Q0nik69fjgd0t4","standard","9","LP","1.25738905644119","68.612","69.879","70.273","1.661","0.394","3","24"
"10","R_3Q0nik69fjgd0t4","standard","10","LP","1.25738905644119","71.278","72.562","72.981","1.703","0.419","3","27"
"11","R_3Q0nik69fjgd0t4","standard","11","LP","3.49090909090909","73.992","77.49","77.862","3.87","0.372","3","30"
"12","R_3Q0nik69fjgd0t4","standard","12","LP","30","78.871","NaN","91.733","12.862","NaN","0","30"
"13","R_3Q0nik69fjgd0t4","standard","13","LP","1.25738905644119","92.747","94.011","94.391","1.644","0.38","3","33"
"14","R_3Q0nik69fjgd0t4","standard","14","LP","8.51632916846187","95.409","103.939","104.262","8.853","0.323","3","36"
"15","R_3Q0nik69fjgd0t4","standard","15","LP","8.51632916846187","105.272","113.797","114.179","8.907","0.382","3","39"
