"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3QFBH9gu4kgfPNG","discrete","1","LP","3.49090909090909","0.001","3.508","4.067","4.066","0.559","3","3"
"2","R_3QFBH9gu4kgfPNG","discrete","2","LP","19.8235243429556","5.075","NaN","14.149","9.074","NaN","0","3"
"3","R_3QFBH9gu4kgfPNG","discrete","3","LP","0.661783713916415","15.155","15.817","18.11","2.955","2.293","3","6"
"4","R_3QFBH9gu4kgfPNG","discrete","4","LP","13.0392072382594","19.111","NaN","28.321","9.21","NaN","0","6"
"5","R_3QFBH9gu4kgfPNG","discrete","5","LP","0.264713485566566","29.326","29.596","30.233","0.907","0.637","3","9"
"6","R_3QFBH9gu4kgfPNG","discrete","6","LP","0.264713485566566","31.233","31.514","31.928","0.695","0.414","3","12"
"7","R_3QFBH9gu4kgfPNG","discrete","7","LP","19.8235243429556","32.931","NaN","38.766","5.835","NaN","0","12"
"8","R_3QFBH9gu4kgfPNG","discrete","8","LP","8.51632916846187","39.775","48.3","48.841","9.066","0.541","3","15"
"9","R_3QFBH9gu4kgfPNG","discrete","9","LP","30","49.846","NaN","55.579","5.733","NaN","0","15"
"10","R_3QFBH9gu4kgfPNG","discrete","10","LP","5.5010771219302","56.593","62.109","62.571","5.978","0.462","3","18"
"11","R_3QFBH9gu4kgfPNG","discrete","11","LP","1.25738905644119","63.586","64.851","65.273","1.687","0.422","3","21"
"12","R_3QFBH9gu4kgfPNG","discrete","12","LP","8.51632916846187","66.285","74.81","75.11","8.825","0.3","3","24"
"13","R_3QFBH9gu4kgfPNG","discrete","13","LP","3.49090909090909","76.123","79.62","80.041","3.918","0.421","3","27"
"14","R_3QFBH9gu4kgfPNG","discrete","14","LP","13.0392072382594","81.05","NaN","87.219","6.169","NaN","0","27"
"15","R_3QFBH9gu4kgfPNG","discrete","15","LP","19.8235243429556","88.228","NaN","94.149","5.921","NaN","0","27"
"16","R_3QFBH9gu4kgfPNG","discrete","16","LP","19.8235243429556","95.155","NaN","100.855","5.7","NaN","0","27"
"17","R_3QFBH9gu4kgfPNG","discrete","17","LP","0.661783713916415","101.867","102.533","103.469","1.602","0.936","3","30"
"18","R_3QFBH9gu4kgfPNG","discrete","18","LP","1.25738905644119","104.481","105.743","106.162","1.681","0.419","3","33"
"19","R_3QFBH9gu4kgfPNG","discrete","19","LP","30","107.179","NaN","113.443","6.264","NaN","0","33"
"20","R_3QFBH9gu4kgfPNG","discrete","20","LP","0.661783713916415","114.454","115.12","115.675","1.221","0.555","3","36"
"21","R_3QFBH9gu4kgfPNG","discrete","21","LP","3.49090909090909","116.685","120.182","120.633","3.948","0.451","3","39"
"22","R_3QFBH9gu4kgfPNG","discrete","22","LP","0.661783713916415","121.635","122.313","123.588","1.953","1.275","3","42"
"23","R_3QFBH9gu4kgfPNG","discrete","23","LP","1.25738905644119","124.61","125.883","126.443","1.833","0.56","3","45"
"24","R_3QFBH9gu4kgfPNG","discrete","24","LP","30","127.458","NaN","131.638","4.18","NaN","0","45"
"25","R_3QFBH9gu4kgfPNG","discrete","25","LP","19.8235243429556","132.643","NaN","135.617","2.974","NaN","0","45"
"26","R_3QFBH9gu4kgfPNG","discrete","26","LP","13.0392072382594","136.62","NaN","140.891","4.271","NaN","0","45"
"27","R_3QFBH9gu4kgfPNG","discrete","27","LP","8.51632916846187","141.908","NaN","145.424","3.516","NaN","0","45"
"28","R_3QFBH9gu4kgfPNG","discrete","28","LP","3.49090909090909","146.428","149.92","150.326","3.898","0.406","3","48"
"29","R_3QFBH9gu4kgfPNG","discrete","29","LP","1.25738905644119","151.333","152.599","153.15","1.817","0.551","3","51"
"30","R_3QFBH9gu4kgfPNG","discrete","30","LP","2.15079707022835","154.161","156.313","156.866","2.705","0.553","3","54"
