"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3hgNgDaxVeLD25g","discrete","1","LP","5.5010771219302","0.001","5.506","6.019","6.018","0.513","3","3"
"2","R_3hgNgDaxVeLD25g","discrete","2","LP","19.8235243429556","7.025","26.849","27.423","20.398","0.574","3","6"
"3","R_3hgNgDaxVeLD25g","discrete","3","LP","13.0392072382594","28.425","41.465","41.977","13.552","0.512","3","9"
"4","R_3hgNgDaxVeLD25g","discrete","4","LP","0.264713485566566","42.985","43.257","45.752","2.767","2.495","3","12"
"5","R_3hgNgDaxVeLD25g","discrete","5","LP","13.0392072382594","46.761","59.801","60.298","13.537","0.497","3","15"
"6","R_3hgNgDaxVeLD25g","discrete","6","LP","3.49090909090909","61.305","64.801","65.495","4.19","0.694","3","18"
"7","R_3hgNgDaxVeLD25g","discrete","7","LP","0.264713485566566","66.497","66.769","67.313","0.816","0.544","3","21"
"8","R_3hgNgDaxVeLD25g","discrete","8","LP","13.0392072382594","68.314","NaN","72.449","4.135","NaN","0","21"
"9","R_3hgNgDaxVeLD25g","discrete","9","LP","8.51632916846187","73.457","81.977","82.34","8.883","0.363","3","24"
"10","R_3hgNgDaxVeLD25g","discrete","10","LP","19.8235243429556","83.345","NaN","89.693","6.348","NaN","0","24"
"11","R_3hgNgDaxVeLD25g","discrete","11","LP","2.15079707022835","90.697","92.849","93.254","2.557","0.405","3","27"
"12","R_3hgNgDaxVeLD25g","discrete","12","LP","3.49090909090909","94.257","97.753","98.128","3.871","0.375","3","30"
"13","R_3hgNgDaxVeLD25g","discrete","13","LP","0.264713485566566","99.131","99.401","99.976","0.845","0.575","3","33"
"14","R_3hgNgDaxVeLD25g","discrete","14","LP","30","100.977","NaN","106.992","6.015","NaN","0","33"
"15","R_3hgNgDaxVeLD25g","discrete","15","LP","19.8235243429556","107.997","NaN","113.923","5.926","NaN","0","33"
"16","R_3hgNgDaxVeLD25g","discrete","16","LP","13.0392072382594","114.929","NaN","119.219","4.29","NaN","0","33"
"17","R_3hgNgDaxVeLD25g","discrete","17","LP","1.25738905644119","120.221","121.481","121.933","1.712","0.452","3","36"
"18","R_3hgNgDaxVeLD25g","discrete","18","LP","2.15079707022835","122.937","125.089","125.552","2.615","0.463","3","39"
"19","R_3hgNgDaxVeLD25g","discrete","19","LP","2.15079707022835","126.553","128.705","129.379","2.826","0.674","3","42"
"20","R_3hgNgDaxVeLD25g","discrete","20","LP","3.49090909090909","130.385","133.881","134.27","3.885","0.389","3","45"
"21","R_3hgNgDaxVeLD25g","discrete","21","LP","0.661783713916415","135.273","135.937","137.296","2.023","1.359","3","48"
"22","R_3hgNgDaxVeLD25g","discrete","22","LP","0.264713485566566","138.297","138.569","140.168","1.871","1.599","3","51"
"23","R_3hgNgDaxVeLD25g","discrete","23","LP","1.25738905644119","141.169","142.433","142.778","1.609","0.345","3","54"
"24","R_3hgNgDaxVeLD25g","discrete","24","LP","1.25738905644119","143.785","145.049","145.566","1.781","0.517","3","57"
"25","R_3hgNgDaxVeLD25g","discrete","25","LP","5.5010771219302","146.569","NaN","151.106","4.537","NaN","0","57"
"26","R_3hgNgDaxVeLD25g","discrete","26","LP","19.8235243429556","152.11","NaN","156.255","4.145","NaN","0","57"
"27","R_3hgNgDaxVeLD25g","discrete","27","LP","2.15079707022835","157.257","159.413","159.787","2.53","0.374","3","60"
"28","R_3hgNgDaxVeLD25g","discrete","28","LP","8.51632916846187","160.793","NaN","162.379","1.586","NaN","0","60"
"29","R_3hgNgDaxVeLD25g","discrete","29","LP","2.15079707022835","163.385","NaN","165.097","1.712","NaN","0","60"
"30","R_3hgNgDaxVeLD25g","discrete","30","LP","0.264713485566566","166.105","166.377","166.992","0.887","0.615","3","63"
"31","R_3hgNgDaxVeLD25g","discrete","31","LP","1.25738905644119","167.993","169.258","169.64","1.647","0.382","3","66"
"32","R_3hgNgDaxVeLD25g","discrete","32","LP","2.15079707022835","170.641","172.801","173.248","2.607","0.447","3","69"
"33","R_3hgNgDaxVeLD25g","discrete","33","LP","0.264713485566566","174.249","174.521","175.031","0.782","0.51","3","72"
"34","R_3hgNgDaxVeLD25g","discrete","34","LP","2.15079707022835","176.033","178.185","178.489","2.456","0.304","3","75"
"35","R_3hgNgDaxVeLD25g","discrete","35","LP","19.8235243429556","179.497","NaN","182.073","2.576","NaN","0","75"
"36","R_3hgNgDaxVeLD25g","discrete","36","LP","0.661783713916415","183.081","183.745","184.274","1.193","0.529","3","78"
"37","R_3hgNgDaxVeLD25g","discrete","37","LP","13.0392072382594","185.281","NaN","189.126","3.845","NaN","0","78"
"38","R_3hgNgDaxVeLD25g","discrete","38","LP","8.51632916846187","190.129","NaN","193.973","3.844","NaN","0","78"
"39","R_3hgNgDaxVeLD25g","discrete","39","LP","8.51632916846187","194.977","NaN","197.923","2.946","NaN","0","78"
"40","R_3hgNgDaxVeLD25g","discrete","40","LP","0.264713485566566","198.927","199.193","199.7","0.773","0.507","3","81"
"41","R_3hgNgDaxVeLD25g","discrete","41","LP","0.661783713916415","200.705","201.369","201.915","1.21","0.546","3","84"
"42","R_3hgNgDaxVeLD25g","discrete","42","LP","2.15079707022835","202.921","205.073","206.001","3.08","0.928","3","87"
"43","R_3hgNgDaxVeLD25g","discrete","43","LP","30","207.009","NaN","209.469","2.46","NaN","0","87"
"44","R_3hgNgDaxVeLD25g","discrete","44","LP","3.49090909090909","210.473","NaN","213.168","2.695","NaN","0","87"
"45","R_3hgNgDaxVeLD25g","discrete","45","LP","13.0392072382594","214.169","NaN","216.603","2.434","NaN","0","87"
"46","R_3hgNgDaxVeLD25g","discrete","46","LP","0.264713485566566","217.609","217.881","218.424","0.815","0.543","3","90"
"47","R_3hgNgDaxVeLD25g","discrete","47","LP","1.25738905644119","219.426","220.689","221.016","1.59","0.327","3","93"
"48","R_3hgNgDaxVeLD25g","discrete","48","LP","0.661783713916415","222.017","222.681","223.147","1.13","0.466","3","96"
"49","R_3hgNgDaxVeLD25g","discrete","49","LP","30","224.153","NaN","226.793","2.64","NaN","0","96"
"50","R_3hgNgDaxVeLD25g","discrete","50","LP","30","227.801","NaN","230.88","3.079","NaN","0","96"
"51","R_3hgNgDaxVeLD25g","discrete","51","LP","5.5010771219302","231.889","NaN","235.474","3.585","NaN","0","96"
"52","R_3hgNgDaxVeLD25g","discrete","52","LP","5.5010771219302","236.481","NaN","239.353","2.872","NaN","0","96"
"53","R_3hgNgDaxVeLD25g","discrete","53","LP","5.5010771219302","240.361","NaN","243.173","2.812","NaN","0","96"
"54","R_3hgNgDaxVeLD25g","discrete","54","LP","0.661783713916415","244.177","244.841","245.375","1.198","0.534","3","99"
"55","R_3hgNgDaxVeLD25g","discrete","55","LP","0.264713485566566","246.377","246.649","247.09","0.713","0.441","3","102"
"56","R_3hgNgDaxVeLD25g","discrete","56","LP","1.25738905644119","248.097","249.361","249.731","1.634","0.37","3","105"
"57","R_3hgNgDaxVeLD25g","discrete","57","LP","8.51632916846187","250.737","NaN","253.151","2.414","NaN","0","105"
"58","R_3hgNgDaxVeLD25g","discrete","58","LP","30","254.153","NaN","257.126","2.973","NaN","0","105"
"59","R_3hgNgDaxVeLD25g","discrete","59","LP","19.8235243429556","258.129","NaN","260.857","2.728","NaN","0","105"
"60","R_3hgNgDaxVeLD25g","discrete","60","LP","1.25738905644119","261.865","263.129","263.655","1.79","0.526","3","108"
"61","R_3hgNgDaxVeLD25g","discrete","61","LP","0.264713485566566","264.657","264.929","265.427","0.77","0.498","3","111"
"62","R_3hgNgDaxVeLD25g","discrete","62","LP","1.25738905644119","266.431","267.697","268.003","1.572","0.306","3","114"
"63","R_3hgNgDaxVeLD25g","discrete","63","LP","0.661783713916415","269.009","269.673","270.087","1.078","0.414","3","117"
"64","R_3hgNgDaxVeLD25g","discrete","64","LP","3.49090909090909","271.089","NaN","273.343","2.254","NaN","0","117"
"65","R_3hgNgDaxVeLD25g","discrete","65","LP","19.8235243429556","274.345","NaN","277.175","2.83","NaN","0","117"
"66","R_3hgNgDaxVeLD25g","discrete","66","LP","30","278.177","NaN","280.774","2.597","NaN","0","117"
"67","R_3hgNgDaxVeLD25g","discrete","67","LP","0.661783713916415","281.777","282.441","282.857","1.08","0.416","3","120"
"68","R_3hgNgDaxVeLD25g","discrete","68","LP","0.264713485566566","283.865","284.137","284.579","0.714","0.442","3","123"
"69","R_3hgNgDaxVeLD25g","discrete","69","LP","0.264713485566566","285.585","285.857","286.27","0.685","0.413","3","126"
"70","R_3hgNgDaxVeLD25g","discrete","70","LP","8.51632916846187","287.273","NaN","289.682","2.409","NaN","0","126"
"71","R_3hgNgDaxVeLD25g","discrete","71","LP","3.49090909090909","290.689","NaN","292.276","1.587","NaN","0","126"
"72","R_3hgNgDaxVeLD25g","discrete","72","LP","19.8235243429556","293.281","NaN","294.716","1.435","NaN","0","126"
"73","R_3hgNgDaxVeLD25g","discrete","73","LP","30","295.717","NaN","297.224","1.507","NaN","0","126"
"74","R_3hgNgDaxVeLD25g","discrete","74","LP","0.661783713916415","298.225","298.889","299.362","1.137","0.473","3","129"
"75","R_3hgNgDaxVeLD25g","discrete","75","LP","13.0392072382594","300.369","NaN","302.531","2.162","NaN","0","129"
"76","R_3hgNgDaxVeLD25g","discrete","76","LP","0.264713485566566","303.537","303.81","304.346","0.809","0.536","3","132"
"77","R_3hgNgDaxVeLD25g","discrete","77","LP","3.49090909090909","305.353","NaN","306.824","1.471","NaN","0","132"
"78","R_3hgNgDaxVeLD25g","discrete","78","LP","13.0392072382594","307.825","NaN","309.306","1.481","NaN","0","132"
"79","R_3hgNgDaxVeLD25g","discrete","79","LP","13.0392072382594","310.308","NaN","311.753","1.445","NaN","0","132"
"80","R_3hgNgDaxVeLD25g","discrete","80","LP","0.264713485566566","312.761","313.033","313.549","0.788","0.516","3","135"
"81","R_3hgNgDaxVeLD25g","discrete","81","LP","30","314.553","NaN","316.241","1.688","NaN","0","135"
"82","R_3hgNgDaxVeLD25g","discrete","82","LP","19.8235243429556","317.249","NaN","318.78","1.531","NaN","0","135"
"83","R_3hgNgDaxVeLD25g","discrete","83","LP","2.15079707022835","319.785","NaN","321.124","1.339","NaN","0","135"
"84","R_3hgNgDaxVeLD25g","discrete","84","LP","1.25738905644119","322.129","323.393","323.645","1.516","0.252","3","138"
"85","R_3hgNgDaxVeLD25g","discrete","85","LP","3.49090909090909","324.649","NaN","326.308","1.659","NaN","0","138"
"86","R_3hgNgDaxVeLD25g","discrete","86","LP","1.25738905644119","327.314","328.577","328.872","1.558","0.295","3","141"
"87","R_3hgNgDaxVeLD25g","discrete","87","LP","5.5010771219302","329.873","NaN","331.765","1.892","NaN","0","141"
"88","R_3hgNgDaxVeLD25g","discrete","88","LP","1.25738905644119","332.769","334.033","334.406","1.637","0.373","3","144"
"89","R_3hgNgDaxVeLD25g","discrete","89","LP","2.15079707022835","335.411","NaN","336.843","1.432","NaN","0","144"
"90","R_3hgNgDaxVeLD25g","discrete","90","LP","30","337.849","NaN","339.329","1.48","NaN","0","144"
"91","R_3hgNgDaxVeLD25g","discrete","91","LP","19.8235243429556","340.337","NaN","341.965","1.628","NaN","0","144"
"92","R_3hgNgDaxVeLD25g","discrete","92","LP","5.5010771219302","342.969","NaN","344.353","1.384","NaN","0","144"
"93","R_3hgNgDaxVeLD25g","discrete","93","LP","5.5010771219302","345.361","NaN","347.045","1.684","NaN","0","144"
"94","R_3hgNgDaxVeLD25g","discrete","94","LP","8.51632916846187","348.049","NaN","349.427","1.378","NaN","0","144"
"95","R_3hgNgDaxVeLD25g","discrete","95","LP","3.49090909090909","350.433","NaN","351.762","1.329","NaN","0","144"
"96","R_3hgNgDaxVeLD25g","discrete","96","LP","19.8235243429556","352.769","NaN","353.034","0.265","NaN","0","144"
"97","R_3hgNgDaxVeLD25g","discrete","97","LP","3.49090909090909","354.041","NaN","355.568","1.527","NaN","0","144"
