"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3lGrEXaChBZccCL","discrete","1","LP","2.15079707022835","0.002","2.155","2.504","2.502","0.349","3","3"
"2","R_3lGrEXaChBZccCL","discrete","2","LP","0.264713485566566","3.505","3.77","4.277","0.772","0.507","3","6"
"3","R_3lGrEXaChBZccCL","discrete","3","LP","30","5.278","NaN","9.533","4.255","NaN","0","6"
"4","R_3lGrEXaChBZccCL","discrete","4","LP","0.661783713916415","10.534","11.197","11.513","0.979","0.316","3","9"
"5","R_3lGrEXaChBZccCL","discrete","5","LP","30","12.514","NaN","16.542","4.028","NaN","0","9"
"6","R_3lGrEXaChBZccCL","discrete","6","LP","13.0392072382594","17.542","NaN","21.699","4.157","NaN","0","9"
"7","R_3lGrEXaChBZccCL","discrete","7","LP","0.264713485566566","22.7","22.965","23.581","0.881","0.616","3","12"
"8","R_3lGrEXaChBZccCL","discrete","8","LP","0.264713485566566","24.582","24.847","25.347","0.765","0.5","3","15"
"9","R_3lGrEXaChBZccCL","discrete","9","LP","0.661783713916415","26.348","27.01","27.389","1.041","0.379","3","18"
"10","R_3lGrEXaChBZccCL","discrete","10","LP","19.8235243429556","28.39","NaN","32.4","4.01","NaN","0","18"
"11","R_3lGrEXaChBZccCL","discrete","11","LP","1.25738905644119","33.401","34.659","35.02","1.619","0.361","3","21"
"12","R_3lGrEXaChBZccCL","discrete","12","LP","2.15079707022835","36.021","38.172","38.565","2.544","0.393","3","24"
"13","R_3lGrEXaChBZccCL","discrete","13","LP","2.15079707022835","39.566","41.717","42.064","2.498","0.347","3","27"
"14","R_3lGrEXaChBZccCL","discrete","14","LP","30","43.065","NaN","47.093","4.028","NaN","0","27"
"15","R_3lGrEXaChBZccCL","discrete","15","LP","2.15079707022835","48.094","50.245","50.617","2.523","0.372","3","30"
"16","R_3lGrEXaChBZccCL","discrete","16","LP","0.661783713916415","51.618","52.28","52.604","0.986","0.324","3","33"
"17","R_3lGrEXaChBZccCL","discrete","17","LP","2.15079707022835","53.605","55.756","56.082","2.477","0.326","3","36"
"18","R_3lGrEXaChBZccCL","discrete","18","LP","3.49090909090909","57.084","60.576","60.903","3.819","0.327","3","39"
"19","R_3lGrEXaChBZccCL","discrete","19","LP","0.264713485566566","61.906","62.172","62.764","0.858","0.592","3","42"
"20","R_3lGrEXaChBZccCL","discrete","20","LP","0.661783713916415","63.765","64.427","64.857","1.092","0.43","3","45"
"21","R_3lGrEXaChBZccCL","discrete","21","LP","13.0392072382594","65.858","NaN","69.827","3.969","NaN","0","45"
"22","R_3lGrEXaChBZccCL","discrete","22","LP","1.25738905644119","70.828","72.085","72.47","1.642","0.385","3","48"
"23","R_3lGrEXaChBZccCL","discrete","23","LP","0.661783713916415","73.471","74.133","74.467","0.996","0.334","3","51"
"24","R_3lGrEXaChBZccCL","discrete","24","LP","30","75.468","NaN","79.399","3.931","NaN","0","51"
"25","R_3lGrEXaChBZccCL","discrete","25","LP","19.8235243429556","80.401","NaN","84.353","3.952","NaN","0","51"
"26","R_3lGrEXaChBZccCL","discrete","26","LP","5.5010771219302","85.354","NaN","89.382","4.028","NaN","0","51"
"27","R_3lGrEXaChBZccCL","discrete","27","LP","3.49090909090909","90.383","93.874","94.247","3.864","0.373","3","54"
"28","R_3lGrEXaChBZccCL","discrete","28","LP","0.264713485566566","95.248","95.513","95.975","0.727","0.462","3","57"
"29","R_3lGrEXaChBZccCL","discrete","29","LP","0.661783713916415","96.975","97.637","97.912","0.937","0.275","3","60"
"30","R_3lGrEXaChBZccCL","discrete","30","LP","2.15079707022835","98.913","101.069","101.373","2.46","0.304","3","63"
"31","R_3lGrEXaChBZccCL","discrete","31","LP","0.661783713916415","102.374","103.036","103.772","1.398","0.736","3","66"
"32","R_3lGrEXaChBZccCL","discrete","32","LP","8.51632916846187","104.772","NaN","108.775","4.003","NaN","0","66"
"33","R_3lGrEXaChBZccCL","discrete","33","LP","3.49090909090909","109.777","113.268","113.534","3.757","0.266","3","69"
"34","R_3lGrEXaChBZccCL","discrete","34","LP","1.25738905644119","114.535","115.793","116.065","1.53","0.272","3","72"
"35","R_3lGrEXaChBZccCL","discrete","35","LP","30","117.066","NaN","120.774","3.708","NaN","0","72"
"36","R_3lGrEXaChBZccCL","discrete","36","LP","13.0392072382594","121.775","NaN","125.792","4.017","NaN","0","72"
"37","R_3lGrEXaChBZccCL","discrete","37","LP","8.51632916846187","126.792","NaN","130.521","3.729","NaN","0","72"
"38","R_3lGrEXaChBZccCL","discrete","38","LP","19.8235243429556","131.521","NaN","135.567","4.046","NaN","0","72"
"39","R_3lGrEXaChBZccCL","discrete","39","LP","19.8235243429556","136.568","NaN","140.369","3.801","NaN","0","72"
"40","R_3lGrEXaChBZccCL","discrete","40","LP","0.661783713916415","141.37","142.032","142.418","1.048","0.386","3","75"
"41","R_3lGrEXaChBZccCL","discrete","41","LP","2.15079707022835","143.419","NaN","144.484","1.065","NaN","0","75"
"42","R_3lGrEXaChBZccCL","discrete","42","LP","1.25738905644119","145.486","146.744","147.186","1.7","0.442","3","78"
"43","R_3lGrEXaChBZccCL","discrete","43","LP","5.5010771219302","148.187","NaN","150.589","2.402","NaN","0","78"
"44","R_3lGrEXaChBZccCL","discrete","44","LP","0.661783713916415","151.589","152.251","152.684","1.095","0.433","3","81"
"45","R_3lGrEXaChBZccCL","discrete","45","LP","30","153.685","NaN","156.225","2.54","NaN","0","81"
"46","R_3lGrEXaChBZccCL","discrete","46","LP","0.264713485566566","157.226","157.491","157.811","0.585","0.32","3","84"
"47","R_3lGrEXaChBZccCL","discrete","47","LP","0.264713485566566","158.811","159.076","159.624","0.813","0.548","3","87"
"48","R_3lGrEXaChBZccCL","discrete","48","LP","1.25738905644119","160.625","161.883","162.246","1.621","0.363","3","90"
"49","R_3lGrEXaChBZccCL","discrete","49","LP","0.661783713916415","163.247","163.909","164.211","0.964","0.302","3","93"
"50","R_3lGrEXaChBZccCL","discrete","50","LP","2.15079707022835","165.212","167.363","167.581","2.369","0.218","3","96"
"51","R_3lGrEXaChBZccCL","discrete","51","LP","0.264713485566566","168.582","168.846","169.381","0.799","0.535","3","99"
"52","R_3lGrEXaChBZccCL","discrete","52","LP","2.15079707022835","170.382","172.533","172.763","2.381","0.23","3","102"
"53","R_3lGrEXaChBZccCL","discrete","53","LP","2.15079707022835","173.764","175.916","176.119","2.355","0.203","3","105"
"54","R_3lGrEXaChBZccCL","discrete","54","LP","19.8235243429556","177.12","NaN","179.613","2.493","NaN","0","105"
"55","R_3lGrEXaChBZccCL","discrete","55","LP","19.8235243429556","180.614","NaN","183.102","2.488","NaN","0","105"
"56","R_3lGrEXaChBZccCL","discrete","56","LP","2.15079707022835","184.103","186.253","186.553","2.45","0.3","3","108"
"57","R_3lGrEXaChBZccCL","discrete","57","LP","19.8235243429556","187.554","NaN","189.914","2.36","NaN","0","108"
"58","R_3lGrEXaChBZccCL","discrete","58","LP","13.0392072382594","190.915","NaN","193.211","2.296","NaN","0","108"
"59","R_3lGrEXaChBZccCL","discrete","59","LP","30","194.212","NaN","196.599","2.387","NaN","0","108"
"60","R_3lGrEXaChBZccCL","discrete","60","LP","13.0392072382594","197.6","NaN","200.028","2.428","NaN","0","108"
"61","R_3lGrEXaChBZccCL","discrete","61","LP","3.49090909090909","201.028","NaN","203.581","2.553","NaN","0","108"
"62","R_3lGrEXaChBZccCL","discrete","62","LP","3.49090909090909","204.582","NaN","206.961","2.379","NaN","0","108"
"63","R_3lGrEXaChBZccCL","discrete","63","LP","30","207.962","NaN","210.392","2.43","NaN","0","108"
"64","R_3lGrEXaChBZccCL","discrete","64","LP","5.5010771219302","211.393","NaN","213.791","2.398","NaN","0","108"
"65","R_3lGrEXaChBZccCL","discrete","65","LP","0.264713485566566","214.792","215.057","215.458","0.666","0.401","3","111"
"66","R_3lGrEXaChBZccCL","discrete","66","LP","1.25738905644119","216.459","217.717","218.012","1.553","0.295","3","114"
"67","R_3lGrEXaChBZccCL","discrete","67","LP","3.49090909090909","219.012","NaN","221.384","2.372","NaN","0","114"
"68","R_3lGrEXaChBZccCL","discrete","68","LP","1.25738905644119","222.385","223.644","223.985","1.6","0.341","3","117"
"69","R_3lGrEXaChBZccCL","discrete","69","LP","19.8235243429556","224.986","NaN","227.238","2.252","NaN","0","117"
"70","R_3lGrEXaChBZccCL","discrete","70","LP","2.15079707022835","228.239","230.39","230.47","2.231","0.08","3","120"
"71","R_3lGrEXaChBZccCL","discrete","71","LP","0.661783713916415","231.471","232.133","232.577","1.106","0.444","3","123"
"72","R_3lGrEXaChBZccCL","discrete","72","LP","1.25738905644119","233.578","234.837","235.198","1.62","0.361","3","126"
"73","R_3lGrEXaChBZccCL","discrete","73","LP","30","236.199","NaN","238.674","2.475","NaN","0","126"
"74","R_3lGrEXaChBZccCL","discrete","74","LP","0.264713485566566","239.674","239.939","240.393","0.719","0.454","3","129"
