"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3lLfwpFHBFnXBXx","discrete","1","LP","2.15079707022835","0.001","2.152","3.237","3.236","1.085","3","3"
"2","R_3lLfwpFHBFnXBXx","discrete","2","LP","19.8235243429556","4.239","NaN","7.023","2.784","NaN","0","3"
"3","R_3lLfwpFHBFnXBXx","discrete","3","LP","3.49090909090909","8.024","11.516","13.167","5.143","1.651","3","6"
"4","R_3lLfwpFHBFnXBXx","discrete","4","LP","3.49090909090909","14.168","17.66","18.51","4.342","0.85","3","9"
"5","R_3lLfwpFHBFnXBXx","discrete","5","LP","0.264713485566566","19.511","19.777","23.855","4.344","4.078","3","12"
"6","R_3lLfwpFHBFnXBXx","discrete","6","LP","0.264713485566566","24.856","25.122","27.989","3.133","2.867","3","15"
"7","R_3lLfwpFHBFnXBXx","discrete","7","LP","3.49090909090909","28.991","32.483","33.142","4.151","0.659","3","18"
"8","R_3lLfwpFHBFnXBXx","discrete","8","LP","19.8235243429556","34.144","NaN","39.246","5.102","NaN","0","18"
"9","R_3lLfwpFHBFnXBXx","discrete","9","LP","2.15079707022835","40.248","42.399","42.444","2.196","0.045","3","21"
"10","R_3lLfwpFHBFnXBXx","discrete","10","LP","3.49090909090909","43.446","46.938","47.614","4.168","0.676","3","24"
"11","R_3lLfwpFHBFnXBXx","discrete","11","LP","8.51632916846187","48.615","NaN","53.389","4.774","NaN","0","24"
"12","R_3lLfwpFHBFnXBXx","discrete","12","LP","5.5010771219302","54.391","NaN","56.325","1.934","NaN","0","24"
"13","R_3lLfwpFHBFnXBXx","discrete","13","LP","19.8235243429556","57.327","NaN","67.686","10.359","NaN","0","24"
"14","R_3lLfwpFHBFnXBXx","discrete","14","LP","0.264713485566566","68.687","68.953","72.582","3.895","3.629","3","27"
"15","R_3lLfwpFHBFnXBXx","discrete","15","LP","1.25738905644119","73.584","74.843","79.648","6.064","4.805","3","30"
"16","R_3lLfwpFHBFnXBXx","discrete","16","LP","13.0392072382594","80.65","NaN","87.559","6.909","NaN","0","30"
