"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3n00b8p0KZBFIVb","discrete","1","LP","2.15079707022835","0.001","2.16","2.546","2.545","0.386","3","3"
"2","R_3n00b8p0KZBFIVb","discrete","2","LP","0.264713485566566","3.565","3.832","4.341","0.776","0.509","3","6"
"3","R_3n00b8p0KZBFIVb","discrete","3","LP","0.661783713916415","5.352","6.022","6.357","1.005","0.335","3","9"
"4","R_3n00b8p0KZBFIVb","discrete","4","LP","1.25738905644119","7.364","8.626","8.999","1.635","0.373","3","12"
"5","R_3n00b8p0KZBFIVb","discrete","5","LP","0.661783713916415","10.014","10.685","11.047","1.033","0.362","3","15"
"6","R_3n00b8p0KZBFIVb","discrete","6","LP","5.5010771219302","12.051","17.56","17.882","5.831","0.322","3","18"
"7","R_3n00b8p0KZBFIVb","discrete","7","LP","0.264713485566566","18.906","19.188","19.579","0.673","0.391","3","21"
"8","R_3n00b8p0KZBFIVb","discrete","8","LP","8.51632916846187","20.59","29.111","29.433","8.843","0.322","3","24"
"9","R_3n00b8p0KZBFIVb","discrete","9","LP","0.264713485566566","30.44","30.714","31.113","0.673","0.399","3","27"
"10","R_3n00b8p0KZBFIVb","discrete","10","LP","0.661783713916415","32.12","32.787","33.212","1.092","0.425","3","30"
"11","R_3n00b8p0KZBFIVb","discrete","11","LP","30","34.216","NaN","43.361","9.145","NaN","0","30"
"12","R_3n00b8p0KZBFIVb","discrete","12","LP","1.25738905644119","44.379","45.643","46.023","1.644","0.38","3","33"
"13","R_3n00b8p0KZBFIVb","discrete","13","LP","13.0392072382594","47.038","60.083","60.421","13.383","0.338","3","36"
"14","R_3n00b8p0KZBFIVb","discrete","14","LP","19.8235243429556","61.422","NaN","74.672","13.25","NaN","0","36"
"15","R_3n00b8p0KZBFIVb","discrete","15","LP","8.51632916846187","75.676","84.204","84.569","8.893","0.365","3","39"
"16","R_3n00b8p0KZBFIVb","discrete","16","LP","2.15079707022835","85.571","87.723","88.147","2.576","0.424","3","42"
"17","R_3n00b8p0KZBFIVb","discrete","17","LP","0.264713485566566","89.155","89.423","89.844","0.689","0.421","3","45"
"18","R_3n00b8p0KZBFIVb","discrete","18","LP","5.5010771219302","90.863","96.371","96.726","5.863","0.355","3","48"
"19","R_3n00b8p0KZBFIVb","discrete","19","LP","30","97.743","NaN","111.466","13.723","NaN","0","48"
"20","R_3n00b8p0KZBFIVb","discrete","20","LP","5.5010771219302","112.488","117.997","118.306","5.818","0.309","3","51"
"21","R_3n00b8p0KZBFIVb","discrete","21","LP","8.51632916846187","119.311","127.841","128.141","8.83","0.3","3","54"
"22","R_3n00b8p0KZBFIVb","discrete","22","LP","2.15079707022835","129.156","131.323","131.685","2.529","0.362","3","57"
"23","R_3n00b8p0KZBFIVb","discrete","23","LP","0.661783713916415","132.695","133.363","133.791","1.096","0.428","3","60"
"24","R_3n00b8p0KZBFIVb","discrete","24","LP","2.15079707022835","134.795","136.958","137.278","2.483","0.32","3","63"
"25","R_3n00b8p0KZBFIVb","discrete","25","LP","3.49090909090909","138.283","141.786","142.085","3.802","0.299","3","66"
"26","R_3n00b8p0KZBFIVb","discrete","26","LP","19.8235243429556","143.092","NaN","156.538","13.446","NaN","0","66"
"27","R_3n00b8p0KZBFIVb","discrete","27","LP","0.661783713916415","157.55","158.223","158.559","1.009","0.336","3","69"
"28","R_3n00b8p0KZBFIVb","discrete","28","LP","5.5010771219302","159.567","165.089","165.392","5.825","0.303","3","72"
"29","R_3n00b8p0KZBFIVb","discrete","29","LP","19.8235243429556","166.398","NaN","179.813","13.415","NaN","0","72"
"30","R_3n00b8p0KZBFIVb","discrete","30","LP","1.25738905644119","180.815","182.085","182.457","1.642","0.372","3","75"
"31","R_3n00b8p0KZBFIVb","discrete","31","LP","3.49090909090909","183.459","186.972","187.274","3.815","0.302","3","78"
"32","R_3n00b8p0KZBFIVb","discrete","32","LP","13.0392072382594","188.276","201.321","201.59","13.314","0.269","3","81"
"33","R_3n00b8p0KZBFIVb","discrete","33","LP","1.25738905644119","202.609","203.875","205.07","2.461","1.195","3","84"
"34","R_3n00b8p0KZBFIVb","discrete","34","LP","13.0392072382594","206.088","219.146","219.442","13.354","0.296","3","87"
"35","R_3n00b8p0KZBFIVb","discrete","35","LP","19.8235243429556","220.444","NaN","233.951","13.507","NaN","0","87"
"36","R_3n00b8p0KZBFIVb","discrete","36","LP","3.49090909090909","234.955","238.451","238.824","3.869","0.373","3","90"
"37","R_3n00b8p0KZBFIVb","discrete","37","LP","5.5010771219302","239.831","245.339","245.701","5.87","0.362","3","93"
"38","R_3n00b8p0KZBFIVb","discrete","38","LP","0.264713485566566","246.72","246.996","247.413","0.693","0.417","3","96"
"39","R_3n00b8p0KZBFIVb","discrete","39","LP","19.8235243429556","248.42","NaN","261.755","13.335","NaN","0","96"
"40","R_3n00b8p0KZBFIVb","discrete","40","LP","1.25738905644119","262.765","264.026","264.457","1.692","0.431","3","99"
"41","R_3n00b8p0KZBFIVb","discrete","41","LP","30","265.478","NaN","274.335","8.857","NaN","0","99"
"42","R_3n00b8p0KZBFIVb","discrete","42","LP","8.51632916846187","275.35","283.875","284.208","8.858","0.333","3","102"
