"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3nIXB3X5XVdUb50","standard","1","LP","0.661783713916415","0","0.663","1.935","1.935","1.272","3","3"
"2","R_3nIXB3X5XVdUb50","standard","2","LP","8.51632916846187","2.936","NaN","3.723","0.787","NaN","0","3"
"3","R_3nIXB3X5XVdUb50","standard","3","LP","13.0392072382594","4.728","NaN","11.383","6.655","NaN","0","3"
"4","R_3nIXB3X5XVdUb50","standard","4","LP","0.661783713916415","12.391","13.056","13.743","1.352","0.687","3","6"
"5","R_3nIXB3X5XVdUb50","standard","5","LP","5.5010771219302","14.743","NaN","20.044","5.301","NaN","0","6"
"6","R_3nIXB3X5XVdUb50","standard","6","LP","30","21.048","NaN","33.923","12.875","NaN","0","6"
"7","R_3nIXB3X5XVdUb50","standard","7","LP","0.264713485566566","34.928","35.199","36.202","1.274","1.003","3","9"
"8","R_3nIXB3X5XVdUb50","standard","8","LP","2.15079707022835","37.208","NaN","39.162","1.954","NaN","0","9"
"9","R_3nIXB3X5XVdUb50","standard","9","LP","3.49090909090909","40.167","NaN","41.683","1.516","NaN","0","9"
"10","R_3nIXB3X5XVdUb50","standard","10","LP","8.51632916846187","42.688","NaN","45.163","2.475","NaN","0","9"
"11","R_3nIXB3X5XVdUb50","standard","11","LP","0.661783713916415","46.168","46.831","47.572","1.404","0.741","3","12"
"12","R_3nIXB3X5XVdUb50","standard","12","LP","3.49090909090909","48.575","NaN","49.663","1.088","NaN","0","12"
"13","R_3nIXB3X5XVdUb50","standard","13","LP","30","50.663","NaN","54.593","3.93","NaN","0","12"
"14","R_3nIXB3X5XVdUb50","standard","14","LP","13.0392072382594","55.6","NaN","56.374","0.774","NaN","0","12"
"15","R_3nIXB3X5XVdUb50","standard","15","LP","2.15079707022835","57.375","NaN","58.843","1.468","NaN","0","12"
"16","R_3nIXB3X5XVdUb50","standard","16","LP","2.15079707022835","59.847","NaN","61.723","1.876","NaN","0","12"
"17","R_3nIXB3X5XVdUb50","standard","17","LP","19.8235243429556","62.728","NaN","65.154","2.426","NaN","0","12"
"18","R_3nIXB3X5XVdUb50","standard","18","LP","5.5010771219302","66.159","NaN","68.673","2.514","NaN","0","12"
"19","R_3nIXB3X5XVdUb50","standard","19","LP","5.5010771219302","69.68","NaN","72.203","2.523","NaN","0","12"
"20","R_3nIXB3X5XVdUb50","standard","20","LP","30","73.208","NaN","75.893","2.685","NaN","0","12"
"21","R_3nIXB3X5XVdUb50","standard","21","LP","3.49090909090909","76.895","80.391","80.794","3.899","0.403","3","15"
"22","R_3nIXB3X5XVdUb50","standard","22","LP","3.49090909090909","81.799","85.311","85.954","4.155","0.643","3","18"
"23","R_3nIXB3X5XVdUb50","standard","23","LP","3.49090909090909","86.96","90.455","91.033","4.073","0.578","3","21"
"24","R_3nIXB3X5XVdUb50","standard","24","LP","2.15079707022835","92.04","94.192","94.843","2.803","0.651","3","24"
"25","R_3nIXB3X5XVdUb50","standard","25","LP","0.264713485566566","95.847","96.112","97.203","1.356","1.091","3","27"
"26","R_3nIXB3X5XVdUb50","standard","26","LP","19.8235243429556","98.208","NaN","101.985","3.777","NaN","0","27"
"27","R_3nIXB3X5XVdUb50","standard","27","LP","19.8235243429556","102.991","NaN","107.085","4.094","NaN","0","27"
"28","R_3nIXB3X5XVdUb50","standard","28","LP","5.5010771219302","108.088","NaN","111.993","3.905","NaN","0","27"
"29","R_3nIXB3X5XVdUb50","standard","29","LP","0.661783713916415","112.999","113.663","114.364","1.365","0.701","3","30"
"30","R_3nIXB3X5XVdUb50","standard","30","LP","5.5010771219302","115.367","NaN","119.443","4.076","NaN","0","30"
"31","R_3nIXB3X5XVdUb50","standard","31","LP","2.15079707022835","120.447","122.6","122.984","2.537","0.384","3","33"
"32","R_3nIXB3X5XVdUb50","standard","32","LP","3.49090909090909","123.991","127.487","127.978","3.987","0.491","3","36"
"33","R_3nIXB3X5XVdUb50","standard","33","LP","2.15079707022835","128.984","131.136","131.753","2.769","0.617","3","39"
"34","R_3nIXB3X5XVdUb50","standard","34","LP","8.51632916846187","132.759","NaN","135.905","3.146","NaN","0","39"
"35","R_3nIXB3X5XVdUb50","standard","35","LP","30","136.905","NaN","141.753","4.848","NaN","0","39"
"36","R_3nIXB3X5XVdUb50","standard","36","LP","1.25738905644119","142.759","144.024","144.583","1.824","0.559","3","42"
"37","R_3nIXB3X5XVdUb50","standard","37","LP","13.0392072382594","145.584","NaN","149.459","3.875","NaN","0","42"
"38","R_3nIXB3X5XVdUb50","standard","38","LP","1.25738905644119","150.463","151.721","152.353","1.89","0.632","3","45"
"39","R_3nIXB3X5XVdUb50","standard","39","LP","13.0392072382594","153.359","NaN","157.405","4.046","NaN","0","45"
"40","R_3nIXB3X5XVdUb50","standard","40","LP","8.51632916846187","158.408","NaN","161.774","3.366","NaN","0","45"
"41","R_3nIXB3X5XVdUb50","standard","41","LP","5.5010771219302","162.776","168.279","168.753","5.977","0.474","3","48"
"42","R_3nIXB3X5XVdUb50","standard","42","LP","30","169.759","NaN","170.553","0.794","NaN","0","48"
"43","R_3nIXB3X5XVdUb50","standard","43","LP","3.49090909090909","171.56","175.056","175.703","4.143","0.647","3","51"
