"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_3nkKS8PfoZD2mbL","discrete","1","LP","3.49090909090909","0.001","NaN","2.266","2.265","NaN","0","0"
"2","R_3nkKS8PfoZD2mbL","discrete","2","LP","19.8235243429556","3.267","NaN","9.201","5.934","NaN","0","0"
"3","R_3nkKS8PfoZD2mbL","discrete","3","LP","13.0392072382594","10.203","NaN","14.744","4.541","NaN","0","0"
"4","R_3nkKS8PfoZD2mbL","discrete","4","LP","0.661783713916415","15.745","16.411","18.182","2.437","1.771","3","3"
"5","R_3nkKS8PfoZD2mbL","discrete","5","LP","30","19.186","NaN","20.291","1.105","NaN","0","3"
"6","R_3nkKS8PfoZD2mbL","discrete","6","LP","0.661783713916415","21.292","21.954","22.524","1.232","0.57","3","6"
"7","R_3nkKS8PfoZD2mbL","discrete","7","LP","8.51632916846187","23.525","NaN","24.293","0.768","NaN","0","6"
"8","R_3nkKS8PfoZD2mbL","discrete","8","LP","0.264713485566566","25.296","25.562","26.114","0.818","0.552","3","9"
"9","R_3nkKS8PfoZD2mbL","discrete","9","LP","0.661783713916415","27.117","27.779","27.856","0.739","0.077","3","12"
"10","R_3nkKS8PfoZD2mbL","discrete","10","LP","1.25738905644119","28.859","NaN","29.461","0.602","NaN","0","12"
"11","R_3nkKS8PfoZD2mbL","discrete","11","LP","3.49090909090909","30.464","NaN","32.386","1.922","NaN","0","12"
"12","R_3nkKS8PfoZD2mbL","discrete","12","LP","1.25738905644119","33.388","34.647","35.139","1.751","0.492","3","15"
"13","R_3nkKS8PfoZD2mbL","discrete","13","LP","0.661783713916415","36.141","36.808","37.431","1.29","0.623","3","18"
"14","R_3nkKS8PfoZD2mbL","discrete","14","LP","8.51632916846187","38.432","NaN","40.407","1.975","NaN","0","18"
"15","R_3nkKS8PfoZD2mbL","discrete","15","LP","3.49090909090909","41.409","NaN","42.889","1.48","NaN","0","18"
"16","R_3nkKS8PfoZD2mbL","discrete","16","LP","8.51632916846187","43.891","NaN","44.596","0.705","NaN","0","18"
"17","R_3nkKS8PfoZD2mbL","discrete","17","LP","5.5010771219302","45.597","NaN","50.397","4.8","NaN","0","18"
"18","R_3nkKS8PfoZD2mbL","discrete","18","LP","13.0392072382594","51.398","NaN","59.315","7.917","NaN","0","18"
"19","R_3nkKS8PfoZD2mbL","discrete","19","LP","30","60.316","NaN","68.004","7.688","NaN","0","18"
"20","R_3nkKS8PfoZD2mbL","discrete","20","LP","13.0392072382594","69.014","NaN","80.689","11.675","NaN","0","18"
"21","R_3nkKS8PfoZD2mbL","discrete","21","LP","0.661783713916415","81.691","82.353","83.117","1.426","0.764","3","21"
"22","R_3nkKS8PfoZD2mbL","discrete","22","LP","5.5010771219302","84.117","89.62","90.653","6.536","1.033","3","24"
"23","R_3nkKS8PfoZD2mbL","discrete","23","LP","13.0392072382594","91.655","104.697","105.107","13.452","0.41","3","27"
"24","R_3nkKS8PfoZD2mbL","discrete","24","LP","0.264713485566566","106.108","106.374","107.25","1.142","0.876","3","30"
"25","R_3nkKS8PfoZD2mbL","discrete","25","LP","5.5010771219302","108.251","113.754","114.207","5.956","0.453","3","33"
"26","R_3nkKS8PfoZD2mbL","discrete","26","LP","13.0392072382594","115.208","NaN","127.862","12.654","NaN","0","33"
"27","R_3nkKS8PfoZD2mbL","discrete","27","LP","3.49090909090909","128.865","132.357","132.912","4.047","0.555","3","36"
"28","R_3nkKS8PfoZD2mbL","discrete","28","LP","5.5010771219302","133.916","139.419","139.914","5.998","0.495","3","39"
"29","R_3nkKS8PfoZD2mbL","discrete","29","LP","13.0392072382594","140.915","153.957","154.115","13.2","0.158","3","42"
"30","R_3nkKS8PfoZD2mbL","discrete","30","LP","3.49090909090909","155.115","158.61","159.113","3.998","0.503","3","45"
"31","R_3nkKS8PfoZD2mbL","discrete","31","LP","0.264713485566566","160.114","160.384","161.001","0.887","0.617","3","48"
"32","R_3nkKS8PfoZD2mbL","discrete","32","LP","5.5010771219302","162.018","167.52","168.062","6.044","0.542","3","51"
"33","R_3nkKS8PfoZD2mbL","discrete","33","LP","3.49090909090909","169.063","172.556","173.029","3.966","0.473","3","54"
"34","R_3nkKS8PfoZD2mbL","discrete","34","LP","2.15079707022835","174.029","176.18","176.715","2.686","0.535","3","57"
"35","R_3nkKS8PfoZD2mbL","discrete","35","LP","19.8235243429556","177.718","NaN","181.901","4.183","NaN","0","57"
"36","R_3nkKS8PfoZD2mbL","discrete","36","LP","2.15079707022835","182.903","185.055","186.293","3.39","1.238","3","60"
"37","R_3nkKS8PfoZD2mbL","discrete","37","LP","19.8235243429556","187.294","NaN","199.242","11.948","NaN","0","60"
"38","R_3nkKS8PfoZD2mbL","discrete","38","LP","3.49090909090909","200.243","203.734","204.287","4.044","0.553","3","63"
"39","R_3nkKS8PfoZD2mbL","discrete","39","LP","5.5010771219302","205.291","210.793","211.253","5.962","0.46","3","66"
"40","R_3nkKS8PfoZD2mbL","discrete","40","LP","1.25738905644119","212.254","213.513","215.088","2.834","1.575","3","69"
"41","R_3nkKS8PfoZD2mbL","discrete","41","LP","3.49090909090909","216.09","219.584","227.909","11.819","8.325","3","72"
"42","R_3nkKS8PfoZD2mbL","discrete","42","LP","0.264713485566566","228.91","229.176","230.018","1.108","0.842","3","75"
"43","R_3nkKS8PfoZD2mbL","discrete","43","LP","0.264713485566566","231.019","231.285","239.959","8.94","8.674","3","78"
"44","R_3nkKS8PfoZD2mbL","discrete","44","LP","3.49090909090909","240.961","244.453","244.85","3.889","0.397","3","81"
"45","R_3nkKS8PfoZD2mbL","discrete","45","LP","5.5010771219302","245.851","251.355","251.747","5.896","0.392","3","84"
"46","R_3nkKS8PfoZD2mbL","discrete","46","LP","0.264713485566566","252.749","253.015","253.64","0.891","0.625","3","87"
"47","R_3nkKS8PfoZD2mbL","discrete","47","LP","3.49090909090909","254.643","258.134","258.625","3.982","0.491","3","90"
"48","R_3nkKS8PfoZD2mbL","discrete","48","LP","0.661783713916415","259.627","260.289","260.67","1.043","0.381","3","93"
"49","R_3nkKS8PfoZD2mbL","discrete","49","LP","13.0392072382594","261.672","NaN","272.474","10.802","NaN","0","93"
"50","R_3nkKS8PfoZD2mbL","discrete","50","LP","13.0392072382594","273.476","NaN","279.058","5.582","NaN","0","93"
"51","R_3nkKS8PfoZD2mbL","discrete","51","LP","13.0392072382594","280.06","293.106","293.505","13.445","0.399","3","96"
"52","R_3nkKS8PfoZD2mbL","discrete","52","LP","3.49090909090909","294.515","298.009","298.529","4.014","0.52","3","99"
"53","R_3nkKS8PfoZD2mbL","discrete","53","LP","0.264713485566566","299.529","299.794","300.408","0.879","0.614","3","102"
"54","R_3nkKS8PfoZD2mbL","discrete","54","LP","0.264713485566566","301.41","301.677","302.071","0.661","0.394","3","105"
"55","R_3nkKS8PfoZD2mbL","discrete","55","LP","8.51632916846187","303.074","311.592","311.984","8.91","0.392","3","108"
