"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_4I470cOIByQPdYt","standard","1","LP","19.8235243429556","0.001","19.837","20.244","20.243","0.407","3","3"
"2","R_4I470cOIByQPdYt","standard","2","LP","5.5010771219302","21.253","26.758","27.142","5.889","0.384","3","6"
"3","R_4I470cOIByQPdYt","standard","3","LP","2.15079707022835","28.164","30.325","30.75","2.586","0.425","3","9"
"4","R_4I470cOIByQPdYt","standard","4","LP","3.49090909090909","31.759","35.254","35.572","3.813","0.318","3","12"
"5","R_4I470cOIByQPdYt","standard","5","LP","0.264713485566566","36.583","36.855","37.702","1.119","0.847","3","15"
"6","R_4I470cOIByQPdYt","standard","6","LP","5.5010771219302","38.703","44.212","44.594","5.891","0.382","3","18"
"7","R_4I470cOIByQPdYt","standard","7","LP","0.264713485566566","45.608","45.889","46.255","0.647","0.366","3","21"
"8","R_4I470cOIByQPdYt","standard","8","LP","8.51632916846187","47.263","NaN","47.79","0.527","NaN","0","21"
"9","R_4I470cOIByQPdYt","standard","9","LP","13.0392072382594","48.804","61.847","62.189","13.385","0.342","3","24"
"10","R_4I470cOIByQPdYt","standard","10","LP","19.8235243429556","63.191","83.025","83.428","20.237","0.403","3","27"
"11","R_4I470cOIByQPdYt","standard","11","LP","13.0392072382594","84.444","97.487","97.899","13.455","0.412","3","30"
"12","R_4I470cOIByQPdYt","standard","12","LP","0.661783713916415","98.905","99.567","99.998","1.093","0.431","3","33"
"13","R_4I470cOIByQPdYt","standard","13","LP","19.8235243429556","101.019","120.858","121.236","20.217","0.378","3","36"
"14","R_4I470cOIByQPdYt","standard","14","LP","30","122.248","152.267","152.571","30.323","0.304","3","39"
"15","R_4I470cOIByQPdYt","standard","15","LP","0.661783713916415","153.58","154.246","154.61","1.03","0.364","3","42"
"16","R_4I470cOIByQPdYt","standard","16","LP","5.5010771219302","155.618","161.13","161.526","5.908","0.396","3","45"
"17","R_4I470cOIByQPdYt","standard","17","LP","19.8235243429556","162.528","NaN","163.028","0.5","NaN","0","45"
"18","R_4I470cOIByQPdYt","standard","18","LP","0.661783713916415","164.035","164.699","165.094","1.059","0.395","3","48"
"19","R_4I470cOIByQPdYt","standard","19","LP","8.51632916846187","166.107","174.636","174.985","8.878","0.349","3","51"
"20","R_4I470cOIByQPdYt","standard","20","LP","5.5010771219302","175.998","181.514","181.949","5.951","0.435","3","54"
"21","R_4I470cOIByQPdYt","standard","21","LP","19.8235243429556","182.957","202.793","203.169","20.212","0.376","3","57"
"22","R_4I470cOIByQPdYt","standard","22","LP","30","204.178","234.185","234.545","30.367","0.36","3","60"
