"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_5BC6JCc4IG5Edep","standard","1","LP","2.15079707022835","0","2.156","2.502","2.502","0.346","3","3"
"2","R_5BC6JCc4IG5Edep","standard","2","LP","13.0392072382594","3.508","NaN","16.163","12.655","NaN","0","3"
"3","R_5BC6JCc4IG5Edep","standard","3","LP","1.25738905644119","17.164","18.428","18.9","1.736","0.472","3","6"
"4","R_5BC6JCc4IG5Edep","standard","4","LP","5.5010771219302","19.908","25.412","25.763","5.855","0.351","3","9"
"5","R_5BC6JCc4IG5Edep","standard","5","LP","0.661783713916415","26.764","27.428","28.069","1.305","0.641","3","12"
"6","R_5BC6JCc4IG5Edep","standard","6","LP","0.264713485566566","29.076","29.341","29.765","0.689","0.424","3","15"
"7","R_5BC6JCc4IG5Edep","standard","7","LP","8.51632916846187","30.772","NaN","35.556","4.784","NaN","0","15"
"8","R_5BC6JCc4IG5Edep","standard","8","LP","5.5010771219302","36.564","NaN","41.365","4.801","NaN","0","15"
"9","R_5BC6JCc4IG5Edep","standard","9","LP","0.264713485566566","42.372","42.638","43.156","0.784","0.518","3","18"
"10","R_5BC6JCc4IG5Edep","standard","10","LP","0.661783713916415","44.16","44.828","45.236","1.076","0.408","3","21"
"11","R_5BC6JCc4IG5Edep","standard","11","LP","8.51632916846187","46.244","NaN","51.525","5.281","NaN","0","21"
"12","R_5BC6JCc4IG5Edep","standard","12","LP","3.49090909090909","52.532","56.028","56.499","3.967","0.471","3","24"
"13","R_5BC6JCc4IG5Edep","standard","13","LP","2.15079707022835","57.5","59.652","60.004","2.504","0.352","3","27"
"14","R_5BC6JCc4IG5Edep","standard","14","LP","1.25738905644119","61.006","62.268","62.725","1.719","0.457","3","30"
"15","R_5BC6JCc4IG5Edep","standard","15","LP","13.0392072382594","63.732","NaN","69.076","5.344","NaN","0","30"
"16","R_5BC6JCc4IG5Edep","standard","16","LP","1.25738905644119","70.084","71.348","71.781","1.697","0.433","3","33"
"17","R_5BC6JCc4IG5Edep","standard","17","LP","0.661783713916415","72.788","73.452","73.941","1.153","0.489","3","36"
"18","R_5BC6JCc4IG5Edep","standard","18","LP","13.0392072382594","74.948","NaN","80.163","5.215","NaN","0","36"
"19","R_5BC6JCc4IG5Edep","standard","19","LP","0.264713485566566","81.164","81.436","81.86","0.696","0.424","3","39"
"20","R_5BC6JCc4IG5Edep","standard","20","LP","1.25738905644119","82.868","84.132","84.517","1.649","0.385","3","42"
"21","R_5BC6JCc4IG5Edep","standard","21","LP","0.264713485566566","85.524","85.796","86.212","0.688","0.416","3","45"
"22","R_5BC6JCc4IG5Edep","standard","22","LP","0.264713485566566","87.22","87.492","87.955","0.735","0.463","3","48"
"23","R_5BC6JCc4IG5Edep","standard","23","LP","5.5010771219302","88.956","94.46","94.868","5.912","0.408","3","51"
"24","R_5BC6JCc4IG5Edep","standard","24","LP","5.5010771219302","95.876","NaN","101.284","5.408","NaN","0","51"
"25","R_5BC6JCc4IG5Edep","standard","25","LP","0.264713485566566","102.292","102.564","103.108","0.816","0.544","3","54"
"26","R_5BC6JCc4IG5Edep","standard","26","LP","3.49090909090909","104.108","107.604","107.972","3.864","0.368","3","57"
