"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_6mPUZelHoMRZfP3","standard","1","LP","0.264713485566566","0","0.265","1.517","1.517","1.252","3","3"
"2","R_6mPUZelHoMRZfP3","standard","2","LP","2.15079707022835","2.52","NaN","4.067","1.547","NaN","0","3"
"3","R_6mPUZelHoMRZfP3","standard","3","LP","0.661783713916415","5.081","5.745","6.552","1.471","0.807","3","6"
"4","R_6mPUZelHoMRZfP3","standard","4","LP","0.264713485566566","7.558","7.824","8.478","0.92","0.654","3","9"
"5","R_6mPUZelHoMRZfP3","standard","5","LP","19.8235243429556","9.49","NaN","23.962","14.472","NaN","0","9"
"6","R_6mPUZelHoMRZfP3","standard","6","LP","13.0392072382594","24.974","NaN","37.458","12.484","NaN","0","9"
"7","R_6mPUZelHoMRZfP3","standard","7","LP","2.15079707022835","38.473","40.625","41.332","2.859","0.707","3","12"
"8","R_6mPUZelHoMRZfP3","standard","8","LP","2.15079707022835","42.337","44.488","45.219","2.882","0.731","3","15"
"9","R_6mPUZelHoMRZfP3","standard","9","LP","2.15079707022835","46.224","48.377","49.057","2.833","0.68","3","18"
"10","R_6mPUZelHoMRZfP3","standard","10","LP","0.264713485566566","50.066","50.337","51.027","0.961","0.69","3","21"
"11","R_6mPUZelHoMRZfP3","standard","11","LP","30","52.032","NaN","62.586","10.554","NaN","0","21"
"12","R_6mPUZelHoMRZfP3","standard","12","LP","5.5010771219302","63.607","69.114","69.902","6.295","0.788","3","24"
"13","R_6mPUZelHoMRZfP3","standard","13","LP","2.15079707022835","70.944","73.105","74.174","3.23","1.069","3","27"
"14","R_6mPUZelHoMRZfP3","standard","14","LP","0.264713485566566","75.202","75.472","76.211","1.009","0.739","3","30"
"15","R_6mPUZelHoMRZfP3","standard","15","LP","2.15079707022835","77.217","79.369","80.047","2.83","0.678","3","33"
"16","R_6mPUZelHoMRZfP3","standard","16","LP","3.49090909090909","81.049","84.54","85.211","4.162","0.671","3","36"
"17","R_6mPUZelHoMRZfP3","standard","17","LP","19.8235243429556","86.216","NaN","100.189","13.973","NaN","0","36"
"18","R_6mPUZelHoMRZfP3","standard","18","LP","8.51632916846187","101.204","109.721","110.443","9.239","0.722","3","39"
"19","R_6mPUZelHoMRZfP3","standard","19","LP","2.15079707022835","111.449","113.601","114.63","3.181","1.029","3","42"
"20","R_6mPUZelHoMRZfP3","standard","20","LP","13.0392072382594","115.632","NaN","127.822","12.19","NaN","0","42"
"21","R_6mPUZelHoMRZfP3","standard","21","LP","30","128.825","NaN","142.032","13.207","NaN","0","42"
"22","R_6mPUZelHoMRZfP3","standard","22","LP","2.15079707022835","143.033","145.187","146.009","2.976","0.822","3","45"
"23","R_6mPUZelHoMRZfP3","standard","23","LP","19.8235243429556","147.017","NaN","160.156","13.139","NaN","0","45"
"24","R_6mPUZelHoMRZfP3","standard","24","LP","3.49090909090909","161.16","164.657","165.342","4.182","0.685","3","48"
"25","R_6mPUZelHoMRZfP3","standard","25","LP","8.51632916846187","166.344","174.868","175.584","9.24","0.716","3","51"
"26","R_6mPUZelHoMRZfP3","standard","26","LP","30","176.6","NaN","190.71","14.11","NaN","0","51"
"27","R_6mPUZelHoMRZfP3","standard","27","LP","19.8235243429556","191.715","NaN","205.425","13.71","NaN","0","51"
"28","R_6mPUZelHoMRZfP3","standard","28","LP","13.0392072382594","206.433","NaN","217.568","11.135","NaN","0","51"
"29","R_6mPUZelHoMRZfP3","standard","29","LP","30","218.604","NaN","228.165","9.561","NaN","0","51"
"30","R_6mPUZelHoMRZfP3","standard","30","LP","13.0392072382594","229.182","NaN","238.884","9.702","NaN","0","51"
"31","R_6mPUZelHoMRZfP3","standard","31","LP","19.8235243429556","239.899","NaN","253.096","13.197","NaN","0","51"
"32","R_6mPUZelHoMRZfP3","standard","32","LP","0.661783713916415","254.097","254.766","255.573","1.476","0.807","3","54"
"33","R_6mPUZelHoMRZfP3","standard","33","LP","8.51632916846187","256.582","265.113","265.848","9.266","0.735","3","57"
"34","R_6mPUZelHoMRZfP3","standard","34","LP","5.5010771219302","266.849","272.369","273.136","6.287","0.767","3","60"
"35","R_6mPUZelHoMRZfP3","standard","35","LP","1.25738905644119","274.137","275.401","276.06","1.923","0.659","3","63"
"36","R_6mPUZelHoMRZfP3","standard","36","LP","5.5010771219302","277.065","282.569","283.265","6.2","0.696","3","66"
"37","R_6mPUZelHoMRZfP3","standard","37","LP","2.15079707022835","284.281","286.433","287.097","2.816","0.664","3","69"
"38","R_6mPUZelHoMRZfP3","standard","38","LP","1.25738905644119","288.113","289.376","290.094","1.981","0.718","3","72"
"39","R_6mPUZelHoMRZfP3","standard","39","LP","0.264713485566566","291.097","291.369","292.106","1.009","0.737","3","75"
"40","R_6mPUZelHoMRZfP3","standard","40","LP","30","293.112","NaN","303.516","10.404","NaN","0","75"
"41","R_6mPUZelHoMRZfP3","standard","41","LP","0.264713485566566","304.521","304.811","305.598","1.077","0.787","3","78"
"42","R_6mPUZelHoMRZfP3","standard","42","LP","0.264713485566566","306.601","306.873","307.655","1.054","0.782","3","81"
"43","R_6mPUZelHoMRZfP3","standard","43","LP","0.264713485566566","308.663","308.936","309.638","0.975","0.702","3","84"
"44","R_6mPUZelHoMRZfP3","standard","44","LP","13.0392072382594","310.64","NaN","311.229","0.589","NaN","0","84"
"45","R_6mPUZelHoMRZfP3","standard","45","LP","13.0392072382594","312.233","NaN","322.877","10.644","NaN","0","84"
"46","R_6mPUZelHoMRZfP3","standard","46","LP","5.5010771219302","323.893","329.4","330.116","6.223","0.716","3","87"
"47","R_6mPUZelHoMRZfP3","standard","47","LP","5.5010771219302","331.121","336.624","337.378","6.257","0.754","3","90"
"48","R_6mPUZelHoMRZfP3","standard","48","LP","3.49090909090909","338.393","341.894","342.563","4.17","0.669","3","93"
"49","R_6mPUZelHoMRZfP3","standard","49","LP","2.15079707022835","343.577","345.729","346.492","2.915","0.763","3","96"
"50","R_6mPUZelHoMRZfP3","standard","50","LP","13.0392072382594","347.497","NaN","358.001","10.504","NaN","0","96"
"51","R_6mPUZelHoMRZfP3","standard","51","LP","19.8235243429556","359.01","378.838","380.02","21.01","1.182","3","99"
"52","R_6mPUZelHoMRZfP3","standard","52","LP","30","381.025","NaN","391.084","10.059","NaN","0","99"
"53","R_6mPUZelHoMRZfP3","standard","53","LP","0.264713485566566","392.091","392.361","393.114","1.023","0.753","3","102"
"54","R_6mPUZelHoMRZfP3","standard","54","LP","0.264713485566566","394.121","394.392","395.196","1.075","0.804","3","105"
"55","R_6mPUZelHoMRZfP3","standard","55","LP","0.661783713916415","396.206","396.873","397.574","1.368","0.701","3","108"
"56","R_6mPUZelHoMRZfP3","standard","56","LP","8.51632916846187","398.577","407.106","407.763","9.186","0.657","3","111"
"57","R_6mPUZelHoMRZfP3","standard","57","LP","2.15079707022835","408.769","410.921","411.69","2.921","0.769","3","114"
"58","R_6mPUZelHoMRZfP3","standard","58","LP","2.15079707022835","412.696","414.859","415.562","2.866","0.703","3","117"
"59","R_6mPUZelHoMRZfP3","standard","59","LP","19.8235243429556","416.568","NaN","427.318","10.75","NaN","0","117"
"60","R_6mPUZelHoMRZfP3","standard","60","LP","1.25738905644119","428.323","429.584","430.339","2.016","0.755","3","120"
"61","R_6mPUZelHoMRZfP3","standard","61","LP","5.5010771219302","431.343","436.844","437.537","6.194","0.693","3","123"
"62","R_6mPUZelHoMRZfP3","standard","62","LP","0.264713485566566","438.544","438.809","439.646","1.102","0.837","3","126"
"63","R_6mPUZelHoMRZfP3","standard","63","LP","13.0392072382594","440.658","NaN","445.574","4.916","NaN","0","126"
"64","R_6mPUZelHoMRZfP3","standard","64","LP","5.5010771219302","446.582","452.097","452.809","6.227","0.712","3","129"
"65","R_6mPUZelHoMRZfP3","standard","65","LP","8.51632916846187","453.817","462.337","463.051","9.234","0.714","3","132"
"66","R_6mPUZelHoMRZfP3","standard","66","LP","2.15079707022835","464.057","466.207","466.944","2.887","0.737","3","135"
"67","R_6mPUZelHoMRZfP3","standard","67","LP","1.25738905644119","467.944","469.206","469.905","1.961","0.699","3","138"
"68","R_6mPUZelHoMRZfP3","standard","68","LP","3.49090909090909","470.906","474.407","475.108","4.202","0.701","3","141"
"69","R_6mPUZelHoMRZfP3","standard","69","LP","0.661783713916415","476.115","476.789","477.553","1.438","0.764","3","144"
"70","R_6mPUZelHoMRZfP3","standard","70","LP","19.8235243429556","478.572","NaN","490.379","11.807","NaN","0","144"
"71","R_6mPUZelHoMRZfP3","standard","71","LP","2.15079707022835","491.389","493.541","494.261","2.872","0.72","3","147"
"72","R_6mPUZelHoMRZfP3","standard","72","LP","13.0392072382594","495.264","NaN","505.785","10.521","NaN","0","147"
"73","R_6mPUZelHoMRZfP3","standard","73","LP","0.661783713916415","506.799","507.471","508.175","1.376","0.704","3","150"
"74","R_6mPUZelHoMRZfP3","standard","74","LP","19.8235243429556","509.188","NaN","519.001","9.813","NaN","0","150"
"75","R_6mPUZelHoMRZfP3","standard","75","LP","3.49090909090909","520.005","523.505","524.187","4.182","0.682","3","153"
"76","R_6mPUZelHoMRZfP3","standard","76","LP","8.51632916846187","525.192","NaN","528.393","3.201","NaN","0","153"
"77","R_6mPUZelHoMRZfP3","standard","77","LP","19.8235243429556","529.404","NaN","541.416","12.012","NaN","0","153"
"78","R_6mPUZelHoMRZfP3","standard","78","LP","0.264713485566566","542.417","542.701","543.422","1.005","0.721","3","156"
"79","R_6mPUZelHoMRZfP3","standard","79","LP","8.51632916846187","544.425","552.947","553.669","9.244","0.722","3","159"
"80","R_6mPUZelHoMRZfP3","standard","80","LP","1.25738905644119","554.674","555.937","557.588","2.914","1.651","3","162"
"81","R_6mPUZelHoMRZfP3","standard","81","LP","0.264713485566566","558.602","558.879","559.736","1.134","0.857","3","165"
"82","R_6mPUZelHoMRZfP3","standard","82","LP","19.8235243429556","560.737","NaN","571.555","10.818","NaN","0","165"
"83","R_6mPUZelHoMRZfP3","standard","83","LP","8.51632916846187","572.56","581.085","581.794","9.234","0.709","3","168"
"84","R_6mPUZelHoMRZfP3","standard","84","LP","5.5010771219302","582.802","588.319","589.09","6.288","0.771","3","171"
"85","R_6mPUZelHoMRZfP3","standard","85","LP","0.264713485566566","590.097","590.369","591.171","1.074","0.802","3","174"
"86","R_6mPUZelHoMRZfP3","standard","86","LP","0.661783713916415","592.183","592.854","593.651","1.468","0.797","3","177"
"87","R_6mPUZelHoMRZfP3","standard","87","LP","13.0392072382594","594.679","NaN","605.914","11.235","NaN","0","177"
"88","R_6mPUZelHoMRZfP3","standard","88","LP","8.51632916846187","606.92","NaN","615.313","8.393","NaN","0","177"
"89","R_6mPUZelHoMRZfP3","standard","89","LP","5.5010771219302","616.316","621.825","622.568","6.252","0.743","3","180"
"90","R_6mPUZelHoMRZfP3","standard","90","LP","30","623.568","NaN","630.283","6.715","NaN","0","180"
"91","R_6mPUZelHoMRZfP3","standard","91","LP","2.15079707022835","631.298","633.449","634.226","2.928","0.777","3","183"
"92","R_6mPUZelHoMRZfP3","standard","92","LP","0.661783713916415","635.233","635.909","636.703","1.47","0.794","3","186"
"93","R_6mPUZelHoMRZfP3","standard","93","LP","0.661783713916415","637.708","638.383","638.532","0.824","0.149","3","189"
"94","R_6mPUZelHoMRZfP3","standard","94","LP","0.264713485566566","639.536","639.801","640.518","0.982","0.717","3","192"
"95","R_6mPUZelHoMRZfP3","standard","95","LP","0.264713485566566","641.52","641.799","642.446","0.926","0.647","3","195"
"96","R_6mPUZelHoMRZfP3","standard","96","LP","5.5010771219302","643.448","NaN","645.577","2.129","NaN","0","195"
"97","R_6mPUZelHoMRZfP3","standard","97","LP","5.5010771219302","646.597","NaN","648.113","1.516","NaN","0","195"
"98","R_6mPUZelHoMRZfP3","standard","98","LP","2.15079707022835","649.115","651.281","651.995","2.88","0.714","3","198"
"99","R_6mPUZelHoMRZfP3","standard","99","LP","3.49090909090909","652.999","656.496","657.16","4.161","0.664","3","201"
"100","R_6mPUZelHoMRZfP3","standard","100","LP","0.264713485566566","658.182","658.448","659.31","1.128","0.862","3","204"
"101","R_6mPUZelHoMRZfP3","standard","101","LP","30","660.316","NaN","667.956","7.64","NaN","0","204"
"102","R_6mPUZelHoMRZfP3","standard","102","LP","19.8235243429556","668.966","NaN","678.62","9.654","NaN","0","204"
"103","R_6mPUZelHoMRZfP3","standard","103","LP","5.5010771219302","679.624","685.13","685.495","5.871","0.365","3","207"
"104","R_6mPUZelHoMRZfP3","standard","104","LP","8.51632916846187","686.512","695.032","695.382","8.87","0.35","3","210"
"105","R_6mPUZelHoMRZfP3","standard","105","LP","3.49090909090909","696.396","699.895","700.761","4.365","0.866","3","213"
"106","R_6mPUZelHoMRZfP3","standard","106","LP","8.51632916846187","701.78","710.299","711.13","9.35","0.831","3","216"
"107","R_6mPUZelHoMRZfP3","standard","107","LP","2.15079707022835","712.136","714.295","715.025","2.889","0.73","3","219"
"108","R_6mPUZelHoMRZfP3","standard","108","LP","19.8235243429556","716.033","NaN","725.547","9.514","NaN","0","219"
"109","R_6mPUZelHoMRZfP3","standard","109","LP","1.25738905644119","726.552","727.81","728.557","2.005","0.747","3","222"
"110","R_6mPUZelHoMRZfP3","standard","110","LP","0.661783713916415","729.562","730.225","731.997","2.435","1.772","3","225"
"111","R_6mPUZelHoMRZfP3","standard","111","LP","13.0392072382594","733.013","NaN","741.737","8.724","NaN","0","225"
"112","R_6mPUZelHoMRZfP3","standard","112","LP","3.49090909090909","742.745","746.246","746.92","4.175","0.674","3","228"
"113","R_6mPUZelHoMRZfP3","standard","113","LP","8.51632916846187","747.921","756.441","756.967","9.046","0.526","3","231"
"114","R_6mPUZelHoMRZfP3","standard","114","LP","1.25738905644119","757.978","759.242","760.141","2.163","0.899","3","234"
"115","R_6mPUZelHoMRZfP3","standard","115","LP","5.5010771219302","761.144","766.648","767.417","6.273","0.769","3","237"
"116","R_6mPUZelHoMRZfP3","standard","116","LP","19.8235243429556","768.425","NaN","779.399","10.974","NaN","0","237"
"117","R_6mPUZelHoMRZfP3","standard","117","LP","8.51632916846187","780.412","NaN","788.628","8.216","NaN","0","237"
"118","R_6mPUZelHoMRZfP3","standard","118","LP","2.15079707022835","789.749","791.909","792.935","3.186","1.026","3","240"
"119","R_6mPUZelHoMRZfP3","standard","119","LP","0.264713485566566","793.937","794.209","795.057","1.12","0.848","3","243"
"120","R_6mPUZelHoMRZfP3","standard","120","LP","2.15079707022835","796.077","798.227","798.977","2.9","0.75","3","246"
"121","R_6mPUZelHoMRZfP3","standard","121","LP","5.5010771219302","800.003","805.505","806.232","6.229","0.727","3","249"
"122","R_6mPUZelHoMRZfP3","standard","122","LP","0.661783713916415","807.232","807.938","808.837","1.605","0.899","3","252"
"123","R_6mPUZelHoMRZfP3","standard","123","LP","13.0392072382594","809.841","NaN","818.86","9.019","NaN","0","252"
"124","R_6mPUZelHoMRZfP3","standard","124","LP","3.49090909090909","819.882","823.391","824.28","4.398","0.889","3","255"
"125","R_6mPUZelHoMRZfP3","standard","125","LP","30","825.293","NaN","835.65","10.357","NaN","0","255"
"126","R_6mPUZelHoMRZfP3","standard","126","LP","19.8235243429556","836.66","NaN","844.669","8.009","NaN","0","255"
"127","R_6mPUZelHoMRZfP3","standard","127","LP","30","845.676","NaN","854.851","9.175","NaN","0","255"
"128","R_6mPUZelHoMRZfP3","standard","128","LP","8.51632916846187","855.856","864.377","864.706","8.85","0.329","3","258"
"129","R_6mPUZelHoMRZfP3","standard","129","LP","30","865.71","NaN","876.676","10.966","NaN","0","258"
"130","R_6mPUZelHoMRZfP3","standard","130","LP","30","877.68","NaN","885.826","8.146","NaN","0","258"
