"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_9sEFgcCs2wYObf3","standard","1","LP","8.51632916846187","0","8.518","9.133","9.133","0.615","3","3"
"2","R_9sEFgcCs2wYObf3","standard","2","LP","8.51632916846187","10.136","NaN","15.351","5.215","NaN","0","3"
"3","R_9sEFgcCs2wYObf3","standard","3","LP","13.0392072382594","16.356","29.399","30.681","14.325","1.282","3","6"
"4","R_9sEFgcCs2wYObf3","standard","4","LP","8.51632916846187","31.684","40.204","41.351","9.667","1.147","3","9"
"5","R_9sEFgcCs2wYObf3","standard","5","LP","0.661783713916415","42.352","43.014","68.018","25.666","25.004","3","12"
"6","R_9sEFgcCs2wYObf3","standard","6","LP","1.25738905644119","69.022","70.284","81.675","12.653","11.391","3","15"
"7","R_9sEFgcCs2wYObf3","standard","7","LP","1.25738905644119","82.68","83.942","91.977","9.297","8.035","3","18"
"8","R_9sEFgcCs2wYObf3","standard","8","LP","19.8235243429556","92.983","112.807","114.013","21.03","1.206","3","21"
"9","R_9sEFgcCs2wYObf3","standard","9","LP","1.25738905644119","115.014","116.275","117.868","2.854","1.593","3","24"
"10","R_9sEFgcCs2wYObf3","standard","10","LP","19.8235243429556","118.871","138.699","139.806","20.935","1.107","3","27"
"11","R_9sEFgcCs2wYObf3","standard","11","LP","8.51632916846187","140.807","149.324","150.779","9.972","1.455","3","30"
"12","R_9sEFgcCs2wYObf3","standard","12","LP","0.264713485566566","151.783","152.05","157.724","5.941","5.674","3","33"
"13","R_9sEFgcCs2wYObf3","standard","13","LP","1.25738905644119","158.726","159.988","162.943","4.217","2.955","3","36"
"14","R_9sEFgcCs2wYObf3","standard","14","LP","19.8235243429556","163.944","NaN","178.29","14.346","NaN","0","36"
"15","R_9sEFgcCs2wYObf3","standard","15","LP","30","179.291","NaN","205.211","25.92","NaN","0","36"
"16","R_9sEFgcCs2wYObf3","standard","16","LP","13.0392072382594","206.213","219.255","220.335","14.122","1.08","3","39"
"17","R_9sEFgcCs2wYObf3","standard","17","LP","30","221.34","NaN","237.913","16.573","NaN","0","39"
"18","R_9sEFgcCs2wYObf3","standard","18","LP","0.661783713916415","238.915","239.582","241.071","2.156","1.489","3","42"
"19","R_9sEFgcCs2wYObf3","standard","19","LP","1.25738905644119","242.076","243.336","244.417","2.341","1.081","3","45"
"20","R_9sEFgcCs2wYObf3","standard","20","LP","0.661783713916415","245.418","246.084","247.08","1.662","0.996","3","48"
"21","R_9sEFgcCs2wYObf3","standard","21","LP","3.49090909090909","248.085","251.577","252.646","4.561","1.069","3","51"
"22","R_9sEFgcCs2wYObf3","standard","22","LP","0.264713485566566","253.65","253.916","254.813","1.163","0.897","3","54"
"23","R_9sEFgcCs2wYObf3","standard","23","LP","19.8235243429556","255.814","NaN","270.039","14.225","NaN","0","54"
"24","R_9sEFgcCs2wYObf3","standard","24","LP","19.8235243429556","271.042","NaN","286.572","15.53","NaN","0","54"
"25","R_9sEFgcCs2wYObf3","standard","25","LP","0.264713485566566","287.575","287.844","288.761","1.186","0.917","3","57"
"26","R_9sEFgcCs2wYObf3","standard","26","LP","0.661783713916415","289.763","290.426","291.342","1.579","0.916","3","60"
"27","R_9sEFgcCs2wYObf3","standard","27","LP","8.51632916846187","292.344","300.862","301.998","9.654","1.136","3","63"
"28","R_9sEFgcCs2wYObf3","standard","28","LP","2.15079707022835","303.003","305.159","306.587","3.584","1.428","3","66"
"29","R_9sEFgcCs2wYObf3","standard","29","LP","8.51632916846187","307.59","316.107","317.31","9.72","1.203","3","69"
"30","R_9sEFgcCs2wYObf3","standard","30","LP","1.25738905644119","318.31","319.571","320.707","2.397","1.136","3","72"
"31","R_9sEFgcCs2wYObf3","standard","31","LP","0.264713485566566","321.709","321.977","323.236","1.527","1.259","3","75"
"32","R_9sEFgcCs2wYObf3","standard","32","LP","0.661783713916415","324.238","324.9","325.971","1.733","1.071","3","78"
"33","R_9sEFgcCs2wYObf3","standard","33","LP","2.15079707022835","326.976","329.132","330.304","3.328","1.172","3","81"
"34","R_9sEFgcCs2wYObf3","standard","34","LP","0.264713485566566","331.309","331.576","332.614","1.305","1.038","3","84"
"35","R_9sEFgcCs2wYObf3","standard","35","LP","0.661783713916415","333.615","334.277","335.267","1.652","0.99","3","87"
"36","R_9sEFgcCs2wYObf3","standard","36","LP","2.15079707022835","336.273","338.425","339.646","3.373","1.221","3","90"
"37","R_9sEFgcCs2wYObf3","standard","37","LP","0.661783713916415","340.652","341.315","343.076","2.424","1.761","3","93"
"38","R_9sEFgcCs2wYObf3","standard","38","LP","0.264713485566566","344.077","344.344","345.23","1.153","0.886","3","96"
"39","R_9sEFgcCs2wYObf3","standard","39","LP","5.5010771219302","346.232","351.737","353.31","7.078","1.573","3","99"
"40","R_9sEFgcCs2wYObf3","standard","40","LP","0.661783713916415","354.311","354.975","356.282","1.971","1.307","3","102"
"41","R_9sEFgcCs2wYObf3","standard","41","LP","3.49090909090909","357.287","360.779","362.129","4.842","1.35","3","105"
