"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_AbAmGaSlKCE6qPL","standard","1","LP","0.264713485566566","0.001","0.268","2.405","2.404","2.137","3","3"
"2","R_AbAmGaSlKCE6qPL","standard","2","LP","2.15079707022835","3.407","5.564","6.123","2.716","0.559","3","6"
"3","R_AbAmGaSlKCE6qPL","standard","3","LP","30","7.123","37.124","37.712","30.589","0.588","3","9"
"4","R_AbAmGaSlKCE6qPL","standard","4","LP","0.264713485566566","38.715","38.987","40.093","1.378","1.106","3","12"
"5","R_AbAmGaSlKCE6qPL","standard","5","LP","2.15079707022835","41.111","43.278","44.079","2.968","0.801","3","15"
"6","R_AbAmGaSlKCE6qPL","standard","6","LP","5.5010771219302","45.096","50.61","51.321","6.225","0.711","3","18"
"7","R_AbAmGaSlKCE6qPL","standard","7","LP","2.15079707022835","52.323","54.476","55.41","3.087","0.934","3","21"
"8","R_AbAmGaSlKCE6qPL","standard","8","LP","13.0392072382594","56.412","69.452","70.121","13.709","0.669","3","24"
"9","R_AbAmGaSlKCE6qPL","standard","9","LP","8.51632916846187","71.123","79.644","80.263","9.14","0.619","3","27"
"10","R_AbAmGaSlKCE6qPL","standard","10","LP","19.8235243429556","81.277","101.122","101.792","20.515","0.67","3","30"
"11","R_AbAmGaSlKCE6qPL","standard","11","LP","13.0392072382594","102.834","115.877","116.539","13.705","0.662","3","33"
"12","R_AbAmGaSlKCE6qPL","standard","12","LP","3.49090909090909","117.539","121.035","121.798","4.259","0.763","3","36"
"13","R_AbAmGaSlKCE6qPL","standard","13","LP","5.5010771219302","122.807","128.322","128.959","6.152","0.637","3","39"
"14","R_AbAmGaSlKCE6qPL","standard","14","LP","13.0392072382594","129.974","143.019","143.647","13.673","0.628","3","42"
"15","R_AbAmGaSlKCE6qPL","standard","15","LP","30","144.651","174.673","175.206","30.555","0.533","3","45"
"16","R_AbAmGaSlKCE6qPL","standard","16","LP","0.264713485566566","176.209","176.488","187.656","11.447","11.168","3","48"
"17","R_AbAmGaSlKCE6qPL","standard","17","LP","13.0392072382594","188.672","201.721","202.652","13.98","0.931","3","51"
"18","R_AbAmGaSlKCE6qPL","standard","18","LP","0.264713485566566","203.653","203.921","209.663","6.01","5.742","3","54"
"19","R_AbAmGaSlKCE6qPL","standard","19","LP","19.8235243429556","210.669","230.504","234.687","24.018","4.183","3","57"
"20","R_AbAmGaSlKCE6qPL","standard","20","LP","8.51632916846187","235.703","NaN","241.086","5.383","NaN","0","57"
"21","R_AbAmGaSlKCE6qPL","standard","21","LP","1.25738905644119","242.103","243.364","248.189","6.086","4.825","3","60"
"22","R_AbAmGaSlKCE6qPL","standard","22","LP","8.51632916846187","249.203","NaN","253.718","4.515","NaN","0","60"
"23","R_AbAmGaSlKCE6qPL","standard","23","LP","30","254.729","284.733","285.5","30.771","0.767","3","63"
"24","R_AbAmGaSlKCE6qPL","standard","24","LP","5.5010771219302","286.517","292.023","295.569","9.052","3.546","3","66"
"25","R_AbAmGaSlKCE6qPL","standard","25","LP","0.264713485566566","296.6","296.868","303.616","7.016","6.748","3","69"
"26","R_AbAmGaSlKCE6qPL","standard","26","LP","0.264713485566566","304.618","304.884","306.642","2.024","1.758","3","72"
"27","R_AbAmGaSlKCE6qPL","standard","27","LP","0.661783713916415","307.643","308.316","313.812","6.169","5.496","3","75"
"28","R_AbAmGaSlKCE6qPL","standard","28","LP","0.661783713916415","314.817","315.484","316.655","1.838","1.171","3","78"
"29","R_AbAmGaSlKCE6qPL","standard","29","LP","0.661783713916415","317.66","318.324","319.053","1.393","0.729","3","81"
"30","R_AbAmGaSlKCE6qPL","standard","30","LP","1.25738905644119","320.059","321.317","322.048","1.989","0.731","3","84"
"31","R_AbAmGaSlKCE6qPL","standard","31","LP","5.5010771219302","323.052","328.556","329.127","6.075","0.571","3","87"
"32","R_AbAmGaSlKCE6qPL","standard","32","LP","5.5010771219302","330.132","335.636","336.366","6.234","0.73","3","90"
"33","R_AbAmGaSlKCE6qPL","standard","33","LP","0.661783713916415","337.384","338.053","340.667","3.283","2.614","3","93"
"34","R_AbAmGaSlKCE6qPL","standard","34","LP","0.264713485566566","341.69","341.956","351.284","9.594","9.328","3","96"
"35","R_AbAmGaSlKCE6qPL","standard","35","LP","19.8235243429556","352.314","372.14","373.466","21.152","1.326","3","99"
"36","R_AbAmGaSlKCE6qPL","standard","36","LP","13.0392072382594","374.483","NaN","387.282","12.799","NaN","0","99"
"37","R_AbAmGaSlKCE6qPL","standard","37","LP","5.5010771219302","388.314","393.822","394.518","6.204","0.696","3","102"
"38","R_AbAmGaSlKCE6qPL","standard","38","LP","1.25738905644119","395.518","396.781","403.62","8.102","6.839","3","105"
"39","R_AbAmGaSlKCE6qPL","standard","39","LP","5.5010771219302","404.631","410.133","417.017","12.386","6.884","3","108"
"40","R_AbAmGaSlKCE6qPL","standard","40","LP","1.25738905644119","418.086","419.348","422.297","4.211","2.949","3","111"
"41","R_AbAmGaSlKCE6qPL","standard","41","LP","30","423.314","453.313","454.447","31.133","1.134","3","114"
"42","R_AbAmGaSlKCE6qPL","standard","42","LP","8.51632916846187","455.453","463.979","465.178","9.725","1.199","3","117"
"43","R_AbAmGaSlKCE6qPL","standard","43","LP","19.8235243429556","466.209","486.036","487.026","20.817","0.99","3","120"
"44","R_AbAmGaSlKCE6qPL","standard","44","LP","0.661783713916415","488.029","488.692","491.661","3.632","2.969","3","123"
"45","R_AbAmGaSlKCE6qPL","standard","45","LP","0.661783713916415","492.692","493.356","503.907","11.215","10.551","3","126"
"46","R_AbAmGaSlKCE6qPL","standard","46","LP","0.264713485566566","504.914","505.192","506.444","1.53","1.252","3","129"
"47","R_AbAmGaSlKCE6qPL","standard","47","LP","13.0392072382594","507.451","520.507","521.759","14.308","1.252","3","132"
"48","R_AbAmGaSlKCE6qPL","standard","48","LP","19.8235243429556","522.776","542.608","545.437","22.661","2.829","3","135"
"49","R_AbAmGaSlKCE6qPL","standard","49","LP","0.264713485566566","546.444","546.708","558.591","12.147","11.883","3","138"
"50","R_AbAmGaSlKCE6qPL","standard","50","LP","2.15079707022835","559.596","561.746","562.873","3.277","1.127","3","141"
"51","R_AbAmGaSlKCE6qPL","standard","51","LP","0.264713485566566","563.906","564.191","580.227","16.321","16.036","3","144"
"52","R_AbAmGaSlKCE6qPL","standard","52","LP","30","581.235","611.244","611.857","30.622","0.613","3","147"
"53","R_AbAmGaSlKCE6qPL","standard","53","LP","0.264713485566566","612.872","613.14","614.104","1.232","0.964","3","150"
"54","R_AbAmGaSlKCE6qPL","standard","54","LP","0.661783713916415","615.125","615.791","616.656","1.531","0.865","3","153"
"55","R_AbAmGaSlKCE6qPL","standard","55","LP","3.49090909090909","617.672","621.172","621.841","4.169","0.669","3","156"
"56","R_AbAmGaSlKCE6qPL","standard","56","LP","19.8235243429556","622.843","642.687","645.503","22.66","2.816","3","159"
"57","R_AbAmGaSlKCE6qPL","standard","57","LP","8.51632916846187","646.52","655.043","656.172","9.652","1.129","3","162"
"58","R_AbAmGaSlKCE6qPL","standard","58","LP","0.264713485566566","657.179","657.444","661.602","4.423","4.158","3","165"
"59","R_AbAmGaSlKCE6qPL","standard","59","LP","1.25738905644119","662.62","663.887","664.824","2.204","0.937","3","168"
"60","R_AbAmGaSlKCE6qPL","standard","60","LP","8.51632916846187","665.828","674.349","675.003","9.175","0.654","3","171"
"61","R_AbAmGaSlKCE6qPL","standard","61","LP","0.661783713916415","676.022","676.687","678.787","2.765","2.1","3","174"
"62","R_AbAmGaSlKCE6qPL","standard","62","LP","0.661783713916415","679.802","680.469","681.189","1.387","0.72","3","177"
"63","R_AbAmGaSlKCE6qPL","standard","63","LP","2.15079707022835","682.197","684.349","684.905","2.708","0.556","3","180"
"64","R_AbAmGaSlKCE6qPL","standard","64","LP","2.15079707022835","685.919","688.071","688.572","2.653","0.501","3","183"
"65","R_AbAmGaSlKCE6qPL","standard","65","LP","3.49090909090909","689.581","693.085","693.638","4.057","0.553","3","186"
"66","R_AbAmGaSlKCE6qPL","standard","66","LP","3.49090909090909","694.649","698.141","700.265","5.616","2.124","3","189"
"67","R_AbAmGaSlKCE6qPL","standard","67","LP","0.264713485566566","701.268","701.532","702.241","0.973","0.709","3","192"
"68","R_AbAmGaSlKCE6qPL","standard","68","LP","8.51632916846187","703.244","711.765","713.332","10.088","1.567","3","195"
"69","R_AbAmGaSlKCE6qPL","standard","69","LP","1.25738905644119","714.332","715.602","716.488","2.156","0.886","3","198"
"70","R_AbAmGaSlKCE6qPL","standard","70","LP","0.661783713916415","717.501","718.165","719.266","1.765","1.101","3","201"
"71","R_AbAmGaSlKCE6qPL","standard","71","LP","2.15079707022835","720.269","722.422","724.796","4.527","2.374","3","204"
"72","R_AbAmGaSlKCE6qPL","standard","72","LP","19.8235243429556","725.801","745.626","746.624","20.823","0.998","3","207"
