"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_Au5KSZKShiXw8vL","discrete","1","LP","5.5010771219302","0.001","5.509","5.874","5.873","0.365","3","3"
"2","R_Au5KSZKShiXw8vL","discrete","2","LP","0.661783713916415","6.897","7.583","8.026","1.129","0.443","3","6"
"3","R_Au5KSZKShiXw8vL","discrete","3","LP","2.15079707022835","9.034","11.209","11.552","2.518","0.343","3","9"
"4","R_Au5KSZKShiXw8vL","discrete","4","LP","1.25738905644119","12.559","13.818","14.183","1.624","0.365","3","12"
"5","R_Au5KSZKShiXw8vL","discrete","5","LP","1.25738905644119","15.189","16.455","16.789","1.6","0.334","3","15"
"6","R_Au5KSZKShiXw8vL","discrete","6","LP","5.5010771219302","17.796","23.311","23.676","5.88","0.365","3","18"
"7","R_Au5KSZKShiXw8vL","discrete","7","LP","5.5010771219302","24.684","30.194","30.54","5.856","0.346","3","21"
"8","R_Au5KSZKShiXw8vL","discrete","8","LP","19.8235243429556","31.572","NaN","45.374","13.802","NaN","0","21"
"9","R_Au5KSZKShiXw8vL","discrete","9","LP","0.264713485566566","46.384","46.668","47.144","0.76","0.476","3","24"
"10","R_Au5KSZKShiXw8vL","discrete","10","LP","0.264713485566566","48.15","48.417","48.9","0.75","0.483","3","27"
"11","R_Au5KSZKShiXw8vL","discrete","11","LP","3.49090909090909","49.908","53.403","53.781","3.873","0.378","3","30"
"12","R_Au5KSZKShiXw8vL","discrete","12","LP","0.661783713916415","54.791","55.458","55.9","1.109","0.442","3","33"
"13","R_Au5KSZKShiXw8vL","discrete","13","LP","5.5010771219302","56.915","62.418","62.766","5.851","0.348","3","36"
"14","R_Au5KSZKShiXw8vL","discrete","14","LP","19.8235243429556","63.786","NaN","72.458","8.672","NaN","0","36"
"15","R_Au5KSZKShiXw8vL","discrete","15","LP","13.0392072382594","73.466","NaN","82.473","9.007","NaN","0","36"
"16","R_Au5KSZKShiXw8vL","discrete","16","LP","0.264713485566566","83.509","83.78","84.211","0.702","0.431","3","39"
"17","R_Au5KSZKShiXw8vL","discrete","17","LP","2.15079707022835","85.211","87.374","87.862","2.651","0.488","3","42"
"18","R_Au5KSZKShiXw8vL","discrete","18","LP","0.661783713916415","88.879","89.551","90.066","1.187","0.515","3","45"
"19","R_Au5KSZKShiXw8vL","discrete","19","LP","30","91.085","NaN","100.137","9.052","NaN","0","45"
"20","R_Au5KSZKShiXw8vL","discrete","20","LP","0.264713485566566","101.159","101.428","101.812","0.653","0.384","3","48"
