"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_C45VTMSQ3PLqlMd","discrete","1","LP","0.264713485566566","0.001","0.269","0.95","0.949","0.681","3","3"
"2","R_C45VTMSQ3PLqlMd","discrete","2","LP","0.661783713916415","1.952","2.614","3.005","1.053","0.391","3","6"
"3","R_C45VTMSQ3PLqlMd","discrete","3","LP","0.264713485566566","4.007","4.28","4.582","0.575","0.302","3","9"
"4","R_C45VTMSQ3PLqlMd","discrete","4","LP","30","5.583","NaN","18.814","13.231","NaN","0","9"
"5","R_C45VTMSQ3PLqlMd","discrete","5","LP","5.5010771219302","19.823","25.328","25.654","5.831","0.326","3","12"
"6","R_C45VTMSQ3PLqlMd","discrete","6","LP","30","26.655","NaN","35.646","8.991","NaN","0","12"
"7","R_C45VTMSQ3PLqlMd","discrete","7","LP","13.0392072382594","36.655","NaN","38.446","1.791","NaN","0","12"
"8","R_C45VTMSQ3PLqlMd","discrete","8","LP","19.8235243429556","39.447","NaN","49.27","9.823","NaN","0","12"
"9","R_C45VTMSQ3PLqlMd","discrete","9","LP","13.0392072382594","50.272","NaN","59.295","9.023","NaN","0","12"
"10","R_C45VTMSQ3PLqlMd","discrete","10","LP","19.8235243429556","60.303","NaN","69.267","8.964","NaN","0","12"
"11","R_C45VTMSQ3PLqlMd","discrete","11","LP","8.51632916846187","70.272","78.792","79.206","8.934","0.414","3","15"
"12","R_C45VTMSQ3PLqlMd","discrete","12","LP","3.49090909090909","80.208","83.704","85.022","4.814","1.318","3","18"
"13","R_C45VTMSQ3PLqlMd","discrete","13","LP","8.51632916846187","86.024","94.543","95.206","9.182","0.663","3","21"
"14","R_C45VTMSQ3PLqlMd","discrete","14","LP","8.51632916846187","96.208","104.728","105.102","8.894","0.374","3","24"
"15","R_C45VTMSQ3PLqlMd","discrete","15","LP","5.5010771219302","106.105","111.608","114.479","8.374","2.871","3","27"
"16","R_C45VTMSQ3PLqlMd","discrete","16","LP","0.264713485566566","115.489","115.76","119.378","3.889","3.618","3","30"
"17","R_C45VTMSQ3PLqlMd","discrete","17","LP","5.5010771219302","120.383","125.887","126.525","6.142","0.638","3","33"
"18","R_C45VTMSQ3PLqlMd","discrete","18","LP","5.5010771219302","127.527","133.031","133.758","6.231","0.727","3","36"
"19","R_C45VTMSQ3PLqlMd","discrete","19","LP","2.15079707022835","134.767","136.92","137.742","2.975","0.822","3","39"
"20","R_C45VTMSQ3PLqlMd","discrete","20","LP","2.15079707022835","138.744","140.903","141.301","2.557","0.398","3","42"
"21","R_C45VTMSQ3PLqlMd","discrete","21","LP","2.15079707022835","142.303","144.455","144.901","2.598","0.446","3","45"
"22","R_C45VTMSQ3PLqlMd","discrete","22","LP","0.661783713916415","145.904","146.568","146.989","1.085","0.421","3","48"
"23","R_C45VTMSQ3PLqlMd","discrete","23","LP","30","147.992","NaN","164.045","16.053","NaN","0","48"
"24","R_C45VTMSQ3PLqlMd","discrete","24","LP","5.5010771219302","165.047","170.551","171.118","6.071","0.567","3","51"
"25","R_C45VTMSQ3PLqlMd","discrete","25","LP","3.49090909090909","172.128","175.621","176.446","4.318","0.825","3","54"
"26","R_C45VTMSQ3PLqlMd","discrete","26","LP","0.661783713916415","177.446","178.108","179.407","1.961","1.299","3","57"
"27","R_C45VTMSQ3PLqlMd","discrete","27","LP","2.15079707022835","180.411","182.568","183.231","2.82","0.663","3","60"
"28","R_C45VTMSQ3PLqlMd","discrete","28","LP","13.0392072382594","184.239","197.28","198.102","13.863","0.822","3","63"
"29","R_C45VTMSQ3PLqlMd","discrete","29","LP","13.0392072382594","199.104","212.152","212.454","13.35","0.302","3","66"
"30","R_C45VTMSQ3PLqlMd","discrete","30","LP","1.25738905644119","213.456","214.72","215.478","2.022","0.758","3","69"
