"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_C47MowPOcGZxH9v","discrete","1","LP","5.5010771219302","0","NaN","5.443","5.443","NaN","0","0"
"2","R_C47MowPOcGZxH9v","discrete","2","LP","1.25738905644119","6.445","NaN","7.079","0.634","NaN","0","0"
"3","R_C47MowPOcGZxH9v","discrete","3","LP","1.25738905644119","8.084","9.379","9.675","1.591","0.296","3","3"
"4","R_C47MowPOcGZxH9v","discrete","4","LP","5.5010771219302","10.679","NaN","11.22","0.541","NaN","0","3"
"5","R_C47MowPOcGZxH9v","discrete","5","LP","3.49090909090909","12.22","NaN","13.416","1.196","NaN","0","3"
"6","R_C47MowPOcGZxH9v","discrete","6","LP","30","14.42","NaN","14.784","0.364","NaN","0","3"
"7","R_C47MowPOcGZxH9v","discrete","7","LP","19.8235243429556","15.804","NaN","17.666","1.862","NaN","0","3"
"8","R_C47MowPOcGZxH9v","discrete","8","LP","1.25738905644119","18.669","NaN","19.027","0.358","NaN","0","3"
"9","R_C47MowPOcGZxH9v","discrete","9","LP","19.8235243429556","20.028","NaN","20.116","0.088","NaN","0","3"
"10","R_C47MowPOcGZxH9v","discrete","10","LP","19.8235243429556","21.116","NaN","23.495","2.379","NaN","0","3"
"11","R_C47MowPOcGZxH9v","discrete","11","LP","19.8235243429556","24.5","NaN","24.694","0.194","NaN","0","3"
"12","R_C47MowPOcGZxH9v","discrete","12","LP","1.25738905644119","25.701","NaN","26.27","0.569","NaN","0","3"
"13","R_C47MowPOcGZxH9v","discrete","13","LP","0.264713485566566","27.297","NaN","27.373","0.076","NaN","0","3"
"14","R_C47MowPOcGZxH9v","discrete","14","LP","5.5010771219302","28.381","33.899","34.696","6.315","0.797","3","6"
"15","R_C47MowPOcGZxH9v","discrete","15","LP","13.0392072382594","35.711","48.757","49.383","13.672","0.626","3","9"
"16","R_C47MowPOcGZxH9v","discrete","16","LP","30","50.389","80.407","81.36","30.971","0.953","3","12"
"17","R_C47MowPOcGZxH9v","discrete","17","LP","3.49090909090909","82.393","85.893","87.614","5.221","1.721","3","15"
"18","R_C47MowPOcGZxH9v","discrete","18","LP","1.25738905644119","88.621","89.892","91.894","3.273","2.002","3","18"
"19","R_C47MowPOcGZxH9v","discrete","19","LP","1.25738905644119","92.901","94.177","124.381","31.48","30.204","3","21"
"20","R_C47MowPOcGZxH9v","discrete","20","LP","13.0392072382594","125.391","NaN","128.221","2.83","NaN","0","21"
"21","R_C47MowPOcGZxH9v","discrete","21","LP","2.15079707022835","129.226","131.381","134.618","5.392","3.237","3","24"
"22","R_C47MowPOcGZxH9v","discrete","22","LP","1.25738905644119","135.62","NaN","136.568","0.948","NaN","0","24"
"23","R_C47MowPOcGZxH9v","discrete","23","LP","19.8235243429556","137.583","NaN","139.812","2.229","NaN","0","24"
"24","R_C47MowPOcGZxH9v","discrete","24","LP","0.264713485566566","140.82","141.084","143.625","2.805","2.541","3","27"
"25","R_C47MowPOcGZxH9v","discrete","25","LP","13.0392072382594","144.626","NaN","145.588","0.962","NaN","0","27"
"26","R_C47MowPOcGZxH9v","discrete","26","LP","0.661783713916415","146.602","147.268","148.693","2.091","1.425","3","30"
"27","R_C47MowPOcGZxH9v","discrete","27","LP","5.5010771219302","149.708","NaN","151.291","1.583","NaN","0","30"
"28","R_C47MowPOcGZxH9v","discrete","28","LP","19.8235243429556","152.3","NaN","154.051","1.751","NaN","0","30"
"29","R_C47MowPOcGZxH9v","discrete","29","LP","3.49090909090909","155.055","NaN","157.267","2.212","NaN","0","30"
"30","R_C47MowPOcGZxH9v","discrete","30","LP","0.661783713916415","158.268","158.933","161.279","3.011","2.346","3","33"
"31","R_C47MowPOcGZxH9v","discrete","31","LP","8.51632916846187","162.289","NaN","164.728","2.439","NaN","0","33"
"32","R_C47MowPOcGZxH9v","discrete","32","LP","0.661783713916415","165.733","166.407","169.764","4.031","3.357","3","36"
"33","R_C47MowPOcGZxH9v","discrete","33","LP","19.8235243429556","170.773","NaN","172.778","2.005","NaN","0","36"
"34","R_C47MowPOcGZxH9v","discrete","34","LP","0.264713485566566","173.789","174.065","176.389","2.6","2.324","3","39"
"35","R_C47MowPOcGZxH9v","discrete","35","LP","0.264713485566566","177.397","177.672","180.538","3.141","2.866","3","42"
"36","R_C47MowPOcGZxH9v","discrete","36","LP","13.0392072382594","181.541","NaN","184.556","3.015","NaN","0","42"
"37","R_C47MowPOcGZxH9v","discrete","37","LP","19.8235243429556","185.563","NaN","185.98","0.417","NaN","0","42"
"38","R_C47MowPOcGZxH9v","discrete","38","LP","30","186.989","NaN","191.297","4.308","NaN","0","42"
"39","R_C47MowPOcGZxH9v","discrete","39","LP","3.49090909090909","192.3","195.805","198.187","5.887","2.382","3","45"
"40","R_C47MowPOcGZxH9v","discrete","40","LP","3.49090909090909","199.207","202.704","204.704","5.497","2","3","48"
"41","R_C47MowPOcGZxH9v","discrete","41","LP","30","205.706","NaN","210.881","5.175","NaN","0","48"
"42","R_C47MowPOcGZxH9v","discrete","42","LP","19.8235243429556","211.885","NaN","221.343","9.458","NaN","0","48"
"43","R_C47MowPOcGZxH9v","discrete","43","LP","19.8235243429556","222.354","NaN","236.325","13.971","NaN","0","48"
