"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_D2cGW5R15498L0R","discrete","1","LP","0.661783713916415","0","0.662","3.473","3.473","2.811","3","3"
"2","R_D2cGW5R15498L0R","discrete","2","LP","13.0392072382594","4.479","NaN","7.488","3.009","NaN","0","3"
"3","R_D2cGW5R15498L0R","discrete","3","LP","3.49090909090909","8.495","11.993","12.72","4.225","0.727","3","6"
"4","R_D2cGW5R15498L0R","discrete","4","LP","13.0392072382594","13.727","26.767","27.56","13.833","0.793","3","9"
"5","R_D2cGW5R15498L0R","discrete","5","LP","3.49090909090909","28.566","32.062","33.505","4.939","1.443","3","12"
"6","R_D2cGW5R15498L0R","discrete","6","LP","19.8235243429556","34.51","54.334","55.166","20.656","0.832","3","15"
"7","R_D2cGW5R15498L0R","discrete","7","LP","19.8235243429556","56.166","75.99","76.918","20.752","0.928","3","18"
"8","R_D2cGW5R15498L0R","discrete","8","LP","13.0392072382594","77.967","91.006","92.37","14.403","1.364","3","21"
"9","R_D2cGW5R15498L0R","discrete","9","LP","30","93.374","123.374","124.154","30.78","0.78","3","24"
"10","R_D2cGW5R15498L0R","discrete","10","LP","1.25738905644119","125.159","126.423","127.441","2.282","1.018","3","27"
"11","R_D2cGW5R15498L0R","discrete","11","LP","2.15079707022835","128.447","130.598","131.52","3.073","0.922","3","30"
"12","R_D2cGW5R15498L0R","discrete","12","LP","8.51632916846187","132.521","141.039","141.986","9.465","0.947","3","33"
"13","R_D2cGW5R15498L0R","discrete","13","LP","0.661783713916415","142.99","143.655","145.16","2.17","1.505","3","36"
"14","R_D2cGW5R15498L0R","discrete","14","LP","5.5010771219302","146.167","151.67","152.665","6.498","0.995","3","39"
"15","R_D2cGW5R15498L0R","discrete","15","LP","30","153.671","183.678","184.57","30.899","0.892","3","42"
"16","R_D2cGW5R15498L0R","discrete","16","LP","0.264713485566566","185.575","185.846","186.873","1.298","1.027","3","45"
"17","R_D2cGW5R15498L0R","discrete","17","LP","2.15079707022835","187.879","190.029","190.872","2.993","0.843","3","48"
"18","R_D2cGW5R15498L0R","discrete","18","LP","1.25738905644119","191.877","193.141","194.183","2.306","1.042","3","51"
"19","R_D2cGW5R15498L0R","discrete","19","LP","30","195.189","225.189","226.072","30.883","0.883","3","54"
