"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_DP0cnGjch8LxeWl","discrete","1","LP","2.15079707022835","0.001","2.154","5.53","5.529","3.376","3","3"
"2","R_DP0cnGjch8LxeWl","discrete","2","LP","19.8235243429556","6.534","NaN","15.678","9.144","NaN","0","3"
"3","R_DP0cnGjch8LxeWl","discrete","3","LP","8.51632916846187","16.68","25.201","25.837","9.157","0.636","3","6"
"4","R_DP0cnGjch8LxeWl","discrete","4","LP","8.51632916846187","26.841","35.362","35.849","9.008","0.487","3","9"
"5","R_DP0cnGjch8LxeWl","discrete","5","LP","30","36.854","NaN","45.862","9.008","NaN","0","9"
"6","R_DP0cnGjch8LxeWl","discrete","6","LP","0.661783713916415","46.866","47.531","50.147","3.281","2.616","3","12"
"7","R_DP0cnGjch8LxeWl","discrete","7","LP","0.264713485566566","51.152","51.418","52.026","0.874","0.608","3","15"
"8","R_DP0cnGjch8LxeWl","discrete","8","LP","13.0392072382594","53.03","NaN","62.039","9.009","NaN","0","15"
"9","R_DP0cnGjch8LxeWl","discrete","9","LP","2.15079707022835","63.044","65.199","65.684","2.64","0.485","3","18"
"10","R_DP0cnGjch8LxeWl","discrete","10","LP","0.264713485566566","66.684","66.951","67.472","0.788","0.521","3","21"
"11","R_DP0cnGjch8LxeWl","discrete","11","LP","5.5010771219302","68.477","73.982","74.448","5.971","0.466","3","24"
"12","R_DP0cnGjch8LxeWl","discrete","12","LP","19.8235243429556","75.45","NaN","84.418","8.968","NaN","0","24"
"13","R_DP0cnGjch8LxeWl","discrete","13","LP","5.5010771219302","85.419","90.921","91.413","5.994","0.492","3","27"
"14","R_DP0cnGjch8LxeWl","discrete","14","LP","19.8235243429556","92.415","NaN","101.472","9.057","NaN","0","27"
"15","R_DP0cnGjch8LxeWl","discrete","15","LP","0.264713485566566","102.473","102.738","103.18","0.707","0.442","3","30"
"16","R_DP0cnGjch8LxeWl","discrete","16","LP","2.15079707022835","104.183","106.337","106.916","2.733","0.579","3","33"
"17","R_DP0cnGjch8LxeWl","discrete","17","LP","2.15079707022835","107.918","110.071","110.572","2.654","0.501","3","36"
"18","R_DP0cnGjch8LxeWl","discrete","18","LP","5.5010771219302","111.573","117.076","117.603","6.03","0.527","3","39"
"19","R_DP0cnGjch8LxeWl","discrete","19","LP","2.15079707022835","118.606","120.759","121.282","2.676","0.523","3","42"
"20","R_DP0cnGjch8LxeWl","discrete","20","LP","13.0392072382594","122.286","NaN","128.336","6.05","NaN","0","42"
"21","R_DP0cnGjch8LxeWl","discrete","21","LP","19.8235243429556","129.338","NaN","135.378","6.04","NaN","0","42"
"22","R_DP0cnGjch8LxeWl","discrete","22","LP","3.49090909090909","136.382","139.876","140.441","4.059","0.565","3","45"
"23","R_DP0cnGjch8LxeWl","discrete","23","LP","0.264713485566566","141.445","141.711","142.387","0.942","0.676","3","48"
"24","R_DP0cnGjch8LxeWl","discrete","24","LP","0.661783713916415","143.388","144.05","144.873","1.485","0.823","3","51"
"25","R_DP0cnGjch8LxeWl","discrete","25","LP","0.264713485566566","145.879","146.148","146.685","0.806","0.537","3","54"
"26","R_DP0cnGjch8LxeWl","discrete","26","LP","1.25738905644119","147.687","148.947","149.441","1.754","0.494","3","57"
"27","R_DP0cnGjch8LxeWl","discrete","27","LP","5.5010771219302","150.442","155.946","156.383","5.941","0.437","3","60"
"28","R_DP0cnGjch8LxeWl","discrete","28","LP","30","157.386","NaN","163.492","6.106","NaN","0","60"
"29","R_DP0cnGjch8LxeWl","discrete","29","LP","13.0392072382594","164.498","NaN","170.558","6.06","NaN","0","60"
"30","R_DP0cnGjch8LxeWl","discrete","30","LP","0.661783713916415","171.561","172.227","172.729","1.168","0.502","3","63"
"31","R_DP0cnGjch8LxeWl","discrete","31","LP","5.5010771219302","173.731","179.235","179.715","5.984","0.48","3","66"
"32","R_DP0cnGjch8LxeWl","discrete","32","LP","0.264713485566566","180.717","180.985","182.224","1.507","1.239","3","69"
"33","R_DP0cnGjch8LxeWl","discrete","33","LP","3.49090909090909","183.229","186.722","187.275","4.046","0.553","3","72"
"34","R_DP0cnGjch8LxeWl","discrete","34","LP","0.264713485566566","188.28","188.548","189.143","0.863","0.595","3","75"
"35","R_DP0cnGjch8LxeWl","discrete","35","LP","2.15079707022835","190.147","192.298","192.777","2.63","0.479","3","78"
"36","R_DP0cnGjch8LxeWl","discrete","36","LP","30","193.778","NaN","199.83","6.052","NaN","0","78"
"37","R_DP0cnGjch8LxeWl","discrete","37","LP","2.15079707022835","200.836","202.991","203.397","2.561","0.406","3","81"
