"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_PXLd6SRgNVPNYEp","discrete","1","LP","8.51632916846187","0.001","8.521","10.934","10.933","2.413","3","3"
"2","R_PXLd6SRgNVPNYEp","discrete","2","LP","8.51632916846187","11.939","20.459","29.834","17.895","9.375","3","6"
"3","R_PXLd6SRgNVPNYEp","discrete","3","LP","2.15079707022835","30.835","32.987","34.127","3.292","1.14","3","9"
"4","R_PXLd6SRgNVPNYEp","discrete","4","LP","30","35.13","65.131","65.81","30.68","0.679","3","12"
"5","R_PXLd6SRgNVPNYEp","discrete","5","LP","13.0392072382594","66.811","79.858","80.638","13.827","0.78","3","15"
"6","R_PXLd6SRgNVPNYEp","discrete","6","LP","0.264713485566566","81.642","81.917","87.554","5.912","5.637","3","18"
"7","R_PXLd6SRgNVPNYEp","discrete","7","LP","2.15079707022835","88.562","90.714","92.384","3.822","1.67","3","21"
"8","R_PXLd6SRgNVPNYEp","discrete","8","LP","8.51632916846187","93.387","101.906","103.853","10.466","1.947","3","24"
"9","R_PXLd6SRgNVPNYEp","discrete","9","LP","1.25738905644119","104.858","106.116","107.858","3","1.742","3","27"
"10","R_PXLd6SRgNVPNYEp","discrete","10","LP","5.5010771219302","108.866","NaN","112.075","3.209","NaN","0","27"
"11","R_PXLd6SRgNVPNYEp","discrete","11","LP","0.661783713916415","113.082","113.746","117.186","4.104","3.44","3","30"
"12","R_PXLd6SRgNVPNYEp","discrete","12","LP","3.49090909090909","118.195","121.691","124.167","5.972","2.476","3","33"
"13","R_PXLd6SRgNVPNYEp","discrete","13","LP","2.15079707022835","125.17","127.322","127.971","2.801","0.649","3","36"
"14","R_PXLd6SRgNVPNYEp","discrete","14","LP","0.264713485566566","128.979","129.25","133.049","4.07","3.799","3","39"
"15","R_PXLd6SRgNVPNYEp","discrete","15","LP","8.51632916846187","134.05","142.57","143.267","9.217","0.697","3","42"
"16","R_PXLd6SRgNVPNYEp","discrete","16","LP","2.15079707022835","144.275","146.426","147.274","2.999","0.848","3","45"
"17","R_PXLd6SRgNVPNYEp","discrete","17","LP","0.661783713916415","148.275","148.938","151.21","2.935","2.272","3","48"
"18","R_PXLd6SRgNVPNYEp","discrete","18","LP","30","152.211","182.213","182.829","30.618","0.616","3","51"
"19","R_PXLd6SRgNVPNYEp","discrete","19","LP","0.661783713916415","183.836","184.499","185.156","1.32","0.657","3","54"
"20","R_PXLd6SRgNVPNYEp","discrete","20","LP","3.49090909090909","186.162","189.659","190.666","4.504","1.007","3","57"
"21","R_PXLd6SRgNVPNYEp","discrete","21","LP","3.49090909090909","191.675","195.17","196.01","4.335","0.84","3","60"
"22","R_PXLd6SRgNVPNYEp","discrete","22","LP","2.15079707022835","197.018","199.17","200.187","3.169","1.017","3","63"
"23","R_PXLd6SRgNVPNYEp","discrete","23","LP","30","201.195","231.203","231.784","30.589","0.581","3","66"
"24","R_PXLd6SRgNVPNYEp","discrete","24","LP","19.8235243429556","232.787","252.618","253.825","21.038","1.207","3","69"
"25","R_PXLd6SRgNVPNYEp","discrete","25","LP","19.8235243429556","254.826","274.65","277.321","22.495","2.671","3","72"
"26","R_PXLd6SRgNVPNYEp","discrete","26","LP","3.49090909090909","278.324","281.82","282.596","4.272","0.776","3","75"
"27","R_PXLd6SRgNVPNYEp","discrete","27","LP","30","283.604","313.605","314.516","30.912","0.911","3","78"
"28","R_PXLd6SRgNVPNYEp","discrete","28","LP","8.51632916846187","315.523","324.044","325.109","9.586","1.065","3","81"
"29","R_PXLd6SRgNVPNYEp","discrete","29","LP","0.661783713916415","326.109","326.771","333.886","7.777","7.115","3","84"
"30","R_PXLd6SRgNVPNYEp","discrete","30","LP","8.51632916846187","334.891","343.411","346.865","11.974","3.454","3","87"
"31","R_PXLd6SRgNVPNYEp","discrete","31","LP","19.8235243429556","347.866","367.691","368.487","20.621","0.796","3","90"
"32","R_PXLd6SRgNVPNYEp","discrete","32","LP","30","369.49","399.491","400.253","30.763","0.762","3","93"
"33","R_PXLd6SRgNVPNYEp","discrete","33","LP","5.5010771219302","401.26","406.762","407.526","6.266","0.764","3","96"
"34","R_PXLd6SRgNVPNYEp","discrete","34","LP","3.49090909090909","408.531","412.026","413.003","4.472","0.977","3","99"
"35","R_PXLd6SRgNVPNYEp","discrete","35","LP","5.5010771219302","414.006","419.509","421.734","7.728","2.225","3","102"
"36","R_PXLd6SRgNVPNYEp","discrete","36","LP","0.264713485566566","422.739","423.003","423.943","1.204","0.94","3","105"
"37","R_PXLd6SRgNVPNYEp","discrete","37","LP","2.15079707022835","424.946","427.099","431.214","6.268","4.115","3","108"
"38","R_PXLd6SRgNVPNYEp","discrete","38","LP","1.25738905644119","432.219","433.482","434.216","1.997","0.734","3","111"
"39","R_PXLd6SRgNVPNYEp","discrete","39","LP","19.8235243429556","435.218","455.042","461.386","26.168","6.344","3","114"
"40","R_PXLd6SRgNVPNYEp","discrete","40","LP","13.0392072382594","462.396","475.443","479.451","17.055","4.008","3","117"
"41","R_PXLd6SRgNVPNYEp","discrete","41","LP","0.661783713916415","480.459","481.122","482.042","1.583","0.92","3","120"
"42","R_PXLd6SRgNVPNYEp","discrete","42","LP","3.49090909090909","483.052","486.547","487.23","4.178","0.683","3","123"
"43","R_PXLd6SRgNVPNYEp","discrete","43","LP","0.264713485566566","488.234","488.499","489.49","1.256","0.991","3","126"
"44","R_PXLd6SRgNVPNYEp","discrete","44","LP","19.8235243429556","490.49","510.316","511.001","20.511","0.685","3","129"
"45","R_PXLd6SRgNVPNYEp","discrete","45","LP","5.5010771219302","512.004","517.508","518.319","6.315","0.811","3","132"
