"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_RRpgq5a5yw3EJAB","standard","1","LP","0.264713485566566","0.001","0.274","5.173","5.172","4.899","3","3"
"2","R_RRpgq5a5yw3EJAB","standard","2","LP","0.661783713916415","6.19","6.86","7.878","1.688","1.018","3","6"
"3","R_RRpgq5a5yw3EJAB","standard","3","LP","19.8235243429556","8.89","28.714","29.404","20.514","0.69","3","9"
"4","R_RRpgq5a5yw3EJAB","standard","4","LP","30","30.415","60.419","61.101","30.686","0.682","3","12"
"5","R_RRpgq5a5yw3EJAB","standard","5","LP","30","62.118","92.129","92.949","30.831","0.82","3","15"
"6","R_RRpgq5a5yw3EJAB","standard","6","LP","5.5010771219302","93.955","99.469","103.527","9.572","4.058","3","18"
"7","R_RRpgq5a5yw3EJAB","standard","7","LP","2.15079707022835","104.532","106.686","110.072","5.54","3.386","3","21"
"8","R_RRpgq5a5yw3EJAB","standard","8","LP","2.15079707022835","111.086","113.244","114.938","3.852","1.694","3","24"
"9","R_RRpgq5a5yw3EJAB","standard","9","LP","2.15079707022835","115.939","118.092","119.098","3.159","1.006","3","27"
"10","R_RRpgq5a5yw3EJAB","standard","10","LP","2.15079707022835","120.099","122.252","122.954","2.855","0.702","3","30"
"11","R_RRpgq5a5yw3EJAB","standard","11","LP","5.5010771219302","123.963","129.469","130.246","6.283","0.777","3","33"
"12","R_RRpgq5a5yw3EJAB","standard","12","LP","5.5010771219302","131.252","136.755","137.528","6.276","0.773","3","36"
"13","R_RRpgq5a5yw3EJAB","standard","13","LP","5.5010771219302","138.532","144.036","144.724","6.192","0.688","3","39"
"14","R_RRpgq5a5yw3EJAB","standard","14","LP","1.25738905644119","145.732","146.995","149.329","3.597","2.334","3","42"
"15","R_RRpgq5a5yw3EJAB","standard","15","LP","5.5010771219302","150.332","155.835","158.031","7.699","2.196","3","45"
"16","R_RRpgq5a5yw3EJAB","standard","16","LP","2.15079707022835","159.036","161.187","163.721","4.685","2.534","3","48"
"17","R_RRpgq5a5yw3EJAB","standard","17","LP","0.264713485566566","164.724","164.999","165.899","1.175","0.9","3","51"
"18","R_RRpgq5a5yw3EJAB","standard","18","LP","2.15079707022835","166.915","169.067","174.536","7.621","5.469","3","54"
"19","R_RRpgq5a5yw3EJAB","standard","19","LP","3.49090909090909","175.539","179.036","179.715","4.176","0.679","3","57"
"20","R_RRpgq5a5yw3EJAB","standard","20","LP","30","180.716","NaN","195","14.284","NaN","0","57"
"21","R_RRpgq5a5yw3EJAB","standard","21","LP","8.51632916846187","196.016","204.534","205.867","9.851","1.333","3","60"
"22","R_RRpgq5a5yw3EJAB","standard","22","LP","0.264713485566566","206.88","207.147","210.478","3.598","3.331","3","63"
"23","R_RRpgq5a5yw3EJAB","standard","23","LP","30","211.497","241.499","242.267","30.77","0.768","3","66"
"24","R_RRpgq5a5yw3EJAB","standard","24","LP","19.8235243429556","243.276","263.108","264.924","21.648","1.816","3","69"
"25","R_RRpgq5a5yw3EJAB","standard","25","LP","19.8235243429556","265.932","285.755","286.394","20.462","0.639","3","72"
"26","R_RRpgq5a5yw3EJAB","standard","26","LP","3.49090909090909","287.41","290.913","292.811","5.401","1.898","3","75"
"27","R_RRpgq5a5yw3EJAB","standard","27","LP","0.661783713916415","293.812","294.477","295.591","1.779","1.114","3","78"
"28","R_RRpgq5a5yw3EJAB","standard","28","LP","2.15079707022835","296.595","298.762","301.3","4.705","2.538","3","81"
"29","R_RRpgq5a5yw3EJAB","standard","29","LP","30","302.307","332.311","333","30.693","0.689","3","84"
"30","R_RRpgq5a5yw3EJAB","standard","30","LP","30","334.008","364.011","364.627","30.619","0.616","3","87"
"31","R_RRpgq5a5yw3EJAB","standard","31","LP","30","365.635","395.635","396.294","30.659","0.659","3","90"
"32","R_RRpgq5a5yw3EJAB","standard","32","LP","0.264713485566566","397.325","397.602","398.576","1.251","0.974","3","93"
"33","R_RRpgq5a5yw3EJAB","standard","33","LP","8.51632916846187","399.59","408.117","409.382","9.792","1.265","3","96"
"34","R_RRpgq5a5yw3EJAB","standard","34","LP","5.5010771219302","410.388","415.905","416.93","6.542","1.025","3","99"
"35","R_RRpgq5a5yw3EJAB","standard","35","LP","0.661783713916415","417.932","418.604","419.996","2.064","1.392","3","102"
"36","R_RRpgq5a5yw3EJAB","standard","36","LP","19.8235243429556","421.014","440.841","441.996","20.982","1.155","3","105"
"37","R_RRpgq5a5yw3EJAB","standard","37","LP","13.0392072382594","443.008","456.051","456.87","13.862","0.819","3","108"
"38","R_RRpgq5a5yw3EJAB","standard","38","LP","0.264713485566566","457.89","458.164","459.617","1.727","1.453","3","111"
"39","R_RRpgq5a5yw3EJAB","standard","39","LP","0.661783713916415","460.62","461.289","462.355","1.735","1.066","3","114"
"40","R_RRpgq5a5yw3EJAB","standard","40","LP","2.15079707022835","463.372","465.526","466.174","2.802","0.648","3","117"
"41","R_RRpgq5a5yw3EJAB","standard","41","LP","0.661783713916415","467.188","467.851","469.158","1.97","1.307","3","120"
"42","R_RRpgq5a5yw3EJAB","standard","42","LP","2.15079707022835","470.163","472.315","473.36","3.197","1.045","3","123"
"43","R_RRpgq5a5yw3EJAB","standard","43","LP","8.51632916846187","474.363","482.889","484.088","9.725","1.199","3","126"
"44","R_RRpgq5a5yw3EJAB","standard","44","LP","1.25738905644119","485.102","486.371","487.144","2.042","0.773","3","129"
"45","R_RRpgq5a5yw3EJAB","standard","45","LP","19.8235243429556","488.147","507.972","508.735","20.588","0.763","3","132"
"46","R_RRpgq5a5yw3EJAB","standard","46","LP","3.49090909090909","509.738","513.236","514.715","4.977","1.479","3","135"
"47","R_RRpgq5a5yw3EJAB","standard","47","LP","2.15079707022835","515.715","517.867","518.739","3.024","0.872","3","138"
"48","R_RRpgq5a5yw3EJAB","standard","48","LP","13.0392072382594","519.739","532.794","533.592","13.853","0.798","3","141"
"49","R_RRpgq5a5yw3EJAB","standard","49","LP","0.661783713916415","534.596","535.26","537.731","3.135","2.471","3","144"
"50","R_RRpgq5a5yw3EJAB","standard","50","LP","0.661783713916415","538.732","539.401","540.402","1.67","1.001","3","147"
"51","R_RRpgq5a5yw3EJAB","standard","51","LP","0.661783713916415","541.416","542.086","543.163","1.747","1.077","3","150"
"52","R_RRpgq5a5yw3EJAB","standard","52","LP","2.15079707022835","544.186","546.341","547.131","2.945","0.79","3","153"
"53","R_RRpgq5a5yw3EJAB","standard","53","LP","0.264713485566566","548.133","548.403","549.401","1.268","0.998","3","156"
"54","R_RRpgq5a5yw3EJAB","standard","54","LP","30","550.413","580.416","581.142","30.729","0.726","3","159"
"55","R_RRpgq5a5yw3EJAB","standard","55","LP","0.661783713916415","582.147","582.812","583.899","1.752","1.087","3","162"
"56","R_RRpgq5a5yw3EJAB","standard","56","LP","19.8235243429556","584.904","604.731","606.057","21.153","1.326","3","165"
"57","R_RRpgq5a5yw3EJAB","standard","57","LP","0.661783713916415","607.059","607.724","611.413","4.354","3.689","3","168"
"58","R_RRpgq5a5yw3EJAB","standard","58","LP","19.8235243429556","612.416","632.244","632.904","20.488","0.66","3","171"
"59","R_RRpgq5a5yw3EJAB","standard","59","LP","2.15079707022835","633.91","636.081","638.978","5.068","2.897","3","174"
"60","R_RRpgq5a5yw3EJAB","standard","60","LP","8.51632916846187","639.979","648.513","649.552","9.573","1.039","3","177"
"61","R_RRpgq5a5yw3EJAB","standard","61","LP","2.15079707022835","650.556","652.721","655.304","4.748","2.583","3","180"
