"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_T5yKXt6rPYFUc37","discrete","1","LP","1.25738905644119","0.001","1.259","1.849","1.848","0.59","3","3"
"2","R_T5yKXt6rPYFUc37","discrete","2","LP","0.264713485566566","2.86","3.136","6.386","3.526","3.25","3","6"
"3","R_T5yKXt6rPYFUc37","discrete","3","LP","5.5010771219302","7.394","12.901","13.251","5.857","0.35","3","9"
"4","R_T5yKXt6rPYFUc37","discrete","4","LP","19.8235243429556","14.252","NaN","20.326","6.074","NaN","0","9"
"5","R_T5yKXt6rPYFUc37","discrete","5","LP","13.0392072382594","21.335","NaN","24.143","2.808","NaN","0","9"
"6","R_T5yKXt6rPYFUc37","discrete","6","LP","13.0392072382594","25.156","38.202","38.609","13.453","0.407","3","12"
"7","R_T5yKXt6rPYFUc37","discrete","7","LP","19.8235243429556","39.61","NaN","54.02","14.41","NaN","0","12"
"8","R_T5yKXt6rPYFUc37","discrete","8","LP","1.25738905644119","55.034","56.311","56.75","1.716","0.439","3","15"
"9","R_T5yKXt6rPYFUc37","discrete","9","LP","30","57.762","NaN","59.886","2.124","NaN","0","15"
"10","R_T5yKXt6rPYFUc37","discrete","10","LP","13.0392072382594","60.898","NaN","63.594","2.696","NaN","0","15"
"11","R_T5yKXt6rPYFUc37","discrete","11","LP","13.0392072382594","64.611","NaN","68.516","3.905","NaN","0","15"
"12","R_T5yKXt6rPYFUc37","discrete","12","LP","13.0392072382594","69.517","NaN","73.53","4.013","NaN","0","15"
"13","R_T5yKXt6rPYFUc37","discrete","13","LP","13.0392072382594","74.535","NaN","78.841","4.306","NaN","0","15"
"14","R_T5yKXt6rPYFUc37","discrete","14","LP","30","79.848","NaN","88.808","8.96","NaN","0","15"
"15","R_T5yKXt6rPYFUc37","discrete","15","LP","5.5010771219302","89.822","NaN","91.33","1.508","NaN","0","15"
"16","R_T5yKXt6rPYFUc37","discrete","16","LP","0.264713485566566","92.335","92.602","93.098","0.763","0.496","3","18"
"17","R_T5yKXt6rPYFUc37","discrete","17","LP","30","94.12","NaN","98.027","3.907","NaN","0","18"
"18","R_T5yKXt6rPYFUc37","discrete","18","LP","3.49090909090909","99.034","102.535","102.936","3.902","0.401","3","21"
"19","R_T5yKXt6rPYFUc37","discrete","19","LP","2.15079707022835","103.956","106.107","106.45","2.494","0.343","3","24"
"20","R_T5yKXt6rPYFUc37","discrete","20","LP","0.661783713916415","107.452","108.118","108.598","1.146","0.48","3","27"
"21","R_T5yKXt6rPYFUc37","discrete","21","LP","2.15079707022835","109.614","111.78","112.093","2.479","0.313","3","30"
"22","R_T5yKXt6rPYFUc37","discrete","22","LP","5.5010771219302","113.106","NaN","117.106","4","NaN","0","30"
"23","R_T5yKXt6rPYFUc37","discrete","23","LP","13.0392072382594","118.111","NaN","122.077","3.966","NaN","0","30"
"24","R_T5yKXt6rPYFUc37","discrete","24","LP","19.8235243429556","123.081","NaN","126.982","3.901","NaN","0","30"
"25","R_T5yKXt6rPYFUc37","discrete","25","LP","19.8235243429556","127.994","NaN","134.016","6.022","NaN","0","30"
"26","R_T5yKXt6rPYFUc37","discrete","26","LP","1.25738905644119","135.027","136.298","136.634","1.607","0.336","3","33"
"27","R_T5yKXt6rPYFUc37","discrete","27","LP","30","137.635","NaN","141.645","4.01","NaN","0","33"
"28","R_T5yKXt6rPYFUc37","discrete","28","LP","0.264713485566566","142.652","142.929","143.66","1.008","0.731","3","36"
"29","R_T5yKXt6rPYFUc37","discrete","29","LP","1.25738905644119","144.678","145.936","146.324","1.646","0.388","3","39"
"30","R_T5yKXt6rPYFUc37","discrete","30","LP","0.661783713916415","147.334","148.015","148.41","1.076","0.395","3","42"
