"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_Ti4SXfUVQvim6GJ","standard","1","LP","0.661783713916415","0","0.672","1.402","1.402","0.73","3","3"
"2","R_Ti4SXfUVQvim6GJ","standard","2","LP","30","2.425","NaN","10.006","7.581","NaN","0","3"
"3","R_Ti4SXfUVQvim6GJ","standard","3","LP","8.51632916846187","11.019","19.538","19.972","8.953","0.434","3","6"
"4","R_Ti4SXfUVQvim6GJ","standard","4","LP","30","20.981","NaN","32.082","11.101","NaN","0","6"
"5","R_Ti4SXfUVQvim6GJ","standard","5","LP","19.8235243429556","33.098","NaN","35.52","2.422","NaN","0","6"
"6","R_Ti4SXfUVQvim6GJ","standard","6","LP","1.25738905644119","36.53","37.794","38.192","1.662","0.398","3","9"
"7","R_Ti4SXfUVQvim6GJ","standard","7","LP","13.0392072382594","39.197","NaN","42.186","2.989","NaN","0","9"
"8","R_Ti4SXfUVQvim6GJ","standard","8","LP","8.51632916846187","43.209","NaN","50.521","7.312","NaN","0","9"
"9","R_Ti4SXfUVQvim6GJ","standard","9","LP","3.49090909090909","51.525","55.019","55.437","3.912","0.418","3","12"
"10","R_Ti4SXfUVQvim6GJ","standard","10","LP","0.264713485566566","56.442","56.707","57.172","0.73","0.465","3","15"
"11","R_Ti4SXfUVQvim6GJ","standard","11","LP","3.49090909090909","58.193","61.704","62.485","4.292","0.781","3","18"
"12","R_Ti4SXfUVQvim6GJ","standard","12","LP","1.25738905644119","63.49","64.754","65.072","1.582","0.318","3","21"
"13","R_Ti4SXfUVQvim6GJ","standard","13","LP","0.661783713916415","66.096","66.772","67.132","1.036","0.36","3","24"
"14","R_Ti4SXfUVQvim6GJ","standard","14","LP","8.51632916846187","68.151","76.686","77.058","8.907","0.372","3","27"
"15","R_Ti4SXfUVQvim6GJ","standard","15","LP","0.264713485566566","78.071","78.337","78.768","0.697","0.431","3","30"
"16","R_Ti4SXfUVQvim6GJ","standard","16","LP","19.8235243429556","79.769","NaN","87.542","7.773","NaN","0","30"
"17","R_Ti4SXfUVQvim6GJ","standard","17","LP","1.25738905644119","88.55","89.82","90.218","1.668","0.398","3","33"
"18","R_Ti4SXfUVQvim6GJ","standard","18","LP","30","91.224","NaN","98.411","7.187","NaN","0","33"
"19","R_Ti4SXfUVQvim6GJ","standard","19","LP","13.0392072382594","99.425","NaN","106.497","7.072","NaN","0","33"
