"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_UgsRDoGGU3RyOfT","discrete","1","LP","2.15079707022835","0.001","2.157","5.543","5.542","3.386","3","3"
"2","R_UgsRDoGGU3RyOfT","discrete","2","LP","3.49090909090909","6.548","10.074","12.024","5.476","1.95","3","6"
"3","R_UgsRDoGGU3RyOfT","discrete","3","LP","0.264713485566566","13.024","13.306","16.311","3.287","3.005","3","9"
"4","R_UgsRDoGGU3RyOfT","discrete","4","LP","19.8235243429556","17.323","NaN","20.223","2.9","NaN","0","9"
"5","R_UgsRDoGGU3RyOfT","discrete","5","LP","8.51632916846187","21.224","29.74","30.512","9.288","0.772","3","12"
"6","R_UgsRDoGGU3RyOfT","discrete","6","LP","1.25738905644119","31.517","32.789","36.582","5.065","3.793","3","15"
"7","R_UgsRDoGGU3RyOfT","discrete","7","LP","1.25738905644119","37.59","38.853","40.287","2.697","1.434","3","18"
"8","R_UgsRDoGGU3RyOfT","discrete","8","LP","3.49090909090909","41.293","44.79","45.239","3.946","0.449","3","21"
"9","R_UgsRDoGGU3RyOfT","discrete","9","LP","0.264713485566566","46.245","46.518","47.472","1.227","0.954","3","24"
"10","R_UgsRDoGGU3RyOfT","discrete","10","LP","0.264713485566566","48.476","48.74","49.631","1.155","0.891","3","27"
"11","R_UgsRDoGGU3RyOfT","discrete","11","LP","30","50.637","80.642","81.368","30.731","0.726","3","30"
"12","R_UgsRDoGGU3RyOfT","discrete","12","LP","8.51632916846187","82.371","90.903","93.472","11.101","2.569","3","33"
"13","R_UgsRDoGGU3RyOfT","discrete","13","LP","0.264713485566566","94.475","94.746","99.894","5.419","5.148","3","36"
"14","R_UgsRDoGGU3RyOfT","discrete","14","LP","13.0392072382594","100.898","113.947","114.683","13.785","0.736","3","39"
"15","R_UgsRDoGGU3RyOfT","discrete","15","LP","5.5010771219302","115.699","121.202","122.381","6.682","1.179","3","42"
"16","R_UgsRDoGGU3RyOfT","discrete","16","LP","13.0392072382594","123.385","136.426","137.62","14.235","1.194","3","45"
"17","R_UgsRDoGGU3RyOfT","discrete","17","LP","5.5010771219302","138.624","144.129","145.044","6.42","0.915","3","48"
"18","R_UgsRDoGGU3RyOfT","discrete","18","LP","0.661783713916415","146.049","146.714","151.622","5.573","4.908","3","51"
"19","R_UgsRDoGGU3RyOfT","discrete","19","LP","3.49090909090909","152.633","156.13","156.933","4.3","0.803","3","54"
"20","R_UgsRDoGGU3RyOfT","discrete","20","LP","2.15079707022835","157.94","160.096","163.854","5.914","3.758","3","57"
"21","R_UgsRDoGGU3RyOfT","discrete","21","LP","5.5010771219302","164.857","170.362","171.285","6.428","0.923","3","60"
"22","R_UgsRDoGGU3RyOfT","discrete","22","LP","5.5010771219302","172.297","177.812","178.719","6.422","0.907","3","63"
"23","R_UgsRDoGGU3RyOfT","discrete","23","LP","1.25738905644119","179.721","180.996","181.859","2.138","0.863","3","66"
"24","R_UgsRDoGGU3RyOfT","discrete","24","LP","19.8235243429556","182.864","202.691","203.541","20.677","0.85","3","69"
"25","R_UgsRDoGGU3RyOfT","discrete","25","LP","30","204.544","234.552","235.365","30.821","0.813","3","72"
"26","R_UgsRDoGGU3RyOfT","discrete","26","LP","5.5010771219302","236.367","241.89","243.108","6.741","1.218","3","75"
"27","R_UgsRDoGGU3RyOfT","discrete","27","LP","0.661783713916415","244.11","244.775","247.676","3.566","2.901","3","78"
"28","R_UgsRDoGGU3RyOfT","discrete","28","LP","5.5010771219302","248.69","254.198","256.323","7.633","2.125","3","81"
