"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_WjuHavTfKenYs9j","standard","1","LP","2.15079707022835","0","2.157","2.632","2.632","0.475","3","3"
"2","R_WjuHavTfKenYs9j","standard","2","LP","1.25738905644119","3.637","4.915","5.374","1.737","0.459","3","6"
"3","R_WjuHavTfKenYs9j","standard","3","LP","0.661783713916415","6.389","7.053","7.404","1.015","0.351","3","9"
"4","R_WjuHavTfKenYs9j","standard","4","LP","1.25738905644119","8.405","9.679","10.09","1.685","0.411","3","12"
"5","R_WjuHavTfKenYs9j","standard","5","LP","5.5010771219302","11.107","16.61","17.005","5.898","0.395","3","15"
"6","R_WjuHavTfKenYs9j","standard","6","LP","8.51632916846187","18.011","NaN","25.114","7.103","NaN","0","15"
"7","R_WjuHavTfKenYs9j","standard","7","LP","30","26.118","NaN","31.614","5.496","NaN","0","15"
"8","R_WjuHavTfKenYs9j","standard","8","LP","19.8235243429556","32.623","NaN","42.208","9.585","NaN","0","15"
"9","R_WjuHavTfKenYs9j","standard","9","LP","30","43.212","NaN","48.68","5.468","NaN","0","15"
"10","R_WjuHavTfKenYs9j","standard","10","LP","1.25738905644119","49.693","50.957","51.394","1.701","0.437","3","18"
"11","R_WjuHavTfKenYs9j","standard","11","LP","5.5010771219302","52.402","57.911","58.237","5.835","0.326","3","21"
"12","R_WjuHavTfKenYs9j","standard","12","LP","1.25738905644119","59.237","60.513","61.027","1.79","0.514","3","24"
"13","R_WjuHavTfKenYs9j","standard","13","LP","0.661783713916415","62.029","62.698","63.067","1.038","0.369","3","27"
"14","R_WjuHavTfKenYs9j","standard","14","LP","0.264713485566566","64.082","64.349","64.693","0.611","0.344","3","30"
"15","R_WjuHavTfKenYs9j","standard","15","LP","8.51632916846187","65.702","NaN","70.689","4.987","NaN","0","30"
"16","R_WjuHavTfKenYs9j","standard","16","LP","30","71.693","101.713","102.053","30.36","0.34","3","33"
"17","R_WjuHavTfKenYs9j","standard","17","LP","0.264713485566566","103.069","103.334","103.824","0.755","0.49","3","36"
"18","R_WjuHavTfKenYs9j","standard","18","LP","8.51632916846187","104.83","113.349","113.626","8.796","0.277","3","39"
"19","R_WjuHavTfKenYs9j","standard","19","LP","30","114.64","NaN","124.727","10.087","NaN","0","39"
"20","R_WjuHavTfKenYs9j","standard","20","LP","0.264713485566566","125.74","126.006","126.378","0.638","0.372","3","42"
"21","R_WjuHavTfKenYs9j","standard","21","LP","0.661783713916415","127.382","128.061","128.606","1.224","0.545","3","45"
"22","R_WjuHavTfKenYs9j","standard","22","LP","0.661783713916415","129.611","130.287","130.632","1.021","0.345","3","48"
"23","R_WjuHavTfKenYs9j","standard","23","LP","0.661783713916415","131.638","132.302","132.632","0.994","0.33","3","51"
"24","R_WjuHavTfKenYs9j","standard","24","LP","0.264713485566566","133.64","133.912","134.211","0.571","0.299","3","54"
"25","R_WjuHavTfKenYs9j","standard","25","LP","19.8235243429556","135.211","NaN","148.874","13.663","NaN","0","54"
"26","R_WjuHavTfKenYs9j","standard","26","LP","5.5010771219302","149.89","NaN","153.242","3.352","NaN","0","54"
"27","R_WjuHavTfKenYs9j","standard","27","LP","1.25738905644119","154.246","155.506","155.943","1.697","0.437","3","57"
"28","R_WjuHavTfKenYs9j","standard","28","LP","3.49090909090909","156.951","160.449","160.73","3.779","0.281","3","60"
"29","R_WjuHavTfKenYs9j","standard","29","LP","0.264713485566566","161.733","162.005","162.486","0.753","0.481","3","63"
"30","R_WjuHavTfKenYs9j","standard","30","LP","5.5010771219302","163.503","169.008","169.3","5.797","0.292","3","66"
"31","R_WjuHavTfKenYs9j","standard","31","LP","0.661783713916415","170.301","170.965","171.427","1.126","0.462","3","69"
"32","R_WjuHavTfKenYs9j","standard","32","LP","0.661783713916415","172.43","173.093","173.684","1.254","0.591","3","72"
"33","R_WjuHavTfKenYs9j","standard","33","LP","19.8235243429556","174.693","NaN","181.374","6.681","NaN","0","72"
"34","R_WjuHavTfKenYs9j","standard","34","LP","0.661783713916415","182.387","183.053","183.574","1.187","0.521","3","75"
"35","R_WjuHavTfKenYs9j","standard","35","LP","0.661783713916415","184.581","185.247","185.761","1.18","0.514","3","78"
"36","R_WjuHavTfKenYs9j","standard","36","LP","5.5010771219302","186.765","192.27","192.716","5.951","0.446","3","81"
"37","R_WjuHavTfKenYs9j","standard","37","LP","13.0392072382594","193.717","NaN","201.256","7.539","NaN","0","81"
"38","R_WjuHavTfKenYs9j","standard","38","LP","19.8235243429556","202.261","NaN","214.411","12.15","NaN","0","81"
