"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_ZjHNQSeMD5xjHWN","discrete","1","LP","1.25738905644119","0","1.259","1.846","1.846","0.587","3","3"
"2","R_ZjHNQSeMD5xjHWN","discrete","2","LP","30","2.85","NaN","11.949","9.099","NaN","0","3"
"3","R_ZjHNQSeMD5xjHWN","discrete","3","LP","5.5010771219302","12.954","18.458","18.981","6.027","0.523","3","6"
"4","R_ZjHNQSeMD5xjHWN","discrete","4","LP","13.0392072382594","19.986","33.026","33.397","13.411","0.371","3","9"
"5","R_ZjHNQSeMD5xjHWN","discrete","5","LP","19.8235243429556","34.402","NaN","47.658","13.256","NaN","0","9"
"6","R_ZjHNQSeMD5xjHWN","discrete","6","LP","13.0392072382594","48.666","61.707","62.077","13.411","0.37","3","12"
"7","R_ZjHNQSeMD5xjHWN","discrete","7","LP","5.5010771219302","63.082","68.586","69.001","5.919","0.415","3","15"
"8","R_ZjHNQSeMD5xjHWN","discrete","8","LP","2.15079707022835","70.003","72.154","72.523","2.52","0.369","3","18"
"9","R_ZjHNQSeMD5xjHWN","discrete","9","LP","1.25738905644119","73.531","74.794","75.416","1.885","0.622","3","21"
"10","R_ZjHNQSeMD5xjHWN","discrete","10","LP","0.661783713916415","76.418","77.082","77.449","1.031","0.367","3","24"
"11","R_ZjHNQSeMD5xjHWN","discrete","11","LP","8.51632916846187","78.45","86.97","87.336","8.886","0.366","3","27"
"12","R_ZjHNQSeMD5xjHWN","discrete","12","LP","0.264713485566566","88.338","88.603","89.099","0.761","0.496","3","30"
"13","R_ZjHNQSeMD5xjHWN","discrete","13","LP","0.661783713916415","90.106","90.77","91.106","1","0.336","3","33"
"14","R_ZjHNQSeMD5xjHWN","discrete","14","LP","30","92.109","NaN","105.709","13.6","NaN","0","33"
"15","R_ZjHNQSeMD5xjHWN","discrete","15","LP","0.661783713916415","106.71","107.378","107.944","1.234","0.566","3","36"
"16","R_ZjHNQSeMD5xjHWN","discrete","16","LP","1.25738905644119","108.946","110.207","110.565","1.619","0.358","3","39"
"17","R_ZjHNQSeMD5xjHWN","discrete","17","LP","2.15079707022835","111.57","113.722","114.106","2.536","0.384","3","42"
"18","R_ZjHNQSeMD5xjHWN","discrete","18","LP","19.8235243429556","115.109","NaN","128.41","13.301","NaN","0","42"
"19","R_ZjHNQSeMD5xjHWN","discrete","19","LP","2.15079707022835","129.418","131.57","131.895","2.477","0.325","3","45"
"20","R_ZjHNQSeMD5xjHWN","discrete","20","LP","5.5010771219302","132.898","138.402","138.774","5.876","0.372","3","48"
"21","R_ZjHNQSeMD5xjHWN","discrete","21","LP","1.25738905644119","139.778","141.042","141.604","1.826","0.562","3","51"
"22","R_ZjHNQSeMD5xjHWN","discrete","22","LP","19.8235243429556","142.605","NaN","156.196","13.591","NaN","0","51"
"23","R_ZjHNQSeMD5xjHWN","discrete","23","LP","0.661783713916415","157.202","157.866","158.398","1.196","0.532","3","54"
"24","R_ZjHNQSeMD5xjHWN","discrete","24","LP","13.0392072382594","159.403","172.45","172.71","13.307","0.26","3","57"
"25","R_ZjHNQSeMD5xjHWN","discrete","25","LP","13.0392072382594","173.715","186.762","187.054","13.339","0.292","3","60"
"26","R_ZjHNQSeMD5xjHWN","discrete","26","LP","19.8235243429556","188.058","NaN","201.413","13.355","NaN","0","60"
"27","R_ZjHNQSeMD5xjHWN","discrete","27","LP","2.15079707022835","202.418","204.57","204.934","2.516","0.364","3","63"
"28","R_ZjHNQSeMD5xjHWN","discrete","28","LP","30","205.938","NaN","219.488","13.55","NaN","0","63"
"29","R_ZjHNQSeMD5xjHWN","discrete","29","LP","1.25738905644119","220.49","221.754","222.154","1.664","0.4","3","66"
"30","R_ZjHNQSeMD5xjHWN","discrete","30","LP","30","223.162","NaN","236.194","13.032","NaN","0","66"
"31","R_ZjHNQSeMD5xjHWN","discrete","31","LP","2.15079707022835","237.202","239.354","239.667","2.465","0.313","3","69"
