"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_ZkmgxTr8Q4yijtv","discrete","1","LP","0.264713485566566","0","0.27","3.006","3.006","2.736","3","3"
"2","R_ZkmgxTr8Q4yijtv","discrete","2","LP","5.5010771219302","4.017","9.532","9.933","5.916","0.401","3","6"
"3","R_ZkmgxTr8Q4yijtv","discrete","3","LP","30","10.946","NaN","20.372","9.426","NaN","0","6"
"4","R_ZkmgxTr8Q4yijtv","discrete","4","LP","2.15079707022835","21.395","23.562","23.997","2.602","0.435","3","9"
"5","R_ZkmgxTr8Q4yijtv","discrete","5","LP","2.15079707022835","25.011","27.178","27.586","2.575","0.408","3","12"
"6","R_ZkmgxTr8Q4yijtv","discrete","6","LP","5.5010771219302","28.593","34.108","34.574","5.981","0.466","3","15"
"7","R_ZkmgxTr8Q4yijtv","discrete","7","LP","30","35.591","NaN","44.708","9.117","NaN","0","15"
"8","R_ZkmgxTr8Q4yijtv","discrete","8","LP","8.51632916846187","45.722","54.25","54.663","8.941","0.413","3","18"
"9","R_ZkmgxTr8Q4yijtv","discrete","9","LP","30","55.681","NaN","70.042","14.361","NaN","0","18"
"10","R_ZkmgxTr8Q4yijtv","discrete","10","LP","19.8235243429556","71.047","NaN","84.715","13.668","NaN","0","18"
"11","R_ZkmgxTr8Q4yijtv","discrete","11","LP","0.661783713916415","85.725","86.39","87.047","1.322","0.657","3","21"
"12","R_ZkmgxTr8Q4yijtv","discrete","12","LP","30","88.055","NaN","101.632","13.577","NaN","0","21"
"13","R_ZkmgxTr8Q4yijtv","discrete","13","LP","30","102.649","NaN","116.288","13.639","NaN","0","21"
"14","R_ZkmgxTr8Q4yijtv","discrete","14","LP","0.264713485566566","117.297","117.581","118.151","0.854","0.57","3","24"
"15","R_ZkmgxTr8Q4yijtv","discrete","15","LP","30","119.161","NaN","132.708","13.547","NaN","0","24"
"16","R_ZkmgxTr8Q4yijtv","discrete","16","LP","3.49090909090909","133.719","137.219","137.971","4.252","0.752","3","27"
"17","R_ZkmgxTr8Q4yijtv","discrete","17","LP","0.661783713916415","138.973","139.638","140.189","1.216","0.551","3","30"
"18","R_ZkmgxTr8Q4yijtv","discrete","18","LP","30","141.204","NaN","154.849","13.645","NaN","0","30"
"19","R_ZkmgxTr8Q4yijtv","discrete","19","LP","8.51632916846187","155.852","164.381","164.889","9.037","0.508","3","33"
"20","R_ZkmgxTr8Q4yijtv","discrete","20","LP","13.0392072382594","165.897","178.944","179.413","13.516","0.469","3","36"
"21","R_ZkmgxTr8Q4yijtv","discrete","21","LP","19.8235243429556","180.426","NaN","195.501","15.075","NaN","0","36"
"22","R_ZkmgxTr8Q4yijtv","discrete","22","LP","5.5010771219302","196.503","202.016","202.597","6.094","0.581","3","39"
"23","R_ZkmgxTr8Q4yijtv","discrete","23","LP","0.661783713916415","203.615","204.299","206.214","2.599","1.915","3","42"
