"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_cDdyn0y53jPubpD","standard","1","LP","3.49090909090909","0","3.496","3.969","3.969","0.473","3","3"
"2","R_cDdyn0y53jPubpD","standard","2","LP","5.5010771219302","4.972","10.479","10.882","5.91","0.403","3","6"
"3","R_cDdyn0y53jPubpD","standard","3","LP","0.264713485566566","11.886","12.152","13.3","1.414","1.148","3","9"
"4","R_cDdyn0y53jPubpD","standard","4","LP","19.8235243429556","14.302","NaN","25.182","10.88","NaN","0","9"
"5","R_cDdyn0y53jPubpD","standard","5","LP","0.264713485566566","26.184","26.451","27.27","1.086","0.819","3","12"
"6","R_cDdyn0y53jPubpD","standard","6","LP","1.25738905644119","28.272","29.531","29.971","1.699","0.44","3","15"
"7","R_cDdyn0y53jPubpD","standard","7","LP","30","30.976","NaN","39.25","8.274","NaN","0","15"
"8","R_cDdyn0y53jPubpD","standard","8","LP","0.661783713916415","40.256","40.918","41.258","1.002","0.34","3","18"
"9","R_cDdyn0y53jPubpD","standard","9","LP","8.51632916846187","42.26","50.777","51.187","8.927","0.41","3","21"
"10","R_cDdyn0y53jPubpD","standard","10","LP","3.49090909090909","52.188","55.682","56.108","3.92","0.426","3","24"
"11","R_cDdyn0y53jPubpD","standard","11","LP","5.5010771219302","57.108","62.611","62.989","5.881","0.378","3","27"
"12","R_cDdyn0y53jPubpD","standard","12","LP","3.49090909090909","63.994","67.487","67.888","3.894","0.401","3","30"
"13","R_cDdyn0y53jPubpD","standard","13","LP","0.661783713916415","68.89","69.552","70.019","1.129","0.467","3","33"
"14","R_cDdyn0y53jPubpD","standard","14","LP","13.0392072382594","71.02","84.065","84.49","13.47","0.425","3","36"
"15","R_cDdyn0y53jPubpD","standard","15","LP","3.49090909090909","85.492","88.988","89.35","3.858","0.362","3","39"
"16","R_cDdyn0y53jPubpD","standard","16","LP","5.5010771219302","90.352","95.859","96.219","5.867","0.36","3","42"
"17","R_cDdyn0y53jPubpD","standard","17","LP","0.264713485566566","97.222","97.492","97.947","0.725","0.455","3","45"
"18","R_cDdyn0y53jPubpD","standard","18","LP","1.25738905644119","98.952","100.211","100.603","1.651","0.392","3","48"
"19","R_cDdyn0y53jPubpD","standard","19","LP","19.8235243429556","101.609","NaN","105.913","4.304","NaN","0","48"
"20","R_cDdyn0y53jPubpD","standard","20","LP","30","106.916","NaN","121.586","14.67","NaN","0","48"
"21","R_cDdyn0y53jPubpD","standard","21","LP","0.661783713916415","122.589","123.256","123.602","1.013","0.346","3","51"
"22","R_cDdyn0y53jPubpD","standard","22","LP","19.8235243429556","124.609","NaN","131.211","6.602","NaN","0","51"
"23","R_cDdyn0y53jPubpD","standard","23","LP","8.51632916846187","132.212","140.731","141.171","8.959","0.44","3","54"
"24","R_cDdyn0y53jPubpD","standard","24","LP","0.264713485566566","142.175","142.445","142.841","0.666","0.396","3","57"
"25","R_cDdyn0y53jPubpD","standard","25","LP","2.15079707022835","143.841","145.993","146.405","2.564","0.412","3","60"
"26","R_cDdyn0y53jPubpD","standard","26","LP","3.49090909090909","147.407","150.898","151.294","3.887","0.396","3","63"
"27","R_cDdyn0y53jPubpD","standard","27","LP","3.49090909090909","152.297","155.792","156.139","3.842","0.347","3","66"
"28","R_cDdyn0y53jPubpD","standard","28","LP","8.51632916846187","157.143","165.661","166.001","8.858","0.34","3","69"
"29","R_cDdyn0y53jPubpD","standard","29","LP","30","167.004","NaN","179.23","12.226","NaN","0","69"
"30","R_cDdyn0y53jPubpD","standard","30","LP","8.51632916846187","180.235","188.752","189.142","8.907","0.39","3","72"
"31","R_cDdyn0y53jPubpD","standard","31","LP","13.0392072382594","190.143","203.188","203.594","13.451","0.406","3","75"
