"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_e9Th8J7UDWD3Q7D","discrete","1","LP","5.5010771219302","0.001","5.511","5.882","5.881","0.371","3","3"
"2","R_e9Th8J7UDWD3Q7D","discrete","2","LP","1.25738905644119","6.891","8.154","8.594","1.703","0.44","3","6"
"3","R_e9Th8J7UDWD3Q7D","discrete","3","LP","30","9.602","NaN","23.795","14.193","NaN","0","6"
"4","R_e9Th8J7UDWD3Q7D","discrete","4","LP","0.661783713916415","24.802","25.466","26.429","1.627","0.963","3","9"
"5","R_e9Th8J7UDWD3Q7D","discrete","5","LP","8.51632916846187","27.434","35.954","36.279","8.845","0.325","3","12"
"6","R_e9Th8J7UDWD3Q7D","discrete","6","LP","0.264713485566566","37.282","37.554","38.021","0.739","0.467","3","15"
"7","R_e9Th8J7UDWD3Q7D","discrete","7","LP","2.15079707022835","39.021","41.178","41.579","2.558","0.401","3","18"
"8","R_e9Th8J7UDWD3Q7D","discrete","8","LP","1.25738905644119","42.586","43.85","44.441","1.855","0.591","3","21"
"9","R_e9Th8J7UDWD3Q7D","discrete","9","LP","0.264713485566566","45.442","45.708","46.124","0.682","0.416","3","24"
"10","R_e9Th8J7UDWD3Q7D","discrete","10","LP","13.0392072382594","47.131","NaN","56.34","9.209","NaN","0","24"
"11","R_e9Th8J7UDWD3Q7D","discrete","11","LP","0.264713485566566","57.346","57.618","57.981","0.635","0.363","3","27"
"12","R_e9Th8J7UDWD3Q7D","discrete","12","LP","19.8235243429556","58.986","NaN","66.721","7.735","NaN","0","27"
"13","R_e9Th8J7UDWD3Q7D","discrete","13","LP","30","67.722","NaN","74.235","6.513","NaN","0","27"
"14","R_e9Th8J7UDWD3Q7D","discrete","14","LP","2.15079707022835","75.242","77.394","77.711","2.469","0.317","3","30"
"15","R_e9Th8J7UDWD3Q7D","discrete","15","LP","19.8235243429556","78.714","NaN","85.684","6.97","NaN","0","30"
"16","R_e9Th8J7UDWD3Q7D","discrete","16","LP","0.264713485566566","86.69","86.962","87.393","0.703","0.431","3","33"
"17","R_e9Th8J7UDWD3Q7D","discrete","17","LP","0.661783713916415","88.402","89.066","89.416","1.014","0.35","3","36"
"18","R_e9Th8J7UDWD3Q7D","discrete","18","LP","2.15079707022835","90.418","92.57","93.089","2.671","0.519","3","39"
"19","R_e9Th8J7UDWD3Q7D","discrete","19","LP","5.5010771219302","94.09","99.594","99.928","5.838","0.334","3","42"
"20","R_e9Th8J7UDWD3Q7D","discrete","20","LP","19.8235243429556","100.93","NaN","108.367","7.437","NaN","0","42"
"21","R_e9Th8J7UDWD3Q7D","discrete","21","LP","3.49090909090909","109.37","112.866","113.25","3.88","0.384","3","45"
"22","R_e9Th8J7UDWD3Q7D","discrete","22","LP","5.5010771219302","114.258","119.762","120.194","5.936","0.432","3","48"
"23","R_e9Th8J7UDWD3Q7D","discrete","23","LP","0.264713485566566","121.202","121.474","121.962","0.76","0.488","3","51"
"24","R_e9Th8J7UDWD3Q7D","discrete","24","LP","3.49090909090909","122.97","126.466","126.929","3.959","0.463","3","54"
"25","R_e9Th8J7UDWD3Q7D","discrete","25","LP","0.264713485566566","127.93","128.202","128.654","0.724","0.452","3","57"
"26","R_e9Th8J7UDWD3Q7D","discrete","26","LP","5.5010771219302","129.658","135.162","135.478","5.82","0.316","3","60"
"27","R_e9Th8J7UDWD3Q7D","discrete","27","LP","8.51632916846187","136.482","NaN","143.957","7.475","NaN","0","60"
"28","R_e9Th8J7UDWD3Q7D","discrete","28","LP","3.49090909090909","144.962","148.458","148.746","3.784","0.288","3","63"
"29","R_e9Th8J7UDWD3Q7D","discrete","29","LP","2.15079707022835","149.754","151.908","152.31","2.556","0.402","3","66"
"30","R_e9Th8J7UDWD3Q7D","discrete","30","LP","3.49090909090909","153.314","156.806","157.126","3.812","0.32","3","69"
"31","R_e9Th8J7UDWD3Q7D","discrete","31","LP","1.25738905644119","158.13","159.394","159.872","1.742","0.478","3","72"
"32","R_e9Th8J7UDWD3Q7D","discrete","32","LP","3.49090909090909","160.874","164.37","164.376","3.502","0.006","3","75"
"33","R_e9Th8J7UDWD3Q7D","discrete","33","LP","19.8235243429556","165.378","NaN","173.745","8.367","NaN","0","75"
"34","R_e9Th8J7UDWD3Q7D","discrete","34","LP","13.0392072382594","174.746","NaN","181.05","6.304","NaN","0","75"
"35","R_e9Th8J7UDWD3Q7D","discrete","35","LP","13.0392072382594","182.058","NaN","188.215","6.157","NaN","0","75"
"36","R_e9Th8J7UDWD3Q7D","discrete","36","LP","0.264713485566566","189.218","189.49","189.937","0.719","0.447","3","78"
"37","R_e9Th8J7UDWD3Q7D","discrete","37","LP","3.49090909090909","190.938","194.434","194.832","3.894","0.398","3","81"
"38","R_e9Th8J7UDWD3Q7D","discrete","38","LP","13.0392072382594","195.834","NaN","202.879","7.045","NaN","0","81"
"39","R_e9Th8J7UDWD3Q7D","discrete","39","LP","8.51632916846187","203.882","NaN","209.073","5.191","NaN","0","81"
"40","R_e9Th8J7UDWD3Q7D","discrete","40","LP","0.264713485566566","210.074","210.344","210.908","0.834","0.564","3","84"
"41","R_e9Th8J7UDWD3Q7D","discrete","41","LP","0.661783713916415","211.909","212.578","213.065","1.156","0.487","3","87"
"42","R_e9Th8J7UDWD3Q7D","discrete","42","LP","0.661783713916415","214.066","214.73","215.376","1.31","0.646","3","90"
"43","R_e9Th8J7UDWD3Q7D","discrete","43","LP","30","216.378","NaN","223.145","6.767","NaN","0","90"
"44","R_e9Th8J7UDWD3Q7D","discrete","44","LP","0.661783713916415","224.146","224.81","225.186","1.04","0.376","3","93"
"45","R_e9Th8J7UDWD3Q7D","discrete","45","LP","0.661783713916415","226.194","226.858","227.274","1.08","0.416","3","96"
"46","R_e9Th8J7UDWD3Q7D","discrete","46","LP","5.5010771219302","228.282","233.786","234.202","5.92","0.416","3","99"
"47","R_e9Th8J7UDWD3Q7D","discrete","47","LP","5.5010771219302","235.204","240.708","241.058","5.854","0.35","3","102"
"48","R_e9Th8J7UDWD3Q7D","discrete","48","LP","19.8235243429556","242.066","NaN","247.409","5.343","NaN","0","102"
"49","R_e9Th8J7UDWD3Q7D","discrete","49","LP","19.8235243429556","248.41","NaN","254.948","6.538","NaN","0","102"
"50","R_e9Th8J7UDWD3Q7D","discrete","50","LP","0.661783713916415","255.954","256.618","256.964","1.01","0.346","3","105"
"51","R_e9Th8J7UDWD3Q7D","discrete","51","LP","13.0392072382594","257.97","NaN","262.903","4.933","NaN","0","105"
