"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_eEclFHDX3vluwGl","discrete","1","LP","2.15079707022835","0","2.158","2.52","2.52","0.362","3","3"
"2","R_eEclFHDX3vluwGl","discrete","2","LP","0.264713485566566","3.529","3.801","4.203","0.674","0.402","3","6"
"3","R_eEclFHDX3vluwGl","discrete","3","LP","0.264713485566566","5.215","5.489","5.794","0.579","0.305","3","9"
"4","R_eEclFHDX3vluwGl","discrete","4","LP","8.51632916846187","6.802","15.318","15.755","8.953","0.437","3","12"
"5","R_eEclFHDX3vluwGl","discrete","5","LP","3.49090909090909","16.77","20.27","20.682","3.912","0.412","3","15"
"6","R_eEclFHDX3vluwGl","discrete","6","LP","0.661783713916415","21.689","22.359","22.631","0.942","0.272","3","18"
"7","R_eEclFHDX3vluwGl","discrete","7","LP","1.25738905644119","23.644","24.909","25.329","1.685","0.42","3","21"
"8","R_eEclFHDX3vluwGl","discrete","8","LP","3.49090909090909","26.341","29.836","30.207","3.866","0.371","3","24"
"9","R_eEclFHDX3vluwGl","discrete","9","LP","19.8235243429556","31.21","NaN","40.17","8.96","NaN","0","24"
"10","R_eEclFHDX3vluwGl","discrete","10","LP","0.661783713916415","41.188","41.87","42.209","1.021","0.339","3","27"
"11","R_eEclFHDX3vluwGl","discrete","11","LP","1.25738905644119","43.21","44.475","44.74","1.53","0.265","3","30"
"12","R_eEclFHDX3vluwGl","discrete","12","LP","5.5010771219302","45.741","51.251","51.549","5.808","0.298","3","33"
"13","R_eEclFHDX3vluwGl","discrete","13","LP","0.661783713916415","52.563","53.246","53.713","1.15","0.467","3","36"
"14","R_eEclFHDX3vluwGl","discrete","14","LP","0.264713485566566","54.721","54.994","55.291","0.57","0.297","3","39"
"15","R_eEclFHDX3vluwGl","discrete","15","LP","1.25738905644119","56.306","57.569","57.933","1.627","0.364","3","42"
"16","R_eEclFHDX3vluwGl","discrete","16","LP","1.25738905644119","58.937","60.203","60.529","1.592","0.326","3","45"
"17","R_eEclFHDX3vluwGl","discrete","17","LP","0.661783713916415","61.539","62.208","62.521","0.982","0.313","3","48"
"18","R_eEclFHDX3vluwGl","discrete","18","LP","30","63.54","NaN","72.229","8.689","NaN","0","48"
"19","R_eEclFHDX3vluwGl","discrete","19","LP","1.25738905644119","73.233","74.499","74.791","1.558","0.292","3","51"
"20","R_eEclFHDX3vluwGl","discrete","20","LP","5.5010771219302","75.794","81.3","81.6","5.806","0.3","3","54"
"21","R_eEclFHDX3vluwGl","discrete","21","LP","19.8235243429556","82.611","NaN","91.339","8.728","NaN","0","54"
"22","R_eEclFHDX3vluwGl","discrete","22","LP","0.661783713916415","92.35","93.016","93.333","0.983","0.317","3","57"
"23","R_eEclFHDX3vluwGl","discrete","23","LP","0.264713485566566","94.337","94.614","94.936","0.599","0.322","3","60"
"24","R_eEclFHDX3vluwGl","discrete","24","LP","2.15079707022835","95.944","98.097","98.401","2.457","0.304","3","63"
"25","R_eEclFHDX3vluwGl","discrete","25","LP","13.0392072382594","99.403","NaN","105.601","6.198","NaN","0","63"
"26","R_eEclFHDX3vluwGl","discrete","26","LP","0.264713485566566","106.614","106.881","107.308","0.694","0.427","3","66"
"27","R_eEclFHDX3vluwGl","discrete","27","LP","30","108.314","NaN","117.368","9.054","NaN","0","66"
"28","R_eEclFHDX3vluwGl","discrete","28","LP","5.5010771219302","118.389","123.911","124.272","5.883","0.361","3","69"
"29","R_eEclFHDX3vluwGl","discrete","29","LP","5.5010771219302","125.288","130.799","131.115","5.827","0.316","3","72"
"30","R_eEclFHDX3vluwGl","discrete","30","LP","13.0392072382594","132.121","NaN","141.087","8.966","NaN","0","72"
"31","R_eEclFHDX3vluwGl","discrete","31","LP","30","142.096","NaN","151.032","8.936","NaN","0","72"
"32","R_eEclFHDX3vluwGl","discrete","32","LP","13.0392072382594","152.037","NaN","161.064","9.027","NaN","0","72"
"33","R_eEclFHDX3vluwGl","discrete","33","LP","2.15079707022835","162.075","164.235","164.694","2.619","0.459","3","75"
"34","R_eEclFHDX3vluwGl","discrete","34","LP","30","165.707","NaN","174.688","8.981","NaN","0","75"
"35","R_eEclFHDX3vluwGl","discrete","35","LP","5.5010771219302","175.709","181.217","181.568","5.859","0.351","3","78"
"36","R_eEclFHDX3vluwGl","discrete","36","LP","5.5010771219302","182.579","188.097","188.437","5.858","0.34","3","81"
"37","R_eEclFHDX3vluwGl","discrete","37","LP","0.661783713916415","189.441","190.106","190.428","0.987","0.322","3","84"
"38","R_eEclFHDX3vluwGl","discrete","38","LP","5.5010771219302","191.442","196.95","197.282","5.84","0.332","3","87"
"39","R_eEclFHDX3vluwGl","discrete","39","LP","0.264713485566566","198.296","198.57","198.973","0.677","0.403","3","90"
"40","R_eEclFHDX3vluwGl","discrete","40","LP","3.49090909090909","199.982","203.483","203.842","3.86","0.359","3","93"
"41","R_eEclFHDX3vluwGl","discrete","41","LP","5.5010771219302","204.854","NaN","208.836","3.982","NaN","0","93"
"42","R_eEclFHDX3vluwGl","discrete","42","LP","1.25738905644119","209.838","211.107","211.435","1.597","0.328","3","96"
"43","R_eEclFHDX3vluwGl","discrete","43","LP","0.264713485566566","212.441","212.717","213.077","0.636","0.36","3","99"
"44","R_eEclFHDX3vluwGl","discrete","44","LP","0.661783713916415","214.081","214.745","215.146","1.065","0.401","3","102"
"45","R_eEclFHDX3vluwGl","discrete","45","LP","19.8235243429556","216.165","NaN","219.98","3.815","NaN","0","102"
"46","R_eEclFHDX3vluwGl","discrete","46","LP","5.5010771219302","220.991","NaN","224.754","3.763","NaN","0","102"
"47","R_eEclFHDX3vluwGl","discrete","47","LP","30","225.774","NaN","229.698","3.924","NaN","0","102"
"48","R_eEclFHDX3vluwGl","discrete","48","LP","8.51632916846187","230.718","NaN","234.517","3.799","NaN","0","102"
"49","R_eEclFHDX3vluwGl","discrete","49","LP","5.5010771219302","235.521","NaN","239.174","3.653","NaN","0","102"
"50","R_eEclFHDX3vluwGl","discrete","50","LP","5.5010771219302","240.19","NaN","240.659","0.469","NaN","0","102"
"51","R_eEclFHDX3vluwGl","discrete","51","LP","5.5010771219302","241.68","NaN","245.447","3.767","NaN","0","102"
"52","R_eEclFHDX3vluwGl","discrete","52","LP","1.25738905644119","246.454","247.714","248.107","1.653","0.393","3","105"
"53","R_eEclFHDX3vluwGl","discrete","53","LP","0.661783713916415","249.113","249.788","250.117","1.004","0.329","3","108"
"54","R_eEclFHDX3vluwGl","discrete","54","LP","2.15079707022835","251.125","253.29","253.656","2.531","0.366","3","111"
"55","R_eEclFHDX3vluwGl","discrete","55","LP","13.0392072382594","254.666","NaN","258.678","4.012","NaN","0","111"
"56","R_eEclFHDX3vluwGl","discrete","56","LP","8.51632916846187","259.682","NaN","260.682","1","NaN","0","111"
"57","R_eEclFHDX3vluwGl","discrete","57","LP","19.8235243429556","261.701","NaN","270.643","8.942","NaN","0","111"
"58","R_eEclFHDX3vluwGl","discrete","58","LP","0.264713485566566","271.649","271.921","272.245","0.596","0.324","3","114"
"59","R_eEclFHDX3vluwGl","discrete","59","LP","13.0392072382594","273.251","NaN","282.291","9.04","NaN","0","114"
"60","R_eEclFHDX3vluwGl","discrete","60","LP","30","283.297","NaN","289.417","6.12","NaN","0","114"
"61","R_eEclFHDX3vluwGl","discrete","61","LP","19.8235243429556","290.423","NaN","299.437","9.014","NaN","0","114"
"62","R_eEclFHDX3vluwGl","discrete","62","LP","8.51632916846187","300.44","NaN","304.377","3.937","NaN","0","114"
"63","R_eEclFHDX3vluwGl","discrete","63","LP","0.264713485566566","305.385","305.657","306.022","0.637","0.365","3","117"
"64","R_eEclFHDX3vluwGl","discrete","64","LP","2.15079707022835","307.035","309.199","309.615","2.58","0.416","3","120"
"65","R_eEclFHDX3vluwGl","discrete","65","LP","8.51632916846187","310.617","NaN","313.112","2.495","NaN","0","120"
