"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_pMLt4bWJz56ROut","discrete","1","LP","0.264713485566566","0","0.266","0.953","0.953","0.687","3","3"
"2","R_pMLt4bWJz56ROut","discrete","2","LP","3.49090909090909","1.954","5.451","6.237","4.283","0.786","3","6"
"3","R_pMLt4bWJz56ROut","discrete","3","LP","30","7.242","37.247","37.947","30.705","0.7","3","9"
"4","R_pMLt4bWJz56ROut","discrete","4","LP","19.8235243429556","38.954","58.915","59.9","20.946","0.985","3","12"
"5","R_pMLt4bWJz56ROut","discrete","5","LP","0.264713485566566","60.906","61.17","64.908","4.002","3.738","3","15"
"6","R_pMLt4bWJz56ROut","discrete","6","LP","0.264713485566566","65.916","66.186","67.267","1.351","1.081","3","18"
"7","R_pMLt4bWJz56ROut","discrete","7","LP","19.8235243429556","68.274","88.1","88.968","20.694","0.868","3","21"
"8","R_pMLt4bWJz56ROut","discrete","8","LP","3.49090909090909","89.971","93.494","94.247","4.276","0.753","3","24"
"9","R_pMLt4bWJz56ROut","discrete","9","LP","2.15079707022835","95.252","97.422","98.099","2.847","0.677","3","27"
"10","R_pMLt4bWJz56ROut","discrete","10","LP","30","99.1","129.117","129.961","30.861","0.844","3","30"
"11","R_pMLt4bWJz56ROut","discrete","11","LP","19.8235243429556","130.964","150.79","152.652","21.688","1.862","3","33"
"12","R_pMLt4bWJz56ROut","discrete","12","LP","30","153.658","183.67","184.394","30.736","0.724","3","36"
"13","R_pMLt4bWJz56ROut","discrete","13","LP","5.5010771219302","185.397","190.927","192.479","7.082","1.552","3","39"
"14","R_pMLt4bWJz56ROut","discrete","14","LP","0.661783713916415","193.503","194.169","195.02","1.517","0.851","3","42"
"15","R_pMLt4bWJz56ROut","discrete","15","LP","13.0392072382594","196.023","209.072","209.912","13.889","0.84","3","45"
"16","R_pMLt4bWJz56ROut","discrete","16","LP","5.5010771219302","210.927","216.43","217.14","6.213","0.71","3","48"
"17","R_pMLt4bWJz56ROut","discrete","17","LP","13.0392072382594","218.182","231.241","232.813","14.631","1.572","3","51"
"18","R_pMLt4bWJz56ROut","discrete","18","LP","0.264713485566566","233.923","234.19","234.935","1.012","0.745","3","54"
"19","R_pMLt4bWJz56ROut","discrete","19","LP","1.25738905644119","235.943","237.214","237.925","1.982","0.711","3","57"
"20","R_pMLt4bWJz56ROut","discrete","20","LP","19.8235243429556","238.926","258.752","259.512","20.586","0.76","3","60"
"21","R_pMLt4bWJz56ROut","discrete","21","LP","13.0392072382594","260.522","273.567","275.822","15.3","2.255","3","63"
"22","R_pMLt4bWJz56ROut","discrete","22","LP","19.8235243429556","276.824","296.675","297.479","20.655","0.804","3","66"
"23","R_pMLt4bWJz56ROut","discrete","23","LP","19.8235243429556","298.487","318.314","319.095","20.608","0.781","3","69"
"24","R_pMLt4bWJz56ROut","discrete","24","LP","30","320.098","NaN","342.68","22.582","NaN","0","69"
"25","R_pMLt4bWJz56ROut","discrete","25","LP","0.661783713916415","343.682","344.346","345.1","1.418","0.754","3","72"
"26","R_pMLt4bWJz56ROut","discrete","26","LP","0.264713485566566","346.106","346.369","347.139","1.033","0.77","3","75"
"27","R_pMLt4bWJz56ROut","discrete","27","LP","3.49090909090909","348.145","351.635","352.342","4.197","0.707","3","78"
"28","R_pMLt4bWJz56ROut","discrete","28","LP","2.15079707022835","353.478","355.633","356.435","2.957","0.802","3","81"
"29","R_pMLt4bWJz56ROut","discrete","29","LP","30","357.44","387.442","388.153","30.713","0.711","3","84"
"30","R_pMLt4bWJz56ROut","discrete","30","LP","8.51632916846187","389.155","397.673","399.556","10.401","1.883","3","87"
"31","R_pMLt4bWJz56ROut","discrete","31","LP","3.49090909090909","400.562","404.604","405.52","4.958","0.916","3","90"
"32","R_pMLt4bWJz56ROut","discrete","32","LP","8.51632916846187","406.522","415.043","415.797","9.275","0.754","3","93"
"33","R_pMLt4bWJz56ROut","discrete","33","LP","8.51632916846187","416.815","425.532","426.397","9.582","0.865","3","96"
