"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_qVH1vYo9ebTicbD","standard","1","LP","13.0392072382594","0.001","13.04","14.843","14.842","1.803","3","3"
"2","R_qVH1vYo9ebTicbD","standard","2","LP","2.15079707022835","15.851","18.01","20.853","5.002","2.843","3","6"
"3","R_qVH1vYo9ebTicbD","standard","3","LP","8.51632916846187","21.857","30.401","31.071","9.214","0.67","3","9"
"4","R_qVH1vYo9ebTicbD","standard","4","LP","8.51632916846187","32.072","40.592","41.375","9.303","0.783","3","12"
"5","R_qVH1vYo9ebTicbD","standard","5","LP","1.25738905644119","42.437","43.696","45.37","2.933","1.674","3","15"
"6","R_qVH1vYo9ebTicbD","standard","6","LP","1.25738905644119","46.377","47.641","48.304","1.927","0.663","3","18"
"7","R_qVH1vYo9ebTicbD","standard","7","LP","0.661783713916415","49.326","49.992","50.673","1.347","0.681","3","21"
"8","R_qVH1vYo9ebTicbD","standard","8","LP","5.5010771219302","51.678","57.198","57.822","6.144","0.624","3","24"
"9","R_qVH1vYo9ebTicbD","standard","9","LP","5.5010771219302","58.825","64.329","65","6.175","0.671","3","27"
"10","R_qVH1vYo9ebTicbD","standard","10","LP","5.5010771219302","66.001","71.511","72.062","6.061","0.551","3","30"
"11","R_qVH1vYo9ebTicbD","standard","11","LP","13.0392072382594","73.065","86.105","86.714","13.649","0.609","3","33"
"12","R_qVH1vYo9ebTicbD","standard","12","LP","5.5010771219302","87.722","93.225","93.855","6.133","0.63","3","36"
"13","R_qVH1vYo9ebTicbD","standard","13","LP","0.264713485566566","94.857","95.129","101.075","6.218","5.946","3","39"
"14","R_qVH1vYo9ebTicbD","standard","14","LP","8.51632916846187","102.08","110.604","111.123","9.043","0.519","3","42"
"15","R_qVH1vYo9ebTicbD","standard","15","LP","19.8235243429556","112.123","131.952","132.582","20.459","0.63","3","45"
"16","R_qVH1vYo9ebTicbD","standard","16","LP","0.264713485566566","133.584","133.849","134.66","1.076","0.811","3","48"
"17","R_qVH1vYo9ebTicbD","standard","17","LP","30","135.664","165.664","166.331","30.667","0.667","3","51"
"18","R_qVH1vYo9ebTicbD","standard","18","LP","0.661783713916415","167.334","168.001","168.872","1.538","0.871","3","54"
"19","R_qVH1vYo9ebTicbD","standard","19","LP","19.8235243429556","169.881","NaN","173.261","3.38","NaN","0","54"
"20","R_qVH1vYo9ebTicbD","standard","20","LP","1.25738905644119","174.265","175.531","176.173","1.908","0.642","3","57"
"21","R_qVH1vYo9ebTicbD","standard","21","LP","8.51632916846187","177.176","185.696","186.347","9.171","0.651","3","60"
"22","R_qVH1vYo9ebTicbD","standard","22","LP","0.661783713916415","187.395","188.056","189.212","1.817","1.156","3","63"
"23","R_qVH1vYo9ebTicbD","standard","23","LP","2.15079707022835","190.217","192.37","192.992","2.775","0.622","3","66"
"24","R_qVH1vYo9ebTicbD","standard","24","LP","8.51632916846187","194.01","202.528","203.093","9.083","0.565","3","69"
"25","R_qVH1vYo9ebTicbD","standard","25","LP","2.15079707022835","204.1","206.257","206.872","2.772","0.615","3","72"
