"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_u526fw8YD7t3F17","discrete","1","LP","5.5010771219302","0.001","NaN","3.962","3.961","NaN","0","0"
"2","R_u526fw8YD7t3F17","discrete","2","LP","5.5010771219302","4.966","NaN","8.276","3.31","NaN","0","0"
"3","R_u526fw8YD7t3F17","discrete","3","LP","30","9.306","NaN","13.636","4.33","NaN","0","0"
"4","R_u526fw8YD7t3F17","discrete","4","LP","13.0392072382594","14.639","NaN","18.08","3.441","NaN","0","0"
"5","R_u526fw8YD7t3F17","discrete","5","LP","5.5010771219302","19.153","NaN","23.08","3.927","NaN","0","0"
"6","R_u526fw8YD7t3F17","discrete","6","LP","1.25738905644119","24.082","25.388","26.305","2.223","0.917","3","3"
"7","R_u526fw8YD7t3F17","discrete","7","LP","13.0392072382594","27.431","NaN","29.728","2.297","NaN","0","3"
"8","R_u526fw8YD7t3F17","discrete","8","LP","19.8235243429556","30.739","NaN","32.542","1.803","NaN","0","3"
"9","R_u526fw8YD7t3F17","discrete","9","LP","5.5010771219302","33.555","NaN","38.925","5.37","NaN","0","3"
"10","R_u526fw8YD7t3F17","discrete","10","LP","19.8235243429556","40.027","NaN","43.601","3.574","NaN","0","3"
"11","R_u526fw8YD7t3F17","discrete","11","LP","8.51632916846187","44.604","NaN","45.558","0.954","NaN","0","3"
"12","R_u526fw8YD7t3F17","discrete","12","LP","30","46.75","NaN","50.235","3.485","NaN","0","3"
"13","R_u526fw8YD7t3F17","discrete","13","LP","1.25738905644119","51.254","52.517","53.659","2.405","1.142","3","6"
"14","R_u526fw8YD7t3F17","discrete","14","LP","0.661783713916415","54.725","55.394","57.331","2.606","1.937","3","9"
"15","R_u526fw8YD7t3F17","discrete","15","LP","8.51632916846187","58.351","NaN","60.482","2.131","NaN","0","9"
"16","R_u526fw8YD7t3F17","discrete","16","LP","2.15079707022835","61.485","63.647","63.847","2.362","0.2","3","12"
"17","R_u526fw8YD7t3F17","discrete","17","LP","3.49090909090909","64.857","NaN","66.934","2.077","NaN","0","12"
"18","R_u526fw8YD7t3F17","discrete","18","LP","5.5010771219302","68.051","NaN","71.205","3.154","NaN","0","12"
"19","R_u526fw8YD7t3F17","discrete","19","LP","3.49090909090909","72.237","75.734","76.635","4.398","0.901","3","15"
"20","R_u526fw8YD7t3F17","discrete","20","LP","19.8235243429556","77.645","NaN","78.9","1.255","NaN","0","15"
"21","R_u526fw8YD7t3F17","discrete","21","LP","8.51632916846187","79.993","NaN","80.755","0.762","NaN","0","15"
"22","R_u526fw8YD7t3F17","discrete","22","LP","2.15079707022835","81.933","NaN","82.946","1.013","NaN","0","15"
"23","R_u526fw8YD7t3F17","discrete","23","LP","0.661783713916415","83.952","84.616","86.395","2.443","1.779","3","18"
"24","R_u526fw8YD7t3F17","discrete","24","LP","30","87.412","NaN","89.537","2.125","NaN","0","18"
"25","R_u526fw8YD7t3F17","discrete","25","LP","19.8235243429556","90.675","NaN","93.297","2.622","NaN","0","18"
"26","R_u526fw8YD7t3F17","discrete","26","LP","1.25738905644119","94.34","95.604","96.957","2.617","1.353","3","21"
"27","R_u526fw8YD7t3F17","discrete","27","LP","0.661783713916415","97.959","NaN","98.674","0.715","NaN","0","21"
"28","R_u526fw8YD7t3F17","discrete","28","LP","0.264713485566566","99.746","NaN","99.761","0.015","NaN","0","21"
"29","R_u526fw8YD7t3F17","discrete","29","LP","5.5010771219302","100.764","NaN","101.079","0.315","NaN","0","21"
"30","R_u526fw8YD7t3F17","discrete","30","LP","3.49090909090909","102.094","NaN","103.465","1.371","NaN","0","21"
"31","R_u526fw8YD7t3F17","discrete","31","LP","5.5010771219302","104.498","NaN","104.656","0.158","NaN","0","21"
"32","R_u526fw8YD7t3F17","discrete","32","LP","1.25738905644119","105.662","107.109","107.983","2.321","0.874","3","24"
"33","R_u526fw8YD7t3F17","discrete","33","LP","0.661783713916415","109.065","109.816","109.883","0.818","0.067","3","27"
"34","R_u526fw8YD7t3F17","discrete","34","LP","13.0392072382594","110.983","NaN","111.335","0.352","NaN","0","27"
"35","R_u526fw8YD7t3F17","discrete","35","LP","2.15079707022835","112.336","NaN","113.241","0.905","NaN","0","27"
"36","R_u526fw8YD7t3F17","discrete","36","LP","13.0392072382594","114.246","NaN","115.744","1.498","NaN","0","27"
"37","R_u526fw8YD7t3F17","discrete","37","LP","0.264713485566566","117.12","117.434","118.638","1.518","1.204","3","30"
"38","R_u526fw8YD7t3F17","discrete","38","LP","1.25738905644119","119.646","NaN","120.8","1.154","NaN","0","30"
"39","R_u526fw8YD7t3F17","discrete","39","LP","19.8235243429556","121.814","NaN","122.696","0.882","NaN","0","30"
"40","R_u526fw8YD7t3F17","discrete","40","LP","5.5010771219302","123.713","129.23","129.651","5.938","0.421","3","33"
"41","R_u526fw8YD7t3F17","discrete","41","LP","0.661783713916415","130.7","NaN","131.32","0.62","NaN","0","33"
"42","R_u526fw8YD7t3F17","discrete","42","LP","19.8235243429556","132.327","NaN","134.055","1.728","NaN","0","33"
"43","R_u526fw8YD7t3F17","discrete","43","LP","1.25738905644119","135.081","NaN","135.832","0.751","NaN","0","33"
"44","R_u526fw8YD7t3F17","discrete","44","LP","0.264713485566566","136.842","137.169","137.957","1.115","0.788","3","36"
"45","R_u526fw8YD7t3F17","discrete","45","LP","3.49090909090909","139.012","NaN","140.006","0.994","NaN","0","36"
"46","R_u526fw8YD7t3F17","discrete","46","LP","5.5010771219302","141.006","NaN","143.549","2.543","NaN","0","36"
"47","R_u526fw8YD7t3F17","discrete","47","LP","2.15079707022835","144.551","NaN","144.582","0.031","NaN","0","36"
"48","R_u526fw8YD7t3F17","discrete","48","LP","19.8235243429556","145.656","NaN","145.87","0.214","NaN","0","36"
"49","R_u526fw8YD7t3F17","discrete","49","LP","5.5010771219302","146.879","NaN","147.086","0.207","NaN","0","36"
"50","R_u526fw8YD7t3F17","discrete","50","LP","5.5010771219302","148.106","NaN","149.888","1.782","NaN","0","36"
"51","R_u526fw8YD7t3F17","discrete","51","LP","13.0392072382594","150.895","NaN","151.496","0.601","NaN","0","36"
"52","R_u526fw8YD7t3F17","discrete","52","LP","13.0392072382594","152.67","NaN","153.416","0.746","NaN","0","36"
"53","R_u526fw8YD7t3F17","discrete","53","LP","3.49090909090909","154.493","NaN","155.346","0.853","NaN","0","36"
"54","R_u526fw8YD7t3F17","discrete","54","LP","19.8235243429556","156.36","NaN","158.79","2.43","NaN","0","36"
"55","R_u526fw8YD7t3F17","discrete","55","LP","2.15079707022835","159.795","NaN","160.475","0.68","NaN","0","36"
"56","R_u526fw8YD7t3F17","discrete","56","LP","5.5010771219302","161.49","NaN","163.892","2.402","NaN","0","36"
"57","R_u526fw8YD7t3F17","discrete","57","LP","30","164.92","NaN","167.168","2.248","NaN","0","36"
"58","R_u526fw8YD7t3F17","discrete","58","LP","13.0392072382594","168.179","NaN","171.432","3.253","NaN","0","36"
"59","R_u526fw8YD7t3F17","discrete","59","LP","1.25738905644119","172.437","173.695","174.942","2.505","1.247","3","39"
"60","R_u526fw8YD7t3F17","discrete","60","LP","1.25738905644119","175.979","177.303","179.265","3.286","1.962","3","42"
"61","R_u526fw8YD7t3F17","discrete","61","LP","5.5010771219302","180.475","186.104","186.923","6.448","0.819","3","45"
"62","R_u526fw8YD7t3F17","discrete","62","LP","5.5010771219302","187.942","NaN","188.114","0.172","NaN","0","45"
"63","R_u526fw8YD7t3F17","discrete","63","LP","13.0392072382594","189.144","NaN","193.666","4.522","NaN","0","45"
"64","R_u526fw8YD7t3F17","discrete","64","LP","0.264713485566566","194.68","195.115","195.666","0.986","0.551","3","48"
"65","R_u526fw8YD7t3F17","discrete","65","LP","19.8235243429556","196.678","NaN","196.795","0.117","NaN","0","48"
"66","R_u526fw8YD7t3F17","discrete","66","LP","19.8235243429556","197.82","NaN","199.532","1.712","NaN","0","48"
"67","R_u526fw8YD7t3F17","discrete","67","LP","3.49090909090909","200.565","NaN","202.893","2.328","NaN","0","48"
"68","R_u526fw8YD7t3F17","discrete","68","LP","0.661783713916415","203.916","NaN","204.092","0.176","NaN","0","48"
"69","R_u526fw8YD7t3F17","discrete","69","LP","1.25738905644119","205.27","NaN","205.368","0.098","NaN","0","48"
"70","R_u526fw8YD7t3F17","discrete","70","LP","30","206.377","NaN","207.033","0.656","NaN","0","48"
"71","R_u526fw8YD7t3F17","discrete","71","LP","5.5010771219302","208.224","NaN","208.844","0.62","NaN","0","48"
"72","R_u526fw8YD7t3F17","discrete","72","LP","30","209.844","NaN","211.428","1.584","NaN","0","48"
"73","R_u526fw8YD7t3F17","discrete","73","LP","0.264713485566566","212.6","212.87","215.944","3.344","3.074","3","51"
"74","R_u526fw8YD7t3F17","discrete","74","LP","5.5010771219302","217.098","NaN","220.559","3.461","NaN","0","51"
"75","R_u526fw8YD7t3F17","discrete","75","LP","8.51632916846187","221.788","NaN","222.352","0.564","NaN","0","51"
"76","R_u526fw8YD7t3F17","discrete","76","LP","2.15079707022835","223.374","NaN","225.05","1.676","NaN","0","51"
"77","R_u526fw8YD7t3F17","discrete","77","LP","19.8235243429556","226.161","NaN","229.212","3.051","NaN","0","51"
"78","R_u526fw8YD7t3F17","discrete","78","LP","3.49090909090909","230.226","NaN","231.08","0.854","NaN","0","51"
"79","R_u526fw8YD7t3F17","discrete","79","LP","8.51632916846187","232.088","NaN","238.477","6.389","NaN","0","51"
"80","R_u526fw8YD7t3F17","discrete","80","LP","0.264713485566566","239.495","239.772","241.87","2.375","2.098","3","54"
"81","R_u526fw8YD7t3F17","discrete","81","LP","0.661783713916415","243.094","243.843","245.735","2.641","1.892","3","57"
"82","R_u526fw8YD7t3F17","discrete","82","LP","19.8235243429556","246.735","NaN","252.773","6.038","NaN","0","57"
"83","R_u526fw8YD7t3F17","discrete","83","LP","2.15079707022835","253.786","NaN","255.041","1.255","NaN","0","57"
"84","R_u526fw8YD7t3F17","discrete","84","LP","0.661783713916415","256.046","NaN","256.209","0.163","NaN","0","57"
"85","R_u526fw8YD7t3F17","discrete","85","LP","30","257.218","NaN","257.854","0.636","NaN","0","57"
"86","R_u526fw8YD7t3F17","discrete","86","LP","30","258.856","NaN","259.899","1.043","NaN","0","57"
