"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_ueTFoW3XsEEgCTn","discrete","1","LP","1.25738905644119","0.001","1.264","13.024","13.023","11.76","3","3"
"2","R_ueTFoW3XsEEgCTn","discrete","2","LP","8.51632916846187","14.03","22.551","27.554","13.524","5.003","3","6"
"3","R_ueTFoW3XsEEgCTn","discrete","3","LP","5.5010771219302","28.56","34.064","42.486","13.926","8.422","3","9"
"4","R_ueTFoW3XsEEgCTn","discrete","4","LP","2.15079707022835","43.487","45.64","64.257","20.77","18.617","3","12"
"5","R_ueTFoW3XsEEgCTn","discrete","5","LP","30","65.264","NaN","79.139","13.875","NaN","0","12"
"6","R_ueTFoW3XsEEgCTn","discrete","6","LP","30","80.144","NaN","84.494","4.35","NaN","0","12"
"7","R_ueTFoW3XsEEgCTn","discrete","7","LP","8.51632916846187","85.499","94.024","102.149","16.65","8.125","3","15"
"8","R_ueTFoW3XsEEgCTn","discrete","8","LP","8.51632916846187","103.152","111.671","123.768","20.616","12.097","3","18"
"9","R_ueTFoW3XsEEgCTn","discrete","9","LP","2.15079707022835","124.775","126.927","147.562","22.787","20.635","3","21"
"10","R_ueTFoW3XsEEgCTn","discrete","10","LP","13.0392072382594","148.567","161.608","173.378","24.811","11.77","3","24"
"11","R_ueTFoW3XsEEgCTn","discrete","11","LP","2.15079707022835","174.384","176.535","191.526","17.142","14.991","3","27"
"12","R_ueTFoW3XsEEgCTn","discrete","12","LP","1.25738905644119","192.528","193.802","261.231","68.703","67.429","3","30"
"13","R_ueTFoW3XsEEgCTn","discrete","13","LP","2.15079707022835","262.24","264.392","266.583","4.343","2.191","3","33"
"14","R_ueTFoW3XsEEgCTn","discrete","14","LP","19.8235243429556","267.584","NaN","270.587","3.003","NaN","0","33"
"15","R_ueTFoW3XsEEgCTn","discrete","15","LP","2.15079707022835","271.592","273.744","275.336","3.744","1.592","3","36"
"16","R_ueTFoW3XsEEgCTn","discrete","16","LP","8.51632916846187","276.344","NaN","281.226","4.882","NaN","0","36"
"17","R_ueTFoW3XsEEgCTn","discrete","17","LP","0.661783713916415","282.232","282.895","288.213","5.981","5.318","3","39"
"18","R_ueTFoW3XsEEgCTn","discrete","18","LP","3.49090909090909","289.216","292.708","296.44","7.224","3.732","3","42"
"19","R_ueTFoW3XsEEgCTn","discrete","19","LP","8.51632916846187","297.442","305.961","307.138","9.696","1.177","3","45"
"20","R_ueTFoW3XsEEgCTn","discrete","20","LP","1.25738905644119","308.143","309.408","316.878","8.735","7.47","3","48"
"21","R_ueTFoW3XsEEgCTn","discrete","21","LP","0.661783713916415","317.882","318.552","328.62","10.738","10.068","3","51"
"22","R_ueTFoW3XsEEgCTn","discrete","22","LP","0.264713485566566","329.623","329.896","340.539","10.916","10.643","3","54"
"23","R_ueTFoW3XsEEgCTn","discrete","23","LP","13.0392072382594","341.544","354.594","373.716","32.172","19.122","3","57"
"24","R_ueTFoW3XsEEgCTn","discrete","24","LP","30","374.72","NaN","375.675","0.955","NaN","0","57"
"25","R_ueTFoW3XsEEgCTn","discrete","25","LP","0.264713485566566","376.68","376.952","378.134","1.454","1.182","3","60"
"26","R_ueTFoW3XsEEgCTn","discrete","26","LP","0.264713485566566","379.136","379.412","381.176","2.04","1.764","3","63"
"27","R_ueTFoW3XsEEgCTn","discrete","27","LP","13.0392072382594","382.184","NaN","384.716","2.532","NaN","0","63"
"28","R_ueTFoW3XsEEgCTn","discrete","28","LP","8.51632916846187","385.767","NaN","390.294","4.527","NaN","0","63"
"29","R_ueTFoW3XsEEgCTn","discrete","29","LP","0.264713485566566","391.301","391.567","395.193","3.892","3.626","3","66"
"30","R_ueTFoW3XsEEgCTn","discrete","30","LP","19.8235243429556","396.199","NaN","400.45","4.251","NaN","0","66"
"31","R_ueTFoW3XsEEgCTn","discrete","31","LP","3.49090909090909","401.456","404.951","406.38","4.924","1.429","3","69"
"32","R_ueTFoW3XsEEgCTn","discrete","32","LP","0.661783713916415","407.384","408.047","412.918","5.534","4.871","3","72"
"33","R_ueTFoW3XsEEgCTn","discrete","33","LP","8.51632916846187","413.92","NaN","419.584","5.664","NaN","0","72"
"34","R_ueTFoW3XsEEgCTn","discrete","34","LP","5.5010771219302","420.592","426.096","426.624","6.032","0.528","3","75"
"35","R_ueTFoW3XsEEgCTn","discrete","35","LP","0.661783713916415","427.63","428.301","432.954","5.324","4.653","3","78"
"36","R_ueTFoW3XsEEgCTn","discrete","36","LP","8.51632916846187","433.959","NaN","440.316","6.357","NaN","0","78"
"37","R_ueTFoW3XsEEgCTn","discrete","37","LP","19.8235243429556","441.318","NaN","448.397","7.079","NaN","0","78"
"38","R_ueTFoW3XsEEgCTn","discrete","38","LP","13.0392072382594","449.409","NaN","456.861","7.452","NaN","0","78"
"39","R_ueTFoW3XsEEgCTn","discrete","39","LP","3.49090909090909","457.864","461.359","462.651","4.787","1.292","3","81"
"40","R_ueTFoW3XsEEgCTn","discrete","40","LP","1.25738905644119","463.656","464.914","465.98","2.324","1.066","3","84"
"41","R_ueTFoW3XsEEgCTn","discrete","41","LP","30","466.984","NaN","476.039","9.055","NaN","0","84"
"42","R_ueTFoW3XsEEgCTn","discrete","42","LP","13.0392072382594","477.047","490.087","490.85","13.803","0.763","3","87"
"43","R_ueTFoW3XsEEgCTn","discrete","43","LP","2.15079707022835","491.856","494.022","495.197","3.341","1.175","3","90"
"44","R_ueTFoW3XsEEgCTn","discrete","44","LP","13.0392072382594","496.208","NaN","504.747","8.539","NaN","0","90"
"45","R_ueTFoW3XsEEgCTn","discrete","45","LP","0.264713485566566","505.751","506.021","506.679","0.928","0.658","3","93"
"46","R_ueTFoW3XsEEgCTn","discrete","46","LP","0.661783713916415","507.688","508.351","509.047","1.359","0.696","3","96"
"47","R_ueTFoW3XsEEgCTn","discrete","47","LP","5.5010771219302","510.048","515.552","516.392","6.344","0.84","3","99"
"48","R_ueTFoW3XsEEgCTn","discrete","48","LP","0.264713485566566","517.4","517.671","518.362","0.962","0.691","3","102"
"49","R_ueTFoW3XsEEgCTn","discrete","49","LP","1.25738905644119","519.368","520.63","521.169","1.801","0.539","3","105"
"50","R_ueTFoW3XsEEgCTn","discrete","50","LP","1.25738905644119","522.176","523.44","524.043","1.867","0.603","3","108"
"51","R_ueTFoW3XsEEgCTn","discrete","51","LP","13.0392072382594","525.048","NaN","530.273","5.225","NaN","0","108"
"52","R_ueTFoW3XsEEgCTn","discrete","52","LP","13.0392072382594","531.279","NaN","538.479","7.2","NaN","0","108"
"53","R_ueTFoW3XsEEgCTn","discrete","53","LP","0.264713485566566","539.487","539.756","540.512","1.025","0.756","3","111"
"54","R_ueTFoW3XsEEgCTn","discrete","54","LP","1.25738905644119","541.519","542.784","544.237","2.718","1.453","3","114"
"55","R_ueTFoW3XsEEgCTn","discrete","55","LP","5.5010771219302","545.24","NaN","547.116","1.876","NaN","0","114"
"56","R_ueTFoW3XsEEgCTn","discrete","56","LP","13.0392072382594","548.12","NaN","548.637","0.517","NaN","0","114"
"57","R_ueTFoW3XsEEgCTn","discrete","57","LP","13.0392072382594","549.639","NaN","552.64","3.001","NaN","0","114"
"58","R_ueTFoW3XsEEgCTn","discrete","58","LP","5.5010771219302","553.647","559.152","559.797","6.15","0.645","3","117"
"59","R_ueTFoW3XsEEgCTn","discrete","59","LP","0.264713485566566","560.802","561.071","561.802","1","0.731","3","120"
"60","R_ueTFoW3XsEEgCTn","discrete","60","LP","0.661783713916415","562.821","563.487","564.145","1.324","0.658","3","123"
"61","R_ueTFoW3XsEEgCTn","discrete","61","LP","3.49090909090909","565.152","568.647","569.786","4.634","1.139","3","126"
"62","R_ueTFoW3XsEEgCTn","discrete","62","LP","3.49090909090909","570.818","NaN","574.155","3.337","NaN","0","126"
"63","R_ueTFoW3XsEEgCTn","discrete","63","LP","0.264713485566566","575.16","575.425","576.084","0.924","0.659","3","129"
"64","R_ueTFoW3XsEEgCTn","discrete","64","LP","0.264713485566566","577.088","577.359","578.006","0.918","0.647","3","132"
