"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_w77LWRQ6Tgl7lCx","discrete","1","LP","0.264713485566566","0","0.271","0.844","0.844","0.573","3","3"
"2","R_w77LWRQ6Tgl7lCx","discrete","2","LP","0.661783713916415","1.856","2.518","2.931","1.075","0.413","3","6"
"3","R_w77LWRQ6Tgl7lCx","discrete","3","LP","0.661783713916415","3.934","4.598","4.956","1.022","0.358","3","9"
"4","R_w77LWRQ6Tgl7lCx","discrete","4","LP","5.5010771219302","5.959","11.464","11.861","5.902","0.397","3","12"
"5","R_w77LWRQ6Tgl7lCx","discrete","5","LP","0.661783713916415","12.863","13.528","13.875","1.012","0.347","3","15"
"6","R_w77LWRQ6Tgl7lCx","discrete","6","LP","8.51632916846187","14.891","23.41","25.836","10.945","2.426","3","18"
"7","R_w77LWRQ6Tgl7lCx","discrete","7","LP","30","26.842","NaN","39.132","12.29","NaN","0","18"
"8","R_w77LWRQ6Tgl7lCx","discrete","8","LP","19.8235243429556","40.138","NaN","54.094","13.956","NaN","0","18"
"9","R_w77LWRQ6Tgl7lCx","discrete","9","LP","30","55.102","NaN","65.941","10.839","NaN","0","18"
"10","R_w77LWRQ6Tgl7lCx","discrete","10","LP","8.51632916846187","66.945","75.462","75.862","8.917","0.4","3","21"
"11","R_w77LWRQ6Tgl7lCx","discrete","11","LP","8.51632916846187","76.875","85.411","85.794","8.919","0.383","3","24"
"12","R_w77LWRQ6Tgl7lCx","discrete","12","LP","8.51632916846187","86.814","95.331","95.727","8.913","0.396","3","27"
"13","R_w77LWRQ6Tgl7lCx","discrete","13","LP","5.5010771219302","96.731","102.238","102.656","5.925","0.418","3","30"
"14","R_w77LWRQ6Tgl7lCx","discrete","14","LP","1.25738905644119","103.672","104.93","105.681","2.009","0.751","3","33"
"15","R_w77LWRQ6Tgl7lCx","discrete","15","LP","1.25738905644119","106.692","107.961","108.609","1.917","0.648","3","36"
"16","R_w77LWRQ6Tgl7lCx","discrete","16","LP","0.661783713916415","109.615","110.278","111.788","2.173","1.51","3","39"
"17","R_w77LWRQ6Tgl7lCx","discrete","17","LP","19.8235243429556","112.795","NaN","126.357","13.562","NaN","0","39"
"18","R_w77LWRQ6Tgl7lCx","discrete","18","LP","0.661783713916415","127.363","128.028","128.421","1.058","0.393","3","42"
"19","R_w77LWRQ6Tgl7lCx","discrete","19","LP","2.15079707022835","129.423","131.585","131.952","2.529","0.367","3","45"
"20","R_w77LWRQ6Tgl7lCx","discrete","20","LP","0.264713485566566","132.959","133.224","133.642","0.683","0.418","3","48"
"21","R_w77LWRQ6Tgl7lCx","discrete","21","LP","30","134.646","NaN","143.813","9.167","NaN","0","48"
"22","R_w77LWRQ6Tgl7lCx","discrete","22","LP","8.51632916846187","144.819","153.348","153.693","8.874","0.345","3","51"
"23","R_w77LWRQ6Tgl7lCx","discrete","23","LP","1.25738905644119","154.696","155.967","156.345","1.649","0.378","3","54"
"24","R_w77LWRQ6Tgl7lCx","discrete","24","LP","5.5010771219302","157.351","162.859","163.186","5.835","0.327","3","57"
"25","R_w77LWRQ6Tgl7lCx","discrete","25","LP","3.49090909090909","164.195","167.691","168.067","3.872","0.376","3","60"
"26","R_w77LWRQ6Tgl7lCx","discrete","26","LP","8.51632916846187","169.073","177.592","178.019","8.946","0.427","3","63"
"27","R_w77LWRQ6Tgl7lCx","discrete","27","LP","19.8235243429556","179.036","NaN","192.675","13.639","NaN","0","63"
"28","R_w77LWRQ6Tgl7lCx","discrete","28","LP","13.0392072382594","193.679","NaN","202.78","9.101","NaN","0","63"
"29","R_w77LWRQ6Tgl7lCx","discrete","29","LP","2.15079707022835","203.797","205.955","206.869","3.072","0.914","3","66"
"30","R_w77LWRQ6Tgl7lCx","discrete","30","LP","0.661783713916415","207.876","208.543","208.954","1.078","0.411","3","69"
"31","R_w77LWRQ6Tgl7lCx","discrete","31","LP","1.25738905644119","209.964","211.234","211.529","1.565","0.295","3","72"
"32","R_w77LWRQ6Tgl7lCx","discrete","32","LP","30","212.534","NaN","222.578","10.044","NaN","0","72"
"33","R_w77LWRQ6Tgl7lCx","discrete","33","LP","2.15079707022835","223.585","225.743","226.075","2.49","0.332","3","75"
"34","R_w77LWRQ6Tgl7lCx","discrete","34","LP","1.25738905644119","227.079","228.337","228.719","1.64","0.382","3","78"
"35","R_w77LWRQ6Tgl7lCx","discrete","35","LP","1.25738905644119","229.73","230.997","231.408","1.678","0.411","3","81"
