"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_x59Trl74V8MzbBT","standard","1","LP","2.15079707022835","0","NaN","1.106","1.106","NaN","0","0"
"2","R_x59Trl74V8MzbBT","standard","2","LP","8.51632916846187","2.122","NaN","3.76","1.638","NaN","0","0"
"3","R_x59Trl74V8MzbBT","standard","3","LP","0.661783713916415","4.761","5.424","6.079","1.318","0.655","3","3"
"4","R_x59Trl74V8MzbBT","standard","4","LP","1.25738905644119","7.081","8.347","8.909","1.828","0.562","3","6"
"5","R_x59Trl74V8MzbBT","standard","5","LP","0.264713485566566","9.919","10.197","11.087","1.168","0.89","3","9"
"6","R_x59Trl74V8MzbBT","standard","6","LP","0.264713485566566","12.092","12.371","13.449","1.357","1.078","3","12"
"7","R_x59Trl74V8MzbBT","standard","7","LP","0.264713485566566","14.455","14.733","15.37","0.915","0.637","3","15"
"8","R_x59Trl74V8MzbBT","standard","8","LP","8.51632916846187","16.381","24.906","30.855","14.474","5.949","3","18"
"9","R_x59Trl74V8MzbBT","standard","9","LP","30","31.86","NaN","51.109","19.249","NaN","0","18"
"10","R_x59Trl74V8MzbBT","standard","10","LP","30","52.11","NaN","54.189","2.079","NaN","0","18"
"11","R_x59Trl74V8MzbBT","standard","11","LP","2.15079707022835","55.202","NaN","56.515","1.313","NaN","0","18"
"12","R_x59Trl74V8MzbBT","standard","12","LP","13.0392072382594","57.519","NaN","64.669","7.15","NaN","0","18"
"13","R_x59Trl74V8MzbBT","standard","13","LP","3.49090909090909","65.673","69.176","69.854","4.181","0.678","3","21"
"14","R_x59Trl74V8MzbBT","standard","14","LP","3.49090909090909","70.864","74.359","75.109","4.245","0.75","3","24"
"15","R_x59Trl74V8MzbBT","standard","15","LP","0.661783713916415","76.116","76.78","77.53","1.414","0.75","3","27"
"16","R_x59Trl74V8MzbBT","standard","16","LP","19.8235243429556","78.538","NaN","86.637","8.099","NaN","0","27"
"17","R_x59Trl74V8MzbBT","standard","17","LP","0.264713485566566","87.645","87.925","89.759","2.114","1.834","3","30"
"18","R_x59Trl74V8MzbBT","standard","18","LP","1.25738905644119","90.766","92.038","92.963","2.197","0.925","3","33"
