"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_xmjtQsahdwJnGZX","discrete","1","LP","0.661783713916415","0","0.664","1.502","1.502","0.838","3","3"
"2","R_xmjtQsahdwJnGZX","discrete","2","LP","1.25738905644119","2.518","3.787","4.152","1.634","0.365","3","6"
"3","R_xmjtQsahdwJnGZX","discrete","3","LP","0.264713485566566","5.156","5.422","5.715","0.559","0.293","3","9"
"4","R_xmjtQsahdwJnGZX","discrete","4","LP","2.15079707022835","6.738","8.902","9.265","2.527","0.363","3","12"
"5","R_xmjtQsahdwJnGZX","discrete","5","LP","0.661783713916415","10.27","10.945","13.042","2.772","2.097","3","15"
"6","R_xmjtQsahdwJnGZX","discrete","6","LP","8.51632916846187","14.053","22.586","23.246","9.193","0.66","3","18"
"7","R_xmjtQsahdwJnGZX","discrete","7","LP","30","24.258","54.267","54.652","30.394","0.385","3","21"
"8","R_xmjtQsahdwJnGZX","discrete","8","LP","3.49090909090909","55.666","59.167","59.658","3.992","0.491","3","24"
"9","R_xmjtQsahdwJnGZX","discrete","9","LP","0.661783713916415","60.675","61.35","62.587","1.912","1.237","3","27"
"10","R_xmjtQsahdwJnGZX","discrete","10","LP","8.51632916846187","63.598","72.116","72.131","8.533","0.015","3","30"
"11","R_xmjtQsahdwJnGZX","discrete","11","LP","3.49090909090909","73.15","76.65","76.994","3.844","0.344","3","33"
"12","R_xmjtQsahdwJnGZX","discrete","12","LP","8.51632916846187","78.013","86.542","86.757","8.744","0.215","3","36"
"13","R_xmjtQsahdwJnGZX","discrete","13","LP","2.15079707022835","87.766","89.917","90.94","3.174","1.023","3","39"
"14","R_xmjtQsahdwJnGZX","discrete","14","LP","8.51632916846187","91.949","100.47","100.763","8.814","0.293","3","42"
"15","R_xmjtQsahdwJnGZX","discrete","15","LP","5.5010771219302","101.784","107.295","107.56","5.776","0.265","3","45"
"16","R_xmjtQsahdwJnGZX","discrete","16","LP","5.5010771219302","108.586","114.095","114.328","5.742","0.233","3","48"
"17","R_xmjtQsahdwJnGZX","discrete","17","LP","0.661783713916415","115.347","116.018","116.337","0.99","0.319","3","51"
"18","R_xmjtQsahdwJnGZX","discrete","18","LP","2.15079707022835","117.347","119.503","119.736","2.389","0.233","3","54"
"19","R_xmjtQsahdwJnGZX","discrete","19","LP","1.25738905644119","120.747","122.01","122.37","1.623","0.36","3","57"
"20","R_xmjtQsahdwJnGZX","discrete","20","LP","2.15079707022835","123.394","125.547","125.961","2.567","0.414","3","60"
"21","R_xmjtQsahdwJnGZX","discrete","21","LP","0.661783713916415","126.964","127.631","128.033","1.069","0.402","3","63"
"22","R_xmjtQsahdwJnGZX","discrete","22","LP","3.49090909090909","129.046","132.546","132.777","3.731","0.231","3","66"
"23","R_xmjtQsahdwJnGZX","discrete","23","LP","5.5010771219302","133.786","139.294","139.526","5.74","0.232","3","69"
"24","R_xmjtQsahdwJnGZX","discrete","24","LP","30","140.546","NaN","151.048","10.502","NaN","0","69"
"25","R_xmjtQsahdwJnGZX","discrete","25","LP","5.5010771219302","152.056","157.568","157.804","5.748","0.236","3","72"
"26","R_xmjtQsahdwJnGZX","discrete","26","LP","3.49090909090909","158.804","162.299","162.549","3.745","0.25","3","75"
"27","R_xmjtQsahdwJnGZX","discrete","27","LP","13.0392072382594","163.555","NaN","172.531","8.976","NaN","0","75"
"28","R_xmjtQsahdwJnGZX","discrete","28","LP","5.5010771219302","173.544","179.059","179.309","5.765","0.25","3","78"
"29","R_xmjtQsahdwJnGZX","discrete","29","LP","1.25738905644119","180.323","181.59","189.612","9.289","8.022","3","81"
"30","R_xmjtQsahdwJnGZX","discrete","30","LP","30","190.626","NaN","200.299","9.673","NaN","0","81"
"31","R_xmjtQsahdwJnGZX","discrete","31","LP","30","201.313","231.323","231.575","30.262","0.252","3","84"
"32","R_xmjtQsahdwJnGZX","discrete","32","LP","1.25738905644119","232.581","233.839","234.112","1.531","0.273","3","87"
"33","R_xmjtQsahdwJnGZX","discrete","33","LP","13.0392072382594","235.113","NaN","244.093","8.98","NaN","0","87"
"34","R_xmjtQsahdwJnGZX","discrete","34","LP","1.25738905644119","245.104","246.371","246.758","1.654","0.387","3","90"
"35","R_xmjtQsahdwJnGZX","discrete","35","LP","0.264713485566566","247.778","248.075","248.477","0.699","0.402","3","93"
"36","R_xmjtQsahdwJnGZX","discrete","36","LP","8.51632916846187","249.487","258.015","258.264","8.777","0.249","3","96"
"37","R_xmjtQsahdwJnGZX","discrete","37","LP","3.49090909090909","259.271","262.77","263.053","3.782","0.283","3","99"
