"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_yqGyUnGl3zGqS41","discrete","1","LP","5.5010771219302","0","5.535","6.337","6.337","0.802","3","3"
"2","R_yqGyUnGl3zGqS41","discrete","2","LP","5.5010771219302","7.341","12.843","20.492","13.151","7.649","3","6"
"3","R_yqGyUnGl3zGqS41","discrete","3","LP","0.264713485566566","21.493","21.765","49.82","28.327","28.055","3","9"
"4","R_yqGyUnGl3zGqS41","discrete","4","LP","3.49090909090909","50.822","NaN","51.552","0.73","NaN","0","9"
"5","R_yqGyUnGl3zGqS41","discrete","5","LP","3.49090909090909","52.557","NaN","53.18","0.623","NaN","0","9"
"6","R_yqGyUnGl3zGqS41","discrete","6","LP","3.49090909090909","54.181","NaN","54.887","0.706","NaN","0","9"
"7","R_yqGyUnGl3zGqS41","discrete","7","LP","8.51632916846187","55.888","NaN","57.437","1.549","NaN","0","9"
"8","R_yqGyUnGl3zGqS41","discrete","8","LP","3.49090909090909","58.438","61.933","62.749","4.311","0.816","3","12"
"9","R_yqGyUnGl3zGqS41","discrete","9","LP","19.8235243429556","63.762","NaN","70.871","7.109","NaN","0","12"
"10","R_yqGyUnGl3zGqS41","discrete","10","LP","13.0392072382594","71.888","84.941","87.748","15.86","2.807","3","15"
"11","R_yqGyUnGl3zGqS41","discrete","11","LP","19.8235243429556","88.749","NaN","108.148","19.399","NaN","0","15"
"12","R_yqGyUnGl3zGqS41","discrete","12","LP","0.264713485566566","109.16","109.428","112.128","2.968","2.7","3","18"
"13","R_yqGyUnGl3zGqS41","discrete","13","LP","5.5010771219302","113.133","118.637","119.617","6.484","0.98","3","21"
"14","R_yqGyUnGl3zGqS41","discrete","14","LP","8.51632916846187","120.622","NaN","124.799","4.177","NaN","0","21"
"15","R_yqGyUnGl3zGqS41","discrete","15","LP","19.8235243429556","125.806","NaN","126.601","0.795","NaN","0","21"
"16","R_yqGyUnGl3zGqS41","discrete","16","LP","2.15079707022835","127.61","NaN","128.46","0.85","NaN","0","21"
"17","R_yqGyUnGl3zGqS41","discrete","17","LP","0.264713485566566","129.461","129.726","130.096","0.635","0.37","3","24"
"18","R_yqGyUnGl3zGqS41","discrete","18","LP","13.0392072382594","131.109","NaN","131.932","0.823","NaN","0","24"
